{'短评内容': '酒店不错，没有异味', '短评打分': 3}
{'短评内容': '还不错.就是实在挺难找的.离开市区还是有一段距离的.', '短评打分': 5}
{'短评内容': '房间挺干净的，就是位置有点偏。', '短评打分': 3}
{'短评内容': '无窗空气太差了，而且空调不怎么管用，酒店怎么还没给我现金换回呢？', '短评打分': 5}
{'短评内容': '酒店还行，关键是住的比较方便。距离去学校考场特别近', '短评打分': 5}
{'短评内容': '很好很干净,就是隔音效果差了点儿,整体感觉不错,有机会还会去的', '短评打分': 3}
{'短评内容': '酒店一般化，在一条巷子的四合院，不怎么理想！', '短评打分': 3}
{'短评内容': '该酒店，网上介绍离清华3公里多，实际打车近7公里。位置偏郊，房间无电话，设施偏简陋。', '短评打分': 3}
{'短评内容': '位置实在是太难找了，而且就和村子里的小二楼似的！听我的，没错的！', '短评打分': 1}
{'短评内容': '尚文真  没有想象中的那么“商务”~', '短评打分': 3}
{'短评内容': '住宿环境挺好挺干净的，就是现在周围搞拆迁，不大好找。等拆迁建设好了，肯定会更好~', '短评打分': 5}
{'短评内容': '位置太偏了，很难找，周围环境不是很好，卫生间里的水管漏水。不过128能住到套间很值了，服务态度也比较好，适合资金不是很宽裕的人。推荐', '短评打分': 5}
{'短评内容': ' 实在太偏了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。离地铁站很远，无公车可到', '短评打分': 1}
{'短评内容': '我觉得整体来说非常好 就是地方有些偏远', '短评打分': 3}
{'短评内容': '一般,中等', '短评打分': 3}
{'短评内容': '环境还可以 就是位置有点偏，以后也许会在去入住', '短评打分': 5}
{'短评内容': '地方有些偏 服务态度很好 打电话过去详细指导我们如何到店 房间还可以 性价比不错', '短评打分': 5}
{'短评内容': '128住套间…值', '短评打分': 3}
{'短评内容': '服务和环境都挺好的  就是位置偏了一点~~', '短评打分': 5}
{'短评内容': '环境还不错。就是偏僻了点~~比较不方便出行。', '短评打分': 5}
{'短评内容': '性价比较高，服务态度好，就是地理位置较偏，洗澡水冷热不能调和，不是很纯凉，就是纯热的。。', '短评打分': 5}
{'短评内容': '卫生和服务都很好，性价比蛮高的，酒店周边出行也方便', '短评打分': 5}
{'短评内容': '酒店装修很简陋，位置也很难找很偏而且周边环境也很差，价格算是比较便宜但是酒店周边环境确实很不好，基本服务还是能满足的。', '短评打分': 1}
{'短评内容': '是个新开的酒店，房间硬件设施齐全并且很新，服务员态度很周到热情，房间舒适度蛮好的', '短评打分': 5}
{'短评内容': '第一次入住，感觉不怎么样，我朋友还因住这生气，郁闷、后悔住这。淋浴的花洒调制器都不能调到正常的温度洗澡，要不很热烫的不能洗，或者直接就是凉水，带来很多不便。不过，这里的服务很好！这是我唯一满意的！', '短评打分': 1}
{'短评内容': ' 酒店有点儿像农家院，条件不行。', '短评打分': 3}
{'短评内容': '所处位置极其偏僻，打了n个电话问前台才找到，旁边都是修车的，并且是太阳能的水，热水用了十分钟就凉了。。。', '短评打分': 1}
{'短评内容': '环境不错:-D住这挺舒服', '短评打分': 3}
{'短评内容': '很不错的酒店，房间硬件设施齐全，服务到位，住宿条件好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '条件整体来讲还不错，住着感觉比较好，而且服务人员也很周到热情，条件不错.', '短评打分': 5}
{'短评内容': '酒店不是很好找！周边环境不好！房间够大！由于住套间，电视在外屋，观看是需要费些力气了！洗澡水实在不敢恭维！没有热水！将来如果硬件水平上去还是不错的！相对还是很安静的！', '短评打分': 1}
{'短评内容': '酒店位置距离翠微还算比较近，走路有十几分钟就到了，性价比还算可以。', '短评打分': 3}
{'短评内容': '酒店设施还不错物有所值', '短评打分': 3}
{'短评内容': '新开业，条件一般般～～～～～～～～～～\n价格比较便宜，网速比较慢，～～～～～～～～', '短评打分': 1}
