{'短评内容': '服务不好  ', '短评打分': 4}
{'短评内容': '服务很差', '短评打分': 4}
{'短评内容': '就那个价钱', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '非常不愉快 这是我旅游至今住的最不满意的一次。我订的3人间 2楼的房间靠近马路，晚上可“热闹”，设施陈旧地毯也脏。住了两晚电视无信号两次，打电话给前台 连一句抱歉都没有。叫人来修理第二天早上又没信号了。家人旅游心情都受影响。', '短评打分': 2}
{'短评内容': '房间靠马路，晚上来来去去车子声音很大，窗户隔音效果不好，很嘈杂。洗了个头，发现没有吹风机。就连总台也借不到，不太好。离杭州市区还有四十块打的的路，较远，离西溪也要二十块车费的路。', '短评打分': 4}
{'短评内容': '挺好的，这个时间这个价格可以啦', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还行吧，价格比较便宜，总体满意', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 4}
{'短评内容': '特别棒的一次体验', '短评打分': 5}
{'短评内容': '还可以！！！！！！！！！', '短评打分': 3}
{'短评内容': '环境不错，适合年轻男女，推荐入住……', '短评打分': 3}
{'短评内容': '环境不错，适合年轻两口子，经济实惠，推荐入住', '短评打分': 3}
{'短评内容': '服务态度超级烂，订的是大房间，给的房间根本没有那么大，同隔壁房间对比就知道。本来一开始写好一个房间号，后来又改掉，我想要回原来的号码，骗我说别人定了。就算是定了也是先来先住。态度烂不说，说话声音还超级大。要不是只住一晚就走，一定要讨个说法。', '短评打分': 1}
{'短评内容': '酒店很好服务也好', '短评打分': 3}
{'短评内容': '很实惠，房间算干净，空调声音有点响，但够冷，晚上冻醒！', '短评打分': 5}
{'短评内容': '酒店离景点很近，挺干净滴，只是走的时候挺急洗漱用品喇酒店了，推荐还是...', '短评打分': 3}
{'短评内容': '优点是房间大，卫生间大，热水充足。缺点是设施较旧，位置较偏。', '短评打分': 3}
{'短评内容': '很好，房间很大，床很大，卫生状况很好，总体评价不错。。。', '短评打分': 5}
{'短评内容': '房间很大，就是热水很小，使用不好，酒店旁边吃饭很方便这价格还是不错的。', '短评打分': 5}
{'短评内容': '早上8 点便不断放烟花, 放到十点都没停.. 搞的我想睡多会也不可.. 柜台态度一般, 不是太主动帮忙旅客, 一进去问停车场在那.. 不理睬我.. 要我自己去找保安.. 我是经eLong 订的, 她说找不到我的名字便再不理睬我, 后来我给她看了手机短信, 她不情愿地再找了很久才找到.. 房间没网线, 问她拿时却推说很多很多借口, 要旁边坐着的男人叫唤才拿给我..  房间黑暗, 有点残旧.. 只是交', '短评打分': 1}
{'短评内容': '挺干净的、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '性价比不错,.......................', '短评打分': 5}
{'短评内容': '房间很宽敞，卫生间很大，睡得很舒服，价格也挺合理，我很满意', '短评打分': 5}
{'短评内容': '物有所值吧，出差住一晚还是可以的··希望那华数点播卡可以换换了，呵呵··', '短评打分': 5}
{'短评内容': '感觉一般，没热水这点好郁闷，都不能洗澡。安静是挺安静的。…', '短评打分': 3}
{'短评内容': '房间很不错，就是只能预定标间，没有单人间，我是一个人啊，结果这房间有三张床，老婆又不在的……', '短评打分': 3}
{'短评内容': '不错，挺干净，也不吵，价格合适，就是离景区远了点。', '短评打分': 5}
