{'descr': '只能说一般般了', 'star': 3}
{'descr': '一般、设施有点老旧、停车场很小、', 'star': 4}
{'descr': '真的太破了', 'star': 1}
{'descr': '酒店房间挺大，设备齐全，就是床单被罩是用过的哦，不过跟前台说了，很快给拿的新被单被罩，还算可以吧！希望酒店以后干净些！', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '价钱很便宜', 'star': 5}
{'descr': '环境不错，干净卫生', 'star': 5}
{'descr': '离机场比较近', 'star': 5}
{'descr': '酒店唯一不错的是有接送机和离机场较近，其他各方面类似于快捷酒店，环境和设施一般，但是价格实惠，所以还算可以吧。', 'star': 3}
{'descr': '酒店唯一不错的是有接送机和离机场较近，其他各方面类似于快捷酒店，环境和设施一般，但是价格实惠，所以还算可以吧。', 'star': 3}
{'descr': ' 床舒服  干净 房间小 设施旧 大堂小     环境好 位置好 交通方便  吃饭方便  机场近   地理位置好    性价比高   服务不错   价格适中      ', 'star': 4}
{'descr': '还可以', 'star': 3}
{'descr': '辣条墨迹考虑图咯', 'star': 5}
{'descr': '整体感觉还不错', 'star': 4}
{'descr': '总体上感觉还成，给别人定的，自己没住', 'star': 4}
{'descr': '位于小区，离机场较近，免费接送。房间装修较陈旧，较干净。', 'star': 3}
{'descr': '酒店不错 由于零时航班取消 所以才去的 就是交通比较不便 比较难找', 'star': 5}
{'descr': '酒店位置偏僻，服务很差，洗澡的热水都没有。', 'star': 3}
{'descr': '  对得起打折后的价钱', 'star': 3}
{'descr': '机场接送机及时，热情！前台服务也很客气，就是酒店硬件需要多加改进。', 'star': 5}
{'descr': '早餐凑合，床也太差了，弹簧都要露出来了。422房间，吹风机坏的，床垫太薄了，就像睡在弹簧上，', 'star': 1}
{'descr': '这也是酒店吗。招待所一般，毛巾都不给，破毛巾都不如超市卖的抹布，还有3元一条，房间小的要命，而且位置不显著~~~失望之极', 'star': 1}
{'descr': '酒店很好，干净卫生，离机场也近，最关键还管接送，不错', 'star': 5}
{'descr': '硬提太差了。。服务还行。。。\n地点虽然近机场。。但除了去机场。。有车接送。。其他去哪里都不方便。。。\n酒店没电梯。。。带行李的要命。。。', 'star': 1}
