{'短评内容': '早餐厅的付红英服务另人满意', '短评打分': 4}
{'短评内容': '套房很大，两个卫生间，不过电视画面不是很清晰，另外，早餐丰富，地理位置方便，到人民南路南洋广场打车就起步价。', '短评打分': 5}
{'短评内容': '不错的酒店，位置离市中心不远，门口可以停车，服务和卫生也都很好。唯一美中不足的是浴室的玻璃门只有半扇，洗澡时水会溅出来，地上很多水容易滑倒，希望下次能有改进。总的来说很棒。', '短评打分': 5}
{'短评内容': '除了价格，别的没有一项附合五星标准的，一个字：差', '短评打分': 3}
{'短评内容': '设备有点老了，没有晚餐自助，不过床很舒服，交通也方便', '短评打分': 5}
{'短评内容': '東西不錯，酒店也就一般般', '短评打分': 4}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '东西不错，拌饭很香口感好', '短评打分': 4}
{'短评内容': '性价比非常高，值得住', '短评打分': 5}
{'短评内容': '还不错……', '短评打分': 4}
{'短评内容': '可可可可可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '因为工作又住了一晚，跟前一晚同样的价格和房型，但是5楼的设施差很多，没有玻璃水杯，没有自动马桶，房间味道也不大好，而且低楼层离KTV近，也有点吵，高层没房间了，凑合吧', '短评打分': 5}
{'短评内容': '很满意的一次', '短评打分': 5}
{'短评内容': '早餐徐玉华服务热情周到', '短评打分': 5}
{'短评内容': '酒店服务好早餐丰富，餐厅服务员徐玉华很热情，细心！', '短评打分': 5}
{'短评内容': '酒店设施还行，就是服务一般，连水果都没送。值得一提的是早餐，还算丰盛，中西都有，据说还有游泳池，但可惜没带泳衣。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很好，最喜欢的是有麻将的房间', '短评打分': 4}
{'短评内容': '房间817，电视全是雪花点，根本就没法看', '短评打分': 5}
{'短评内容': '多次订了，非常好的酒店，服务热情，早餐丰盛！', '短评打分': 4}
{'短评内容': '锦江的房间宽敞，早餐丰盛', '短评打分': 5}
{'短评内容': '酒店很安静，很喜欢', '短评打分': 3}
{'短评内容': '设施陈旧了点。服务态度非常的好。但总体感觉价格和设施不是匹配', '短评打分': 5}
{'短评内容': '服务细致，很满意。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店交通方便，设施可以，服务良好，值得推荐！', '短评打分': 5}
{'短评内容': '酒店环境不错，早点也不错', '短评打分': 3}
{'短评内容': '房间干净整洁，配置很好，很舒适!枕头高度不太合理，希望改进!含早餐，总体不错，下次还会入住', '短评打分': 3}
{'短评内容': '免费升级成了行政法，不错.................', '短评打分': 5}
{'短评内容': '酒店中餐餐饮不错，早餐也丰富。房间大，但卫生间不大，房间门的隔音效果差，里面讲话走廊上听得很清楚。', '短评打分': 3}
{'短评内容': '酒店还不错，早餐品种比较丰富，服务还好，地理位置也还好。值得入住。', '短评打分': 5}
{'短评内容': '地理位置不错，酒店总体来说还是很好的！早餐还可以！服务也不错！', '短评打分': 5}
{'短评内容': '非常好的一家酒店，位于市中心，出行很方便，早餐也很丰富；隔音很好，以后去太仓还会选择这家。', '短评打分': 5}
{'短评内容': 'comfortable hotel. good service. ', '短评打分': 5}
{'短评内容': '整体来说还不错，房间大且干净，但一些小的细节有待改善：网线太短，网络接口在电脑的左侧，刚好够接到hp笔记本的左边。如果笔记本的网线接口在右后侧（我的另一台dell的电脑就是这样），就够不到了。电视的频道跟遥控器包上贴的目录顺序不一样。', '短评打分': 5}
{'短评内容': '房间很好，前厅的服务有待加强', '短评打分': 3}
{'短评内容': '太偏了,打的不好打', '短评打分': 3}
{'短评内容': '我一般只给朋友和客户订酒店，自己很少住酒店的', '短评打分': 5}
{'短评内容': '酒店的服务、卫生都不错。硬件设施完全可以达到甚至超过大城市的5星级酒店。\n酒店的早餐品种稍微简单些，西早的品种和口味一般。\n值得推荐，尤其是商务旅行或会议', '短评打分': 5}
{'短评内容': '这次国庆期间入住该酒店，看中的是它的品牌，但遗憾的是，入住2天里客房白天气高温高，外衣都没法上身，就请客服中心给降温些，第一天办到了，第2天比第一天还高1度，客服中心却说温差缘由无法降温，这不是忽悠客人吗。可是酒店事后回应说是晚上11点后关中央空调，真是牛头不对马嘴，让人哭笑不得。', '短评打分': 1}
