{'descr': '还不错吧，相对来说出差比较合适', 'star': 5}
{'descr': '还不错的住宿条件', 'star': 5}
{'descr': '单件没有早餐 酒店偏旧 插座只有一个能用，因为出差第二天就走简单住一晚，里威宁路地铁站不远1号口出走八百米就到。', 'star': 4}
{'descr': '还不错，很干净！', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '不错啊 京东值得相信', 'star': 5}
{'descr': '还算可以吧', 'star': 4}
{'descr': '参加展览，找了一家比较近的，房间里面很小，就两张床的位置，整个屋子味道难闻，有窗户，对着居民楼，中午到了有一个房间都还没有收拾出来，还有一个房间空调下午才修好。下次不会再来了。', 'star': 2}
{'descr': '挺不错的啊', 'star': 5}
{'descr': '房间还是可以的，在上海属于性价比比较高的', 'star': 5}
{'descr': '酒店在市中心，周边购物，吃饭都非常方便。酒店设施很新，装修也很有品味。还有免费停车。值得推荐。就是房间里没有冰箱不方便。', 'star': 5}
{'descr': '地段比较好吧，停车也有。附近吃放乘车都比较方便。', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错，朋友很满意。', 'star': 5}
{'descr': '周边是菜场有点吵', 'star': 4}
{'descr': '房间空间小，                  电梯很恐怖', 'star': 1}
{'descr': '还好', 'star': 3}
{'descr': '房间很小，卫生也不好！周边有很多更好的旅店，下次不会再来了。', 'star': 1}
{'descr': '房间真的很迷你 跟香港的红茶馆面积差不多', 'star': 3}
{'descr': '离地铁10分钟路程走路，房间小，适合一个人，以便宜为主的话，算可以了', 'star': 5}
{'descr': '很干净，还不错把，性价比比较高，不过隔音差了一点点，交通比较方便', 'star': 5}
{'descr': '不错的酒店，离我去的地方很近，交通很方便，下次有机会再来。', 'star': 5}
{'descr': '设施够简单', 'star': 3}
{'descr': '还行，不过要是有早餐好了。酒店客房实在太小。', 'star': 5}
{'descr': '地理位置还不错\u3000房间不大\u3000简单\u3000还算干净\u3000', 'star': 3}
{'descr': '总体还可以 就是房间小点', 'star': 3}
{'descr': '其他朋友的差评我几乎没有发现，整体的感觉这样的价格还算不错。适合个人旅游休闲居住，经济实惠，而且下面的小吃店很多，很好。', 'star': 5}
{'descr': '不好，好多门锁都是坏的，先是订的特价房，锁是坏的，然后要求换标间，继续坏的。。。地面不是防滑地板，洗澡后穿拖鞋走路像在溜冰。', 'star': 1}
{'descr': ' 房间太小  短信确认有点小慢', 'star': 3}
{'descr': '不知道说什么好，建议商务人士最好不要入住。', 'star': 1}
{'descr': '还算不错，进弄堂感觉不太好，入住后发觉还算实惠。', 'star': 5}
{'descr': '好地段，酒店设施还算可以。属于实惠型酒店。', 'star': 5}
{'descr': '房间淋浴房不太好，没有移门，洗澡水容易到外面，出来时容易滑倒，其他还可以。', 'star': 5}
{'descr': '＋房间还算干净。就是空间太迷你了', 'star': 3}
{'descr': '酒店旁边就是菜场，内部还装的满干净的。不是很吵，价格还算可以，离地铁大概15分钟的距离，可以随便住住', 'star': 5}
{'descr': '酒店位置不错 门口就是公交站 出行方便\n房间设施以及服务时一般的\n不过考虑到价格还是性价比很高的 \n如果只考虑住的话 还是不错的 ', 'star': 5}
{'descr': '环境很好，设施也很好，以后还会继续选择的', 'star': 5}
{'descr': '帮朋友订的酒店，但是评价很不好。房间又小又吵，不推荐', 'star': 1}
{'descr': '酒店的缺点是：门面较差，霓虹灯的字都残缺不全，一进酒店就有几个莫名其妙的男人翘着腿坐在沙发上吊儿郎当地盯着你看，让人不太舒服；前台感觉很山寨的，不能用预授权刷卡的；电梯里脏兮兮的，感觉像个货梯。\n房间里面还可以，设施也比较齐全了，和200多的经济型酒店也没有太大区别，空调也比较足，所以我还是给好评。', 'star': 5}
{'descr': '还不错，挺好的，便宜实惠。离地铁口10分钟。出门就是公交站牌，酒店边上也有很多小店吃饭。非要写满50字，哪有那么多话说啊。提议这个要改进下。', 'star': 5}
{'descr': '客人比较满意，最主要离要去的地方很近！！！！！！', 'star': 5}
{'descr': '走廊外面有气味，很重，希望改进一下，还有电视没有机顶盒', 'star': 1}
{'descr': '很便宜,所以也就不要有太多的要求.如果您觉得价格是首要考虑的因素,这里绝对是很好的选择.', 'star': 5}
{'descr': '环境不错，就是不能上网，服务员服务态度也比较差', 'star': 1}
{'descr': '周边小吃一条街，很方便，酒店卫生，服务都还不错，可惜电梯看起来脏兮兮的，', 'star': 5}
{'descr': '离地铁大概走10分钟，还算干净。就是色情小广告太多。', 'star': 5}
{'descr': '设施一般，但是在长宁区能住到200以内的酒店已经算是值了。', 'star': 5}
{'descr': '酒店信价比蛮高的，周边超市小吃很多，很方便，下次还会入住的哦~~', 'star': 5}
{'descr': '＋服务不好，服务台不给寄包', 'star': 3}
{'descr': '态度差到极致！！不到万不得已千万不要选择这家！果然网上的那么多差评是真实的。', 'star': 3}
{'descr': '＋条件一般', 'star': 3}
{'descr': '外国人不能住在这个酒店。\n接待客人很不好。\n', 'star': 1}
{'descr': '比较经济、干净、安静，房间有些小，适合只在晚上休息停留。周围有不少小吃店，公交也方便。注意不要用热水烧水喝，有药味，而且残留味难去除。', 'star': 5}
{'descr': '价格实惠，适合商务出差。因为这里离办事处较近，以后会再去的。', 'star': 5}
{'descr': '位置不错，离虹桥机场和地铁较近，对面有便利店。就是早上有点吵。', 'star': 5}
{'descr': '酒店很干净，只是窗户打开就是对面的民居。', 'star': 5}
{'descr': '大床房的床很大~ 推荐4楼的房型！！！吹风机很难借到 网线也是要问前台要的~', 'star': 5}
{'descr': '生意很不错，订得晚就可能订不到房间。\n地段好，很温馨的酒店，再便宜点就好了。', 'star': 5}
{'descr': '符合如家的一贯水平。\n地理位置比较好，下次还会考虑住。', 'star': 5}
{'descr': '不错，干净温馨。\n地段更不错，到哪里都方便。', 'star': 5}
{'descr': '酒店下面的小吃很多，早上吃早饭很方便。交通也很方便。', 'star': 5}
{'descr': '房间挺大挺好的,在市区内,交通方便,服务态度很好', 'star': 5}
{'descr': '还不错，房间不大，但很舒适', 'star': 3}
{'descr': '来住过很多次了，主要因为离公司很近，交通也方便~！房间卫生很好，床也很大哦！', 'star': 5}
{'descr': '酒店位置很醒目，隔壁就是菜场，很方便~！', 'star': 5}
{'descr': '条件还好，临近地铁，交通比较方便。不能供应中餐和晚餐有点不方便。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '到会展中心很近，过马路即是。住宿属于经济型，在同样的价位上已经很合算了。', 'star': 5}
{'descr': '服务不太好，条件还好，价格微高。地理位置还算好，短期住个几天还算不错', 'star': 5}
{'descr': '位置很好，房间一般，很多房间是一层的平房，隔音也不好，整晚都能听见走廊中的声音', 'star': 1}
{'descr': '服务员忽悠人，把小房间当大房开，去前台提出了才换了', 'star': 1}
{'descr': '方便是首选,交通方便,逛街方便,反正就是方便.', 'star': 5}
{'descr': '房间很旧，尤其地板好像是空的，我住的标间只要附近有人走动，房间都感觉在晃，和旁边的桔子酒店比较性价比极差，住了一晚上就换桔子啦', 'star': 1}
{'descr': '地理位置和环境还不错，但是网速太慢，性价比不高', 'star': 3}
{'descr': '房间太小服务一般。', 'star': 3}
{'descr': '位置很好，离地铁站很紧，闹中取静，推荐大家入住！！', 'star': 5}
{'descr': '还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以', 'star': 5}
{'descr': '房间装修卫生还不错，位置的话很好找，价格还是比较合理，服务态度还是一般。', 'star': 3}
{'descr': '作为连锁式酒店还算感觉 是经常出差人士的好去处', 'star': 5}
{'descr': '环境还行，就是隔音效果太差，都不敢大声说话，希望酒店能够改进！', 'star': 5}
{'descr': '地点比较市中心，旁边湖南路的鸡鸭粉丝汤很好吃，房间比较干净，但空调声大的我睡不着，', 'star': 1}
{'descr': '地理位置不错，房间也够大够明亮，总体上来讲，在那片地区价性比较高的酒店。下回还跟那住', 'star': 5}
{'descr': '房间很大，也很安静，隔音消过很好。', 'star': 3}
{'descr': '标准间和商务大床间的房间大小还可以，普通大床间虽然价格便宜些，但是不是一般的小啊，是超级小！\n\n房间的水龙头老是固定不住', 'star': 1}
{'descr': '标准间和商务大床间的房间大小还可以，普通大床间虽然价格便宜些，但是不是一般的小啊，是超级小！', 'star': 5}
{'descr': '卫生还可以’ 环境还好‘ 但网速太慢了。', 'star': 1}
{'descr': '酒店环境一般，房间也比较小，房间网线也是坏的设施也很简单，价格倒是挺便宜的。交通也不是很方便。', 'star': 1}
{'descr': '楼层服务员态度很好，办理手续很快，房间安静，交通便利', 'star': 5}
{'descr': '大床房', 'star': 3}
{'descr': '就是地方偏了点，卫生什么都挺好的，离地铁站估计有5分钟的路程', 'star': 5}
{'descr': '酒店就是价格挺实惠的，位置挺好，出行挺方便的。', 'star': 3}
{'descr': '房间太小了', 'star': 3}
{'descr': '酒店的位置还好，离二号地铁挺近，出行挺方便，卫生方面到也不错，打扫的挺干净的。', 'star': 3}
{'descr': '很好', 'star': 3}
