{'descr': '很好的一次旅行，谢谢', 'star': 5}
{'descr': '非常可笑的酒店，早上8店就开始装修，别人半夜才入住，这是要赶人的节奏吗？', 'star': 3}
{'descr': '总之很差，很失望，脏乱差，居然没有网络。', 'star': 1}
{'descr': '好好', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '价格还是可以的。惠选酒店定的。 交通不是很方便，需要走一段。', 'star': 5}
{'descr': '还行吧.酒店是经济型的.比7天好多了.就是房间太小了', 'star': 5}
{'descr': ' 好', 'star': 3}
{'descr': '房间很大 卫生间一般 但价格很棒', 'star': 3}
{'descr': '设施陈旧了点 还挺贵 但是交通比较方便 由于离我的目的地近才选的这家 对面有家火锅很好吃！', 'star': 1}
{'descr': '条件一般吧，在浴缸里洗了个澡，马马虎虎马马虎虎吧。。。。', 'star': 5}
{'descr': '酒店太旧，太烂！真该好好装修了！！！！！！！！！！', 'star': 1}
{'descr': '价格便宜,交通方便,就是设施太旧了!还需要20个字,就补上这句了,差不多了吧?哈哈', 'star': 5}
{'descr': '蛮好的 感觉还满舒适的 装修蛮温馨的 ！就是床太硬了....', 'star': 5}
{'descr': '酒店很一般，虽然是三星的，但是内部设施很简陋，性价比不高，而且不停地有人来骚扰，往房间里投小卡片，很显然酒店没保护我们的隐私', 'star': 1}
{'descr': '房间很大，但是刚进去有股淡淡地发霉味，开下窗户就还好了。床有点硬。卫生间出了淋浴时间久了有点生锈其他都还满意的吧。隔音效果还不错。服务员蛮热情的，态度很好。', 'star': 5}
{'descr': '设施老旧，也就地势好些。\n起码我住的房间里半数的灯是坏的；\n马桶抽水也不好；\n洗漱台和浴盆看起来挺脏的。', 'star': 1}
{'descr': '方便快捷', 'star': 3}
{'descr': '酒店条件一般。装修比较落后，但房间较大。', 'star': 1}
{'descr': '还可以', 'star': 3}
{'descr': '非常差。设备陈旧。卫生条件差。脏，乱，臭。是一个十分不好的酒店。千万不要住了。', 'star': 1}
{'descr': '房间还算宽敞，环境也不错，就是两人入住送个单早，没去吃，遗憾。。。', 'star': 5}
{'descr': '房间很大，但装潢很老很旧，特别是赠送的早餐品种和品质都非常不好。且停车需要另行收费，而且收费有二三拨人，每拨一天，有时收15，有时收20块，其中有个老年收费员好像就住在物资大厦宾馆的13楼的，他就收20块。而且态度也不咋地！', 'star': 1}
{'descr': '在南京这个价格总体感觉一切都还好，还不错！', 'star': 5}
{'descr': '设施太陈旧，不满意！！\n房间空调居然是坏的！！', 'star': 1}
{'descr': '这酒店就象一个招待所，过道的地毯很脏，洗手间很小，设施太陈旧，唯一好的就是地段不错，真的不知道怎么还有这么多人推荐这家酒店，哪象一个三星的酒店。很无语', 'star': 1}
{'descr': '房间蛮大的，卫生间的洗浴设备齐全，浴盆很大，用着很舒服，酒店提供的早餐很丰盛，味道也很好，感觉蛮不错的', 'star': 5}
{'descr': '酒店位置不错，周边有吃饭的地方，而且附近还有超市，买东西很方便，房间布置的很有档次，性价比蛮高的', 'star': 5}
{'descr': '硬件设施很齐全，服务蛮到位的，卫生情况很好，周边环境不错，出行也很方便', 'star': 5}
{'descr': '酒店地处市区主干道上，去火车站，汽车站都不是很远。房间布置的整洁干净，服务员也蛮规范的，住宿环境很不错', 'star': 5}
