{'短评内容': '很干净卫生', '短评打分': 5}
{'短评内容': '和朋友一起住的，表示环境一般，虽然很大，但是打扫不干净，很多地方都是头发和烟灰，最主要的是隔壁有个什么培训辅导班？？？我就搞不明白，大上午也不能睡觉，真的听了一上午辅导课。酒店同一层怎么会有这个？房间隔音简直太差，晚上也有人大喊大叫，听的一清二楚', '短评打分': 3}
{'短评内容': '位置好二环边，楼下是龙湖三千里商场，房间干净，前台热情，满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很干净也很温馨，挺不错的！来了很多次这个美好的城市了，住的都是这里，下次来了还会住这里', '短评打分': 5}
{'短评内容': '酒店在市中心位置，去哪里都方便！服务态度也很好！不错的酒店', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，房间也很好，人性化方面做的不错！', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间也很干净卫生，不错的一个酒店', '短评打分': 5}
{'短评内容': '干净宽敞很好', '短评打分': 5}
{'短评内容': '住好次。好', '短评打分': 5}
{'短评内容': '定的特价房，前台直接给我升级为豪华房间，很满意', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '提供的早餐酸奶是过期的。', '短评打分': 5}
{'短评内容': '猛然看房间和图片一样，但是床，卫生间及其不干净，睡了一晚上身上就开始痒痒，卫生间地上都是头发，收拾房间的服务员很不负责任', '短评打分': 2}
{'短评内容': '还可以 房间大 空调吹半天才暖和', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错，就是价格与环境有点不匹配', '短评打分': 5}
{'短评内容': '地理位置较好，交通方便，酒店房间大，干净，服务到位。', '短评打分': 4}
{'短评内容': '房间很大，环境也不错，美中不足的是早餐差强人意。', '短评打分': 5}
{'短评内容': '环境不错，订了4个房间，同事住得也都挺舒服的。', '短评打分': 5}
{'短评内容': '（豪华大床间）拐角间很狭小，室内水池的下水不畅，沿街汽车声吵，说含双早，结果只有1个面包和1盒奶。\n', '短评打分': 1}
{'短评内容': '观景房很不错，床很舒服，环境很好。不足地方，床头没得开关，插座太少了！！', '短评打分': 5}
{'短评内容': '房间不错，舒适宽敞，就是酒店没有自己的餐厅，我去的那次早餐实在有点坑爹，貌似是原来的早餐因为过完年没上班还是怎么的，总之后来酒店自己去买但因为人手不够很晚才送过来，险些耽误我工作，我想酒店如果管理完善的话应该很早就有预料到这样的情况并做好准备', '短评打分': 5}
{'短评内容': '酒店设施不错,房间宽敞.早餐是叫的外卖.价格再便宜点就好了!\n', '短评打分': 5}
{'短评内容': '酒店设施不错,房间宽敞.早餐是叫的外卖.价格再便宜点就好了!', '短评打分': 5}
{'短评内容': '，这酒店第一次住，还可以。和海滨酒店在一栋楼(海滨住过二次).这二酒店都可以打八十五分左右', '短评打分': 3}
{'短评内容': '各项设施都不错，就是新开业，连个招牌都没有，难找', '短评打分': 5}
{'短评内容': '昨天送朋友入住酒店，大厅稍小，进房间感觉不错King Size 的大床，有table dance 的舞台那样大，除去地板，和卫浴经济一点，基本四星，若不是西博会房价上浮，平时房价物有所值。离要去办事的公司下楼便是，方便。', '短评打分': 5}
{'短评内容': '很好,', '短评打分': 3}
{'短评内容': '很干净 舒适 特别床很好睡的样子！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净交通方便，不错。。。。。。。', '短评打分': 3}
{'短评内容': '酒店周边环境不错，内部设施是新的，还有送早餐服务。个人感觉价格稍高。总体不错。', '短评打分': 5}
