{'短评内容': '房间大，卫生清洁，交通方便，周边吃饭也方便。', '短评打分': 5}
{'短评内容': '非常不错，旁边就有吃的！', '短评打分': 5}
{'短评内容': '服务优质好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店非常的不错 地理位置很好 周围出行很方便 酒店的环境也价格性价比也是非常好的 总体对酒店非常的满意', '短评打分': 5}
{'短评内容': '酒店很好 地理位置好 而且环境也很好 房间很大 环境卫生也很不错 周围出行方便 地理位置不错 早餐也很好吃', '短评打分': 5}
{'短评内容': '很高档、优雅，是商务人士的首选酒店，推荐推荐。', '短评打分': 5}
{'短评内容': '早餐品种少，品质一般！', '短评打分': 5}
{'短评内容': '前边修路  房间气味重', '短评打分': 4}
{'短评内容': '总体满意', '短评打分': 4}
{'短评内容': '房间味道太大  ', '短评打分': 3}
{'短评内容': '酒店挺好的，经常在这里住，环境、卫生、服务都不错。', '短评打分': 5}
{'短评内容': '环境不错，就是打车不方便，洗澡水温度不稳定', '短评打分': 4}
{'短评内容': '环境不错，就是打车不方便，洗澡水温度不稳定', '短评打分': 4}
{'短评内容': '出差办事离得近', '短评打分': 5}
{'短评内容': '出差办事离得近', '短评打分': 5}
{'短评内容': '才重装，气味较大。退房时竟称少了一个除味包，哎！其他还不错。', '短评打分': 5}
{'短评内容': '开会去住的，也就这个标准了，还不错', '短评打分': 5}
{'短评内容': '酒店服务还不错，硬件还要提高。', '短评打分': 3}
{'短评内容': '新的酒店，环境整洁干净，服务好，周边交通配套方便。', '短评打分': 5}
{'短评内容': '酒店房间很小，门口停车不方便，地下停车场还没有建好，停地下没有保安不安全，地上停车场一般都没位置。还有酒店大堂的服务不是很好，我结账的时候20多分钟才弄好，查房和打印发票都比较慢。住这里的原因就是地理位置比较好，买家具和车很方便。', '短评打分': 1}
{'短评内容': '只能说很一般，一般到不会再次入住，本来预定5天，住了一天赶紧闪人', '短评打分': 1}
