{'descr': '没有早餐，', 'star': 5}
{'descr': '很好的呀 早订比较实惠', 'star': 5}
{'descr': '酒店处在新城区，距市中心也就六、七公里，十几分钟就到了。设施还不错，服务也蛮好，国庆期间能住这种性价比好的酒店已不错了。', 'star': 5}
{'descr': '挺干净舒适的。下次会再来的。', 'star': 5}
{'descr': '设施差，不值，过节乱涨价', 'star': 2}
{'descr': '设施陈旧，不干净，趁着过节乱涨价，订好的订单又不认，最后携程补的差价，赞，携程值得信赖', 'star': 3}
{'descr': '地理位置有点背，交通便利，房间卫生及设施都还可以，洗漱用品齐全，不足之处就是早餐还需要改善，可以选择的东西太少。', 'star': 4}
{'descr': '有点背着大马路，为了跑马拉松订的，全部都是跑马的，环境住宿什么的都是一般，态度还行~', 'star': 4}
{'descr': '。？。，？！。！。，？………可以', 'star': 4}
{'descr': '挺好的，干净整洁', 'star': 5}
{'descr': '一如既往的好', 'star': 5}
{'descr': '推荐！现在的物价水平，这样的价格住这样的房间，有这样的酒店设施，性价比高。就是洗簌盆是开放式的，怕水溅出来，不喜欢。', 'star': 5}
{'descr': ' 前台服务挺好, 房间挺华丽；但浴室设计的不舒适，房间有股怪味。', 'star': 3}
{'descr': ' 前台服务挺好, 房间挺华丽；但浴室设计的不舒适，房间有股怪味。', 'star': 3}
{'descr': '环境不错。房间也好。美中不足是热水得插电半小时才有', 'star': 5}
{'descr': '环境不错。房间也好。美中不足是热水得插电半小时才有', 'star': 5}
{'descr': '非常不推荐住！！！！差到极限！不干净！头发和灰尘都很多！并且酒店很奇怪，居然要先结帐，然后还要付预付押金，这叫什么事情？！', 'star': 1}
{'descr': '非常不推荐住！！！！差到极限！不干净！头发和灰尘都很多！并且酒店很奇怪，居然要先结帐，然后还要付预付押金，这叫什么事情？！', 'star': 1}
{'descr': '五一扬州的房价那个贵啊，比平时实足翻了个倍，而且还不含早餐（虽然想好了即使送早餐的话，也是会到出门2个左转弯的江阳西路、邗江中路处的六必居吃）。但是整个扬州可能都这样，所以也就没办法了。以后如果节日自驾游的话，建议住到边上的江都市去', 'star': 5}
{'descr': '五一扬州的房价那个贵啊，比平时实足翻了个倍，而且还不含早餐（虽然想好了即使送早餐的话，也是会到出门2个左转弯的江阳西路、邗江中路处的六必居吃）。但是整个扬州可能都这样，所以也就没办法了。以后如果节日自驾游的话，建议住到边上的江都市去', 'star': 5}
{'descr': '  这家宾馆很好！很干净。服务员很尽责， \n', 'star': 3}
{'descr': '  这家宾馆很好！很干净。服务员很尽责， \n', 'star': 3}
{'descr': '性价比一般，外面看起来很普通，里面也不咋地，不过安静是安静的', 'star': 1}
{'descr': '性价比一般，外面看起来很普通，里面也不咋地，不过安静是安静的', 'star': 1}
{'descr': '房间还不错，但位置有点偏，如果自驾的话会比较好，不会碰上堵车的问题', 'star': 5}
{'descr': '房间还不错，但位置有点偏，如果自驾的话会比较好，不会碰上堵车的问题', 'star': 5}
{'descr': '酒店比较新，干净。但也有美中不足之处，望酒店能尽快解决，房间里面没有茶叶，打电话叫服务员送来，一直都没有送。早上起来想洗个热水澡的，但是开了好久都是凉水。希望能24小时供应热水。其他的我都比较满意、', 'star': 5}
{'descr': '酒店比较新，干净。但也有美中不足之处，望酒店能尽快解决，房间里面没有茶叶，打电话叫服务员送来，一直都没有送。早上起来想洗个热水澡的，但是开了好久都是凉水。希望能24小时供应热水。其他的我都比较满意、', 'star': 5}
{'descr': '酒店装修比较新，卫生也不错。服务员的态度非常好，也很热心。晚上打电话问前台，是否有茶叶时被告知酒店是不配的，但私人可以提供一份。而且很快就送到了。不足之处：淋浴房没有防滑垫，有点不安全，而且也没地巾，洗完澡后，淋浴房外都是水。房间有小茶几却没有一把椅子。\n另外：电视机连着电脑，给商务人士提供了方便，但好像不是每个房间都有，父母住的三人间就没有的', 'star': 5}
{'descr': '酒店装修比较新，卫生也不错。服务员的态度非常好，也很热心。晚上打电话问前台，是否有茶叶时被告知酒店是不配的，但私人可以提供一份。而且很快就送到了。不足之处：淋浴房没有防滑垫，有点不安全，而且也没地巾，洗完澡后，淋浴房外都是水。房间有小茶几却没有一把椅子。\n另外：电视机连着电脑，给商务人士提供了方便，但好像不是每个房间都有，父母住的三人间就没有的', 'star': 5}
