{'短评内容': '很偏僻，好多无奈，最后没有住！还好京东主持了公道', '短评打分': 1}
{'短评内容': '厕所有热水，刷牙的杯子也是一次性的，很干净，院子很大，晒衣服方便。老板人很好，会去接。', '短评打分': 5}
{'短评内容': '房子很大很干净', '短评打分': 5}
{'短评内容': '还不错吧，老板挺热情的', '短评打分': 4}
{'短评内容': '单就住宿条件而言，非常好，值得推荐。只是从大路到客栈的距离稍远。还有老板很热情。', '短评打分': 5}
{'短评内容': '客房很新 老板人很好 从客栈下去就能到古城内 挺方便的', '短评打分': 5}
{'短评内容': '该度假山庄是很好的酒店，\n1。酒店很新，房间够大，卫星电视，24小时热水，无线高速上网，免费停车及免费早餐样样俱全。\n2。酒店背靠苍山，面对洱海，到天龙八部影城及古城只要步行十几分钟，离崇圣三塔也不是很远，酒店周围较安静。\n3。酒店的老板及工作人员服务非常热情，经常主动接送客人，我们到酒店后有如到家的感觉。\n4。还有一点要说的是，酒店特意为客人提供苍山的矿泉水用，据说这种水有极好的保健作用。\n在酒', '短评打分': 5}
{'短评内容': '酒店距离古城不行有点远 要走差不多15分钟，但是老板人很好 ', '短评打分': 5}
{'短评内容': '春节和父母住的这家客栈，停车场很大，适合自驾。在大理房间那么紧张的房价高涨的情况下，看着我们带着老人，竟然给了我们很多优惠，真是一个惊喜。原来老板是个大孝子，真是佩服老板~~', '短评打分': 5}
{'短评内容': '厚道实在的老板，春节期间住了4天，我被老板的孝心所感动。据说老板的母亲从东北来喝着苍山的水，头发都变黑了。我每天晒着太阳，使劲喝着山泉水泡的茶，哈哈，希望也能多长些头发起来。', '短评打分': 5}
{'短评内容': '脱离了喧闹的人群，一个非常安静的院落。喜欢每天清晨，站在露台上眺望苍山洱海，视野非常宽广,心情也愉悦起来。客栈刚开业，设施很新，老板阿鹏一个东北小伙子，VERY NICE,下次去大理还住你家。', '短评打分': 5}
