{'短评内容': '无早餐', '短评打分': 4}
{'短评内容': '没有早饭，步行街上有吃早饭的，永欣小炒的海鲜面不错28元/碗，这家店是明码标价的。没有加床的，最好订3人房，房间朝南面积大。适合带小孩居住。酒店位于步行街边上，闹中取静。宾馆门前都可以停车，老板会帮忙的。', '短评打分': 4}
{'短评内容': '没有早饭，步行街上有吃早饭的，永欣小炒的海鲜面不错28元/碗，这家店是明码标价的。没有加床的，最好订3人房，房间朝南面积大。适合带小孩居住。酒店位于步行街边上，闹中取静。宾馆门前都可以停车，老板会帮忙的。', '短评打分': 4}
{'短评内容': '没有早饭，步行街上有吃早饭的，永欣小炒的海鲜面不错28元/碗，这家店是明码标价的。没有加床的，最好订3人房，房间朝南面积大。适合带小孩居住。酒店位于步行街边上，闹中取静。宾馆门前都可以停车，老板会帮忙的。', '短评打分': 4}
{'短评内容': '没有早饭，步行街上有吃早饭的，永欣小炒的海鲜面不错28元/碗，这家店是明码标价的。没有加床的，最好订3人房，房间朝南面积大。适合带小孩居住。酒店位于步行街边上，闹中取静。宾馆门前都可以停车，老板会帮忙的。', '短评打分': 4}
{'短评内容': '位于响岭头步行街旁，交通、餐饮都方便；房间装潢新，很干净；店家服务也很好。总之超过预期，满意', '短评打分': 5}
{'短评内容': '老板人不错，房间也不错。', '短评打分': 5}
{'短评内容': '很好很好哈哈', '短评打分': 5}
{'短评内容': '比较安静，干净，吃饭方便', '短评打分': 5}
{'短评内容': '房间格局蛮好的，农家房，干净', '短评打分': 5}
{'短评内容': '农家乐类型的家庭旅店，各方面的软硬件条件只能将就了，而且房间有霉味（雁荡山的家庭旅店估计普遍有此问题），特别在意的要谨慎。胜在离灵峰景区步行15～20分钟，车子可以停在旅店附近。', '短评打分': 3}
{'短评内容': '底楼太差，上面住完，要不是付钱了，不会住的', '短评打分': 2}
{'短评内容': '三人间，还算可以吧，就是房间有点异味。', '短评打分': 4}
{'短评内容': '宾馆在步行街里面小弄内进出停车非常不方便，上传到艺龙的房间照片是新装修的，还有好多老房间相差很多（严重鄙视老板的弄虚作假）还厚颜无耻地说这是标房。老板更是唯利是图，答应帮忙退我们多的房间，行动没有，不如一开始就拒绝，最后给我们最差的房间了事。', '短评打分': 3}
{'短评内容': '上传到艺龙的是宾馆新装修的几间房，还有好多是旧房（属于欺骗消费者）面积小设施差。更气人的是老板的假冒伪善，订了4个房间，出发时表妹3岁儿子突发急性肠胃炎不能入住，老板答应有新房客入住先推荐我们多的房间，所以没拿另两间房卡，到晚上10点多还有人入住，依旧不提我们的房间，也没有给我们退款的意思，最后给我们最差的，其中一间分明就是他们自己值班用房。还厚脸皮说这是标房。非常鄙视这种人，直接影响了旅行心情。', '短评打分': 3}
