{'短评内容': '不错，很舒适', '短评打分': 5}
{'短评内容': '还行还行还行', '短评打分': 4}
{'短评内容': '在大雁塔和大唐芙蓉园之间，步行可到。西面就是商场和酒吧饭店一条街道，路边有公交车可以到火车站。方便去华山，兵马俑等。房间有卫浴，很方便', '短评打分': 4}
{'短评内容': '青旅位置在大唐芙蓉园，大雁塔之间，参观方便。老板服务很好，价格很优惠。设施相对旧些。不过4人间，这个价格也不错', '短评打分': 4}
{'短评内容': '因为不是旺季去的所以就我一个人住一间。很爽。然后热水不是很热。其他都不错。', '短评打分': 5}
{'短评内容': '位置很好，服务热情。旅馆基本设施可，主要性价比高', '短评打分': 5}
{'短评内容': '环境很好，服务很好，就在大雁塔，很近', '短评打分': 5}
{'短评内容': '订这家是因为位置靠近大雁塔旁边，看评价说晚上都能看到夜景。但可能我们是国庆第二天住的店，去的有点晚，只剩一间没有外窗的房间了，感觉好压抑，抽风机的声间象轰炸机，开着它根本睡不着。相对其他店来说，他们家其实也不是十分平宜的。说实在话，不是太喜欢这家店。房间完全没有WIFI。拿着大件行李，还没有电梯，要自已杠上三楼，受罪呀~~', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '总的来说周边环境还不错  交通也比较便利  在携程之前定的  在节假日出行能订到这个价格也是比较便宜的。', '短评打分': 4}
{'短评内容': '总体不错。离大雁塔和大唐芙蓉园很近，去兵马俑的车站也不远，房间也还不错，只是wifi信号有点弱。', '短评打分': 3}
