{'短评内容': '家人出游不错的选择', '短评打分': 5}
{'短评内容': '马马虎虎啦', '短评打分': 5}
{'短评内容': '很不错！一直住这家！！！', '短评打分': 5}
{'短评内容': '服务态度非常好！', '短评打分': 3}
{'短评内容': '房间还可以，卫生', '短评打分': 5}
{'短评内容': '酒店还是不错的，位置也不错，离市中心也就打车起步费。没有早餐，不过周边有吃的，倒也还好。服务员不说普通话，说一口徐州话，还说自己的酒店是三星级的', '短评打分': 4}
{'短评内容': '还不错…………', '短评打分': 5}
{'短评内容': '房间很小，没有对外窗户。说好的大浴室也没有。感觉环境也就和如家的特价房差不多。早餐也是和别人快餐店合作的。差评，没有一样满意的，完全是坑人的。', '短评打分': 1}
{'短评内容': '第二次到徐州出差，依然选择住这里 ， 酒店无线网 信号挺好的  周边环境也不错， 关键吃饭也很方便的哦！ 附近有两个稍大点的饭店，都不错的 价格公道 实惠哟 住这里 性价比高', '短评打分': 5}
{'短评内容': '酒店住着很舒服，房间够大，配置齐全，对得起三星级，周边吃饭的地方不少，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '酒店住着很舒服，房间够大，配置齐全，对得起三星级，周边吃饭的地方不少，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '我入住后出来再次进入居然就无法打开房门了，弄好好久才弄开。不过态度还可以。', '短评打分': 5}
