{'短评内容': '不错的酒店地理位置也不错', '短评打分': 5}
{'短评内容': '床太老了，松弛，弹簧都显露出来，隔得背疼。', '短评打分': 2}
{'短评内容': '还不错..', '短评打分': 5}
{'短评内容': '还不错，便宜', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '位置很好找', '短评打分': 5}
{'短评内容': '位置很好找', '短评打分': 5}
{'短评内容': '可以。', '短评打分': 5}
{'短评内容': '酒店就在城站边上，因为回到杭州是凌晨二点的航班，所以就坐机场大巴到城站，找个酒店休息一下再说，这样就不用半夜三更打扰家人睡觉了…房间是没窗户的，第一次住这样的酒店', '短评打分': 3}
{'短评内容': '房间没有窗，有热空调，这个价格的已经还可以了', '短评打分': 5}
{'短评内容': '房间不错，卫生不错，服务不错，下次有机会还来', '短评打分': 5}
{'短评内容': '酒店离火车站挺近的，环境还行，性价比不错。', '短评打分': 4}
{'短评内容': '离我要去的地方近来杭州几乎都住着', '短评打分': 3}
{'短评内容': '虽然是没有窗户的 但是有空气净化器 过渡一晚还是不错的 离城站火车站走路10分钟左右。离河坊街也近，就是隔音不是很好 隔壁洗澡听的很清楚', '短评打分': 5}
{'短评内容': '还行，靠马路有窗的，也不吵', '短评打分': 5}
{'短评内容': '服务很人性化，不错。', '短评打分': 5}
{'短评内容': '门是坏的。叫个半天。????', '短评打分': 4}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '很好，下次再来', '短评打分': 3}
{'短评内容': '酒店不错，离西湖、河坊街也很近', '短评打分': 5}
{'短评内容': '房间有点小不过卫生环境不错设备也还好', '短评打分': 3}
{'短评内容': '找了好几次才找到  周边好几个店   晕了   打的说道了 下来一问 不是这个  有走着找了一会', '短评打分': 5}
{'短评内容': '虽然房间小了点，但是住着还是比较舒服的，更主要的是离火车站近，打的11块，带着小孩懒得找，打的更方便。', '短评打分': 3}
{'短评内容': '隔音效果太差了！', '短评打分': 3}
{'短评内容': '小是小点但很干净温馨，感觉经济实惠。', '短评打分': 3}
{'短评内容': '＋我喜欢住连锁酒店，如家连锁就很好，虽然房间不是很大，但很干净整洁，温馨舒适，预定后与入住后的服务都很好！', '短评打分': 3}
{'短评内容': '隔音不好，半夜还能听到各种声音。', '短评打分': 3}
{'短评内容': '位置还不错，虽然不是离西湖最近，不过也不算远！如家一惯的房型，卫生可以，房间稍微小点！', '短评打分': 5}
{'短评内容': '价格偏贵！可能是美院考试期间，周边饭店较少，价贵。', '短评打分': 5}
{'短评内容': '不错···房间比较干净，整体感觉还好，性价比也不错。安全电梯很不错。', '短评打分': 5}
{'短评内容': '比较宽敞，也比较干净，不错', '短评打分': 3}
{'短评内容': '很方便，很错', '短评打分': 3}
{'短评内容': '环境很好～房间干净!服务也不错～只是 隔音效果和房间的大蚊子需要改善。。。', '短评打分': 3}
{'短评内容': '前台服务员服务态度很一般，其他还好，房间和地理位置不错', '短评打分': 5}
{'短评内容': '环境还不错，交通方便', '短评打分': 3}
{'短评内容': '很不错。。。。。便宜，至少比7天便宜，房间倒都是一样', '短评打分': 5}
{'短评内容': '隔音效果差强人意一点，不过总体还不错哦。。。。。', '短评打分': 5}
{'短评内容': '房间虽小，但很温馨，干静，舒适，交通也比较方便！', '短评打分': 5}
{'短评内容': ' 布置的挺温馨的，很干净，性价比比较高。', '短评打分': 3}
{'短评内容': '大床房，房间有点小，但是很干净，还有电热蚊香和电吹风，床单是粉红的，不过没有窗户。', '短评打分': 3}
