{'短评内容': '位于市中心，经济实惠，环境好', '短评打分': 5}
{'短评内容': '我们要求别人做到最大', '短评打分': 1}
{'短评内容': '在这种情况下？是不是因为', '短评打分': 1}
{'短评内容': '非常不错，飞机晚点入店服务人员非常热情', '短评打分': 5}
{'短评内容': '比较正整洁，房间很大，服务人员态度都很好。房间里有南方特产小强，估计是避免不了的，有心理准备。提前打电话咨询了，选的靠近民居的房间，下午有打牌的人，有点吵，晚上不吵。没有停车场，需要到旁边的地下停车场停放，一天20元。', '短评打分': 4}
{'短评内容': '位置很好，干净整洁，服务态度好，很有礼貌，都会问好，感觉真好。', '短评打分': 5}
{'短评内容': '环境不错，很干净！服务员热情，设施齐全！', '短评打分': 5}
{'短评内容': '服务很好，很方便，干净，一直都很喜欢这里！', '短评打分': 5}
{'短评内容': '很不错，很方便，干净！热情！服务也好！', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '门脸挺小的 步行街有一家如家特好 离得也很近', '短评打分': 5}
{'短评内容': '很不错的，每次来三亚都住这，出行倒车都方便，会经常光顾的。', '短评打分': 5}
{'短评内容': '位置挺不错的，干净！', '短评打分': 4}
{'短评内容': '帮升了有窗的，房间有些小，性价比高', '短评打分': 5}
{'短评内容': 'bu cuo。', '短评打分': 5}
{'短评内容': '三亚毕竟是三亚，电梯稍微偏小，自行车必须竖起来放进去，其它一切不错，店员服务很好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '因为不了解如家的情况，所以就订了一天，结果发现不论卫生，服务，酒店设施，都很好，有续住了4天。', '短评打分': 5}
{'短评内容': '如家最适合懒人，假如你厌烦盯着电脑从一大堆酒店中选择一个。无论你住天南海北哪家店，房间软硬件几乎是一样的，不愧是酒店中的麦当劳。交通也很便利，门口就有到火车站、飞机场的公交，斜对面就是长途汽车站。唯一不足是目前正在修路，比较吵', '短评打分': 5}
{'短评内容': '市中心的位置，175的价格，性价比是没的说了，离第一市场很近，方便去三亚游玩的人过去把海鲜吃个爽。卫生比较干净，服务员也很热情，住宿很愉快。', '短评打分': 5}
