{'短评内容': '没有停车场，没有早餐。房间有异味', '短评打分': 3}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ', '短评打分': 5}
{'短评内容': '没早餐，位置在学校旁边，老板自己招待哦，相对于价钱也是可以了，毕竟才百来元不能高要求。洗漱用品自带最好。如是出门旅游还是对自己好点。', '短评打分': 3}
{'短评内容': '老板服务很好，位置不错，就是改翻新了', '短评打分': 3}
{'短评内容': '考雅思 就距离来说 绝佳 五分钟 但是设备的话 可以克服 ', '短评打分': 3}
{'短评内容': '就是家庭式的，而且没办法开发票', '短评打分': 2}
{'短评内容': '不卫生，五天从没换过毛巾，今晚还他妈停电了到现在还没来电！！！！！！什么破玩意儿！', '短评打分': 3}
{'短评内容': '喝水的杯子都没有', '短评打分': 4}
{'短评内容': '卫生一般，设备简陋，服务还好吧', '短评打分': 4}
{'短评内容': '还是挺好的 为了考雅思去住的 离师大比较近 老板挺好的', '短评打分': 4}
{'短评内容': '前台态度不错，但是房间很烂', '短评打分': 3}
{'短评内容': '环境不错，洗衣机空调电视都有，像单身公寓一样，不过就是钟点房有些吵。', '短评打分': 5}
{'短评内容': '打扫阿姨人超好，因为入住的时候人家刚退房，还没来得及打扫，所以阿姨给我换了一间。', '短评打分': 5}
{'短评内容': '这次住的没有以前的9楼房间干净。设施何时比较好的。', '短评打分': 5}
{'短评内容': '还好。周末价格还要上涨。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '距离福师大比较近，价格比较实惠，环境也不错，设施齐全（洗衣机、空调、免费网络等等）。唯一一点美中不足的是，有时候卫生会比较粗心，不够干净。', '短评打分': 5}
{'短评内容': ' 乐好家，一般，还是比较贵的', '短评打分': 3}
{'短评内容': '环境不错，地点方便，性价比高', '短评打分': 3}
{'短评内容': '服务态度很好。环境设施也很不错。就是厕所太臭了。', '短评打分': 3}
{'短评内容': '还不错，有种窝的感觉', '短评打分': 3}
{'短评内容': '一般，茶杯茶叶都没！', '短评打分': 3}
{'短评内容': '客服态度不是很好啊！！\n而且，就在旁边，还有一家叶子酒店，比这家便宜很多！设施完全一模一样的！\n第二天果断就住在叶子了！\n叶子酒店的位置：就在乐好家进门的地方，电梯旁边，往右面去，就是了！', '短评打分': 1}
{'短评内容': '房间干净舒适环境好值得下次在入住', '短评打分': 3}
{'短评内容': '总体还不错吧！、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '酒店式公寓，很好，住那样的房子适合旅游居住', '短评打分': 5}
{'短评内容': '＋不错', '短评打分': 3}
{'短评内容': '很不满意，128元非常不值，这种环境的实际价值最多50元上下。上面的评论都自己刷的吧？', '短评打分': 3}
{'短评内容': '服務態度非常好 房間也很乾淨 清幽 只可惜唯一缺憾 廁所很臭～～', '短评打分': 5}
{'短评内容': '在帅大新校区附近交通方便，吃饭逛街都很方便了', '短评打分': 5}
{'短评内容': '环境还不错。。。挺安静的。。。设施齐全。。。有电脑、洗衣机。还有电视机顶盒。。恩。。不错', '短评打分': 5}
{'短评内容': ' 性价比還可以', '短评打分': 3}
{'短评内容': '房间很干净。用具齐全。而且居然有电脑！楼下各种商铺齐全。。配套不错', '短评打分': 5}
{'短评内容': '店老板很好客很热心！\n距离师大也很近很方便。这里有家的感觉，安全也很好。\n唯一的不足就是房间太大了。。。', '短评打分': 5}
{'短评内容': '总的来说还是不错的，服务态度很好，唯一不好的就是卫生间有点臭。', '短评打分': 5}
{'短评内容': '位置还行，距离师大蛮近的，房间卫生条件很好，服务到位，性价比高，下次还会住的', '短评打分': 5}
