{'短评内容': '地角挺好，设施、服务一般。', '短评打分': 4}
{'短评内容': '房间很干净，舒适，交通方便，很不错。对于出差的人来说是不错的选择。服务也很好，性价比不错。推荐给大家！', '短评打分': 5}
{'短评内容': '装修有点老了，过时了。', '短评打分': 4}
{'短评内容': '学院的酒店', '短评打分': 5}
{'短评内容': '条件差，不适合带孩子入住。', '短评打分': 2}
{'短评内容': '第一次入住该酒店，总体还算满意。', '短评打分': 4}
{'短评内容': '很好，离学校近！', '短评打分': 5}
{'短评内容': '房间设施陈旧，插座不好用，房间内味道不好!服务态度一般，打前台电话没人接，得到楼下找服务员。没有wifi。结账时，从400元现金押金中扣的房费，以致无法返现!', '短评打分': 1}
{'短评内容': '不好……', '短评打分': 1}
{'短评内容': '没有空调冻死了，第二天退房了！', '短评打分': 2}
{'短评内容': '酒店一般，门口就是公交站点，出行较为方便。', '短评打分': 3}
{'短评内容': '还不错，可以偶，下次再来', '短评打分': 3}
{'短评内容': '没有电吹风机，早晨洗头发不方便，其他挺好的', '短评打分': 5}
{'短评内容': '设施较陈旧，关键看价格，价格太高就不值得住了。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，感觉很不卫生', '短评打分': 3}
{'短评内容': '虽然房间不小，但设施陈旧，感觉像一个老国营酒店，缺少现代气息。', '短评打分': 1}
