{'短评内容': '安静', '短评打分': 5}
{'短评内容': '房间不错，干净卫生，主要是在市中心，吃喝玩乐方便', '短评打分': 5}
{'短评内容': '定的标b，8楼，不能电梯直达，加钱换了5楼，房间真的小，不过我们办事只住一下，也无所谓了。酒店在步行街上，刚好住在街背面没感觉街道吵，只是隔音的确不好，能听到隔壁声音。用品用袋子套上，算干净。位置还好，距离地铁等不远。', '短评打分': 5}
{'短评内容': '一直是锦江之星的老顾客了，房间设施齐全，干净。交通便利。出门首选锦江之星。', '短评打分': 5}
{'短评内容': '总体不错，就在市中心位置，挨着钟楼，回民街，永宁门，所有西安大商场都在这，交通挺方便的，住宿条件干净', '短评打分': 5}
{'短评内容': '不错，旅游住这里太方便了，推荐', '短评打分': 5}
{'短评内容': '位于商业圈，周边设施较为完善，房间较小，卫生还不错，只是房间的免费饮用水或是洗漱用品有时未能及时补全', '短评打分': 5}
{'短评内容': '还可以吧 位置不错 就是男前台看我是美团的把我安排到没有电梯的那个楼层最后一个房间 不给换别的 想换必须加钱 太过分了', '短评打分': 1}
{'短评内容': '京东太好了，还有这么多功能！酒店很好，干净！', '短评打分': 5}
{'短评内容': '不错，挺好的的', '短评打分': 5}
{'短评内容': '不错，挺好的的', '短评打分': 5}
{'短评内容': '不错，挺好的的', '短评打分': 5}
{'短评内容': '西安骡马市店总体来说不错的，就是房间小了点儿，其他一切一切都很好，服务也很好，谢谢', '短评打分': 5}
{'短评内容': '地理位置非常好，价格很实在，以后还来', '短评打分': 5}
{'短评内容': '挺好的，卫生好！', '短评打分': 5}
{'短评内容': '地理位置很好！中规中矩！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务好，周边环境不错！', '短评打分': 5}
{'短评内容': '酒店地理位置优越，环境干净整洁，真心不错，期待下次入住。', '短评打分': 5}
{'短评内容': '酒店环境干净整洁，位置便利，价格公道，很不错！', '短评打分': 5}
{'短评内容': '环境不错，很干净，虽处于热闹的骡马市，但隔音效果很好', '短评打分': 5}
{'短评内容': '酒店位于步行街，比较嘈杂，房间比较小，尤其是电视太小，看起来不舒服，服务还好行。', '短评打分': 4}
{'短评内容': '周边商场很多，电影院就在民生百货楼上，地处繁华闹市，房间设施一如既往的锦江之星品质，总体不错，适合商旅之选！', '短评打分': 5}
{'短评内容': '酒店处于商业街中，出门就是大型商场和吃饭的地方，地理位置便利，就是晚上的霓虹灯和杂音太久，不够安静，价格实惠', '短评打分': 5}
{'短评内容': '位置好，干啥都方便，离地铁站也很近，酒店总体较高，打扫卫生的大姐干活麻利', '短评打分': 4}
{'短评内容': '酒店位置很好，离钟楼回民街都很近，旁边商场超市都很多，酒店就在骡马市步行街上，东大街上有很多吃饭的地方，酒店打扫卫生的大姐干活非常麻利，缺点就是在闹市区比较吵，房间比其他地方的店偏小，可以理解，携程预订比会员价还便宜，只是后来发现去哪儿网更便宜，发票不能在店里开，只能从携程开，还需加邮费，个人的评价，仅供小伙伴们参考', '短评打分': 4}
{'短评内容': '酒店位于步行街上，地点很繁华，距离钟楼鼓楼很近，挺方便的。', '短评打分': 5}
{'短评内容': '印象最深的是酒店的装饰\n花园般的感觉很温馨\n让人进去就心情愉悦\n很注意细节 正是这些细节体现了酒店的用心和价值体验\n\n酒店在骡马市步行街\n出行交通也比较方便\n到钟楼鼓楼步行就到\n离回民小吃街也很近', '短评打分': 5}
{'短评内容': '总体评价：如果再去西安，肯定不会再入住了\n前台：当天下午到前台办理入住，一位先生听了预定的名字后，从前台旁边的小屋出来，重复了我的名字，他问我：你甚么时候预定的？你的房间因为中考考生预定房间所以现在没有我当时预定的房型了，如果要偏要入住同样的房型，只能坐电梯到7楼，然后再走楼梯爬一层楼，如果不愿意爬楼，就只能换房型。我提前一个月就已经预定了，如果有变动应该提前通知我，我两人带着两个大行李箱，一个双', '短评打分': 1}
{'短评内容': '地段可以，但房间较小', '短评打分': 3}
{'短评内容': '房间比较小', '短评打分': 3}
{'短评内容': '除了在繁华区出行、吃饭比较方便外其它就一般了，房间很小卫生也一般，洗澡水很小也不热！！！', '短评打分': 3}
{'短评内容': '房间干净整洁，服务员热情，周到。锦江之星是我出行入住的首选。', '短评打分': 5}
{'短评内容': '位置很好,很方便', '短评打分': 3}
{'短评内容': '环境还不错，住在市中心就是好啊', '短评打分': 3}
{'短评内容': '房间小了点，地段不错', '短评打分': 3}
{'短评内容': '挺不错的，离钟楼很近，晚上也不吵闹，暖气很足窗户都要开着。', '短评打分': 5}
{'短评内容': '一般。位置錯，在步行街中間。價格與身價比不符合。格偏高。酒店櫃台服務員態度不錯。', '短评打分': 5}
{'短评内容': '因出差一直都住这个酒店，不错的，值得推荐。', '短评打分': 5}
{'短评内容': '\nhHHHHggggggG˝gGgggGGGggggggghhh', '短评打分': 5}
{'短评内容': '出差都住这里，还不错。。////////////////', '短评打分': 5}
{'短评内容': '卫生整洁但空间太小', '短评打分': 3}
{'短评内容': '酒店非常不错。环境很好。位置在步行街内，很繁华。就是比较吵。', '短评打分': 5}
{'短评内容': '房间面积比较小，但是很紧凑，还是不错的。。。。出行很方便，服务也很到位，值得推荐', '短评打分': 3}
{'短评内容': '还好，性价比好，1111111111100000', '短评打分': 5}
