{'descr': '前台服务很棒，就是安排的房间空调坏了。', 'star': 4}
{'descr': '酒店位置很好，地铁四号线五号出口出来走一点路就能到酒店。离观前街非常近，步行去平江路一条街也不远，除了那个空调声音太响，其他还是蛮可以的，周末价格也涨得不多。', 'star': 5}
{'descr': '这酒店不错', 'star': 5}
{'descr': '一宾馆，在苏州市中心，价格便宜，很卫生，我们感到很满意，下次到苏州来，我们还想住在这里', 'star': 5}
{'descr': '酒店位置如何?', 'star': 5}
{'descr': '被子舒服，热水热、空调也想，无线网给力，只是电视遥控器有问题，免费两瓶水，离察院街地铁站5号口直行500米，反正点外卖也送的快', 'star': 4}
{'descr': '希望及时更改店名 我们入店住宿时已经不是如家了，但仍是相当的好。', 'star': 5}
{'descr': '这家店已经改成格林联盟了，退出了如家连锁。房间里花洒漏水，但算是对得起118的价格了。', 'star': 5}
{'descr': '是汉庭，根本不是如家。挂羊头卖狗肉！', 'star': 5}
{'descr': '这个比对面那家要好太多了 地铁那家 略差 这家环境好很多', 'star': 5}
{'descr': '不错崔军考虑过几个', 'star': 5}
{'descr': '房间洁净度一般，另外比较吵。', 'star': 4}
{'descr': '房间干净，不错！美滋滋', 'star': 5}
{'descr': '地理位置非常好，吃喝购物旅游特便利。', 'star': 5}
{'descr': '还可以！', 'star': 5}
{'descr': '房间空间挺大的，这个价位能有这样的房间挺不错的，由于外边修地铁，所以环境差了点。总体还是不错的～离观前很近，可以吃挺多好吃的～', 'star': 4}
{'descr': '观前街有好几家如家，这家距离单位最近，卫生状况还可以，就是床不太舒服，服务方面还可以，就是一楼服务台烟味太大，希望改善', 'star': 4}
{'descr': '位置离单位比较近，但是床实在不舒服，洗澡很冷，房间的空调要等一会才能打起来，晚上睡觉略吵，一定要要求安静房间', 'star': 4}
{'descr': '位于人民路上面，距离观前街走路十分钟，关键是离工作单位近，可以睡到很晚，但是床实在不舒服，一定要求住在安静房间', 'star': 4}
{'descr': '当时预定的单人大床房，结果到店说有大床房的一层都没有wife结果调整到双床房，现在都记得被子汗味很严重', 'star': 3}
{'descr': '不错，出行首选如家！', 'star': 5}
{'descr': '总体还不错，位置也很好，交通方便', 'star': 4}
{'descr': '挺好的 全新装修的酒店 十分满意', 'star': 5}
{'descr': '不好找', 'star': 4}
{'descr': '服务很好，特别是戴眼镜的男生服务态度超级好，连续住了三天，如家统一的风格就是房间有点窄小，不过都是可以接受的，不错', 'star': 5}
{'descr': '酒店不错。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '入住时被劝说取消网上确认，要求加40元购买如家会员卡，说比在网上订便宜，在上海、杭州也有相同情况，非常不满意，希望京东加强监督。', 'star': 5}
{'descr': '服务好，干净方便，房间再大一点就好了', 'star': 5}
{'descr': '很好，很方便。不错的选择！', 'star': 5}
{'descr': '很好，很方便。不错的选择！', 'star': 5}
{'descr': '.....', 'star': 4}
{'descr': '性价比还不错', 'star': 4}
{'descr': '环境还不错', 'star': 5}
{'descr': '房间不错，坐车也方便.位置离观前街购物中心挺近.', 'star': 5}
{'descr': '如家的店一般都不错，我早晨5点半到的正好还有一间符合我预定条件的就直接入住，休息的不错，谢谢', 'star': 5}
{'descr': '第一次住如家，环境不错，可能是因为新店，所以设施都很好很新，服务态度秉承如家惯例，一律公式化，不冷也不热。在苏州玩了两天，感觉苏州的老爷爷和老奶奶比年轻人热情，可爱极了~值得一提的是来观前街有好几家如家，初来苏州，的士师傅很不负责的走过了观前店，转到了街口让我们自己走回来，正好跳表多赚了2块钱；走时候打车明确的说了几遍去北广场站，的士师傅却把我们带到了汽车北站，对苏州的的士师傅彻底无语了，印象超级', 'star': 5}
{'descr': '房间很舒适，服务态度不错，以后出门旅行还会选择如家。', 'star': 3}
{'descr': '酒店不错，离观前街很近，服务员态度很好，价格也很便宜！', 'star': 3}
{'descr': '位置不错  环境大体还好  只是住的那间房窗户是坏的  还有就是房间偏小', 'star': 5}
{'descr': '交通方便，游玩苏州住这里很方便，周边景点很多、出行公交也方便，吃、超市都在旁边。', 'star': 5}
{'descr': '还不错 离景点也近 火车站有车直接到 就是附近吃饭没合适的 小地摊式的 很贵  一点不实惠', 'star': 5}
{'descr': '这个酒店很不错,位置也好,就是当地的这个位置打车很是不易的', 'star': 5}
{'descr': '离观前街很近，从火车站可以打车过去，到拙政园打车也不远，早点可以出门后往右走，有条古巷，里面有夫妻二人开的店，味道不错！', 'star': 5}
{'descr': ' 还不错，价格实惠，卫生条件也可以', 'star': 3}
{'descr': '位置不错，房间也还干净，就是没有早餐', 'star': 3}
{'descr': '房间还可以，面积够用，交通也方便，就是隔音不够', 'star': 5}
{'descr': '第一次和女朋友苏州旅行就住的这家酒店 感觉很不错 房间的布局很温馨，空间也很大，卫生间都很干净还有电吹风，噪声也还行，值得入住，就是有个小建议，卫生间比较滑而房间只有塑料纸的拖鞋，有点丝滑，可以配备一些可以穿的拖鞋就更好了，总之值得大家入住的。', 'star': 5}
{'descr': '户型有点小~~~~地理位置还不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '我很喜欢这个店的干净和清静！而且在闹市中，进门上楼便是又一重感受，外边喧哗躁动，里面清雅安宁！', 'star': 5}
{'descr': '酒店很干净，很舒服。距离观前街只有一两分钟的路程，很方便。附近的烧烤很好吃！', 'star': 5}
{'descr': '不错哦，靠观前很近哦。。。', 'star': 3}
{'descr': '酒店位置非常好，附近非常热闹，很适合去旅行的人，离火车站也近！', 'star': 5}
{'descr': '酒店环境不错，离观前步行街很近，去拙政园，虎丘，汽车站什么的都不用转车', 'star': 5}
{'descr': '房间比较小，设施算比较完备，大床房换了个商务大床的感觉也小的很。。。', 'star': 5}
{'descr': '靠人民路边上，车辆多，有些吵，服务态度还不错', 'star': 5}
{'descr': '位置很好设施全,住的舒适!只是可能因店好不愁客,所以前台服务员态度很差,对顾客爱理不理!管理有待加强!', 'star': 3}
{'descr': '一切都蛮好的  环境还有服务都不错 下次再来', 'star': 5}
{'descr': '房间比较小，但是离观前街很近，总体来说还可以吧。', 'star': 5}
{'descr': '位置不错，离拙政园和观前街都不算远，可以步行。去火车站也方便，车很多。最贴心的是离店后可以寄存包裹，这个蛮好，以前不知道如家有这个待遇。', 'star': 5}
{'descr': '酒店位置很好，交通便利，旁边还有个物美大卖场，购物方便，并且离观前街很近；\n特惠房比较小，早上比较吵，可能是窗户临街的原因；\n对于要求不很高的朋友来说，酒店还是值得住的。', 'star': 5}
{'descr': '住了好几次了，挺好。交通方便，服务也不错，还会在选择。', 'star': 5}
{'descr': '房间十分小，还有设备非常陈旧，性价比超级一般。', 'star': 1}
{'descr': '地段不错，就在接驾桥公交站附近，到观前街、苏博等景点也就2个站而已。\n不过特价房比较小，而且是靠马路这边，都在最边上，2楼这间，wifi信号很弱，手机基本上连不上。', 'star': 5}
{'descr': '地点很好，员工服务很好，一天街上有很多快捷酒店，看来有竞争就是对消费者有好处', 'star': 5}
{'descr': '还不错，房间挺干净', 'star': 3}
{'descr': '交通方便，干净舒适\n\n周末会涨价，注意续费即可', 'star': 5}
{'descr': '离观前街很近，离火车站3站，离拙政园步行25分钟\n\n周末的房费是250+\n\n房间卫生什么的都ok，去哪里都很方便\n\nPS：5楼标准间旁边有风箱响声，略微影响休息', 'star': 5}
{'descr': '酒店各方面还不错，唯一不行的是电视。频道太少', 'star': 3}
{'descr': '环境舒适，唯一不足的是房间临街稍微有点吵，但是出行真的很方便', 'star': 5}
{'descr': '房间非常干净整洁，生活用品很齐全，很喜欢。', 'star': 5}
{'descr': '环境舒适，有点不隔音  站点方便去景点！前台mM服务一流！', 'star': 5}
{'descr': '环境舒适，安静房间，地理位置优越  公交站点方便去景点！前台mM服务一流！', 'star': 5}
