{'短评内容': '卫生很好，离国防科大很近，办事方便', '短评打分': 5}
{'短评内容': '里面东西都要收费', '短评打分': 5}
{'短评内容': '房间还不错，价格算比较便宜了，但是所有东西都收费', '短评打分': 5}
{'短评内容': '还可以，就是好多东西都需要收费', '短评打分': 5}
{'短评内容': '一般吧 什么都要花钱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。，', '短评打分': 2}
{'短评内容': '第一次在京东订酒店，挺好的，放心的', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，酒店附近吃很方便，特别是鸭肠王自助餐超划算，29元的自助餐，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '酒店位置不错在市中心地带，交通也挺方便的。下单后联系酒店很快就确认了房间。酒店开业有一定年限了，内部设施维护的还不错，服务接待也还不错，整体感觉还不错。', '短评打分': 4}
{'短评内容': '酒店位置不错，交通也挺方便。预订后10分钟左右前台就确认了，到店办理入住也挺顺利的。房间还蛮大的，装修有一定年限了，维护得还可以。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，经济实惠还会往。', '短评打分': 5}
{'短评内容': '不错，还会来住。', '短评打分': 5}
{'短评内容': '不错，经常住。', '短评打分': 5}
{'短评内容': '不错新开的干净', '短评打分': 5}
{'短评内容': '没拍照，感觉还行，就是有点小，差不多吧', '短评打分': 5}
{'短评内容': '去科大办事方便', '短评打分': 4}
{'短评内容': '感觉不错，离国防科大近很方便', '短评打分': 5}
{'短评内容': '很好，非常好！干净交通便捷', '短评打分': 5}
{'短评内容': '服务不错，位置很好，设施还行，卫生不错，插孔太少，桌子有点儿小，白天空调不开放，无线信号不好，网络不稳定。', '短评打分': 5}
