{'descr': '交通便利 环境优美 服务好', 'star': 5}
{'descr': '价格实惠 环境不错', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '打扫卫生的阿姨人很好，很亲切', 'star': 5}
{'descr': '卫生情况一般，不如莫泰。出行方便', 'star': 3}
{'descr': '挺好的，不是第一次住，但是这次房间外面有点吵', 'star': 5}
{'descr': '还不错 挺大的 有窗户', 'star': 3}
{'descr': '地理位置很棒，向前200米左右就是常州南大街。环境优雅 室内整洁卫生 安静不喧闹 值得入住。下次还回去。', 'star': 5}
{'descr': '酒店还行，挺干净的。', 'star': 3}
{'descr': '酒店很好 服务也好 房间也干净 值得大家入住 ', 'star': 5}
{'descr': '很好 干净 夫妇态度也好 可以入住 早餐也可以 房间干净', 'star': 5}
{'descr': '地理位置不错，酒店也很干净。就是房间稍小', 'star': 5}
{'descr': '以前出门总住如家，听别人说汉庭比较好，这次就订了汉庭。住完总结就是，差劲差劲差劲。一开始安排的是6楼的房间，一进去虽然喷了空气清新剂，虽然开着窗户，还是能闻到很浓的下水道味，于是换房间。我订的是高级大床房，浴室厕所比较大，房间实际不大。网线插头不太好用，时不时断开。搜索到无线网络hanting，问前台密码，前台告诉我们没有密码。房间很贴心的准备着矿泉水，正拧开想喝，发现过期了，问前台，说他们新进的', 'star': 1}
{'descr': '服务态度不错，但硬件设施太。。。卫生间淋浴间渗水，马桶容易堵，墙面渗水，窗户关不上，靠近马路晚上吵了一夜~~', 'star': 1}
{'descr': '地方很好， 靠近闹市区，闹中取静， 出门很方便， 可惜同事住得大床房靠街，吵得第二天换了个不靠街的标间睡了。。。总体来说还是不错的，下次还会入住', 'star': 5}
{'descr': '不错，市中心，干净！', 'star': 3}
{'descr': '在市中心，环境很不错，交通很便利，出行很方便。', 'star': 5}
{'descr': '相对来说还可以，就是位置离闹市区（解放碑、观音桥步行街）有点远，但是房间很干净，设施也还不错，已经是第二次入住了，下次去还会住。', 'star': 5}
{'descr': '卫生和设施都还行，但是房间比较小，服务态度还过的去但是也没有特别的地方，价格比较适中，可是针对房间设施来说还是有些贵了，很一般的酒店，没有感觉有什么方面特别好。', 'star': 1}
{'descr': '酒店还不错，房间也很干净，位置也很好出行都挺方便的，服务态度都还不错，我是挺满意的。', 'star': 5}
{'descr': '房间狭小局促。本来冲着“商务”、“大床”的字眼去的，发现只是把狭小的单人房的床扩大一点而已，且对着路边，汽车噪音很大。既无早餐，还死定12点退房。性价比极差。', 'star': 1}
{'descr': '性价比真的很高，很干净的，住着还挺舒服的。', 'star': 5}
{'descr': '价格优惠，房间设施条件和环境都不错，性价比非常高', 'star': 3}
{'descr': '房间挺干净的，位置也不错，挺方便的，就是价格有点高，总的来说还行，值得推荐 ', 'star': 5}
