{'短评内容': '酒店非常不错，服务态度好', '短评打分': 5}
{'短评内容': '订了两间豪华海景房房，结果酒店的原因，两间同时升级到了套房，房间好大，风景超好，很惊喜很意外很开心！前台小妹的服务态度特别好，客房大姐非常有礼貌，总之一切都很满意！上传几张美照 。', '短评打分': 5}
{'短评内容': '酒店环境优美，但是服务不好，入住都还要等4个钟头。我觉得不值这个价，一天6千多元，还不如去住1千上下的，下次谨慎考虑！', '短评打分': 4}
{'短评内容': '洲际酒店，没得说。礼宾部张志平小伙服务不错。', '短评打分': 5}
{'短评内容': '酒店行政楼各方面的服务水准都很高，值得赞许！唯一的问题就是酒店外来人员太多，素质低下，占用住店客人的资源，大声喧哗随意乱扔垃圾，影响酒店整体形象，虽然有保安看管但无力阻止，这个问题目前是酒店的硬伤，希望酒店方面能有切实可行的措施，还客人一个安静舒适的度假环境！', '短评打分': 4}
{'短评内容': '酒店相当好，在小东海边，下次还去', '短评打分': 5}
{'短评内容': '住的水景房设施感觉有点旧特别马桶建议可以更换了，早餐普通吧，本来很不满意选择这个酒店但酒店医务室的姐姐特别好改观一点', '短评打分': 3}
{'短评内容': '还好，早餐不错，卫生很干净，离市区不远！', '短评打分': 5}
{'短评内容': '非常不错的体验', '短评打分': 5}
{'短评内容': '非常舒适的酒店，服务配得上价格，每一个细节都做得不错，喜欢这里的宁静，喜欢逃脱放空的感觉，以后还会来！值得一提的是每一个工作人员都很敬业，也很有礼貌，我们房间打扫的特别好，还送了水果，我偷偷瞄了一眼我们的管家，好像叫王春妹，希望酒店多培养这样的管家。美中不足就是固有的沙发，毯子，需要清洗了。', '短评打分': 5}
{'短评内容': '棒棒哒，果真没选错', '短评打分': 5}
{'短评内容': '商品价格有优势，就是不能选择单早，比较浪费', '短评打分': 3}
{'短评内容': '环境特别好，地理位置好，海景房真的很好，很大 也舒服，SPA也不错，但是早餐和软件服务及硬件的小细节做的不够好，希望能改进。', '短评打分': 4}
{'短评内容': '酒店很好，洲际品牌没的说，就是露台大沙发附近的小蚂蚁好多，好多，多&hellip;', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '无敌海景，酒店不错。', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 5}
{'短评内容': '很好很好很好非常好，用的很开心，下次还会继续买买买。', '短评打分': 5}
{'短评内容': '非常好的入住体验，就是电视下面的音响和桌子上尘土好多啊。别的都好，办了会员给升级了海景房。', '短评打分': 5}
{'短评内容': '酒店服务规范，设施完善，在鹿回头公园旁边，对面有个小餐馆。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
