{'descr': '酒店价格低条件好很不错', 'star': 3}
{'descr': '不是很理想，房间隔音效果很差，室内简洁，基本什么都没有，总之有点感觉不方便。', 'star': 5}
{'descr': ' 挺干净得', 'star': 3}
{'descr': '酒店位置有点偏，比较实惠，但饮用水和电吹风都在外面，用的时候不太方便。房间小，窗户是开向走廊的，而且窗外有玻璃挡着，窗户只能开个缝，所以相当于个摆设。。。屋内设施简单，隔音还可以，对于外出游玩要求不高的还算OK', 'star': 1}
{'descr': '不错，就是水少，然后隔音效果也不好，外面人打电话里面听得清清楚楚。。。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '房间厕所没有门，和床铺挨在一起…比较干净…离市区较远', 'star': 3}
{'descr': '酒店很干净整洁，但是装修和基础设施太差。墙上的大白都没刮好，害得我自己跑去买了一张包装纸贴墙上。这里并没有早餐服务，住惯了酒店的朋友还是不要选这里吧', 'star': 1}
{'descr': '房间很不错，干净卫生', 'star': 3}
{'descr': '环境不错 干净   就是喝水不方便，热水不多要省着用所以洗澡不舒服要改进', 'star': 5}
{'descr': '酒店很精致，很有特色，费用也不算很多，但是就是位置有点偏，不提供浴袍的，热水限量为40升', 'star': 5}
{'descr': '很好，就是卫生间很小，马桶什么的还露在外面', 'star': 5}
{'descr': '很好，跟自己家一样温馨，下次还去！', 'star': 3}
{'descr': '环境挺干净的，前台服务挺客气的，给个好评', 'star': 5}
{'descr': '酒店环境非常好，很干净，找不出有什么瑕疵，网速也很给力的，只是空间小，但是感觉很温馨。', 'star': 5}
{'descr': ' 很好很温馨', 'star': 3}
{'descr': '非常好，很人性化，很干净，下次还回去的，真的很实惠', 'star': 5}
{'descr': '虽然地方小了点 ，但是蛮干净的，很会节省·空间', 'star': 5}
{'descr': '干净 整洁 温馨  服务态度好  很满意  很贴心  ', 'star': 5}
{'descr': '一切从简，有点过，热水都是限量供应的，空调感觉还行，空间有点小\n', 'star': 1}
