{'短评内容': '找个房间花了 10号线分钟，弯弯绕绕的，真是了，地震都跑不出去。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '停车方便，早餐可以，配的上房价', '短评打分': 4}
{'短评内容': '总体感觉符合汉庭的价格服务', '短评打分': 4}
{'短评内容': '卫生不错，床也舒服。', '短评打分': 5}
{'短评内容': '服务不错，感觉很好，比较干净，很喜欢的酒店，很美好的旅程。交通也比较方便的。价格也比较便宜。下次会继续来住。', '短评打分': 5}
{'短评内容': '服务不错，感觉很好，比较干净，很喜欢的酒店，很美好的旅程。交通也比较方便的。价格也比较便宜。下次会继续来住。', '短评打分': 5}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '卫生环境服务都挺好！', '短评打分': 1}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '酒店服务相当可以，周边吃饭购物不太方便！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '交通便利，性价比高，服务好，停车方便', '短评打分': 5}
{'短评内容': '交通便利，性价比高，服务好，停车方便', '短评打分': 5}
{'短评内容': '还行吧，挺清净的', '短评打分': 5}
