{'短评内容': '不错，价格实惠', '短评打分': 5}
{'短评内容': '酒店位置很好，在宿迁汽车站的旁边，成语大厦里面，每次回来都住这边，房间干净，被子不潮，房间隔音很好，', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很OK，很舒服，比其他平台好', '短评打分': 5}
{'短评内容': '卫生不错，设施有点老旧了，开车的还蛮方便有免费停车场，去市里也快，可是是没有窗户的房间，而且隔壁是KTV有点吵', '短评打分': 4}
{'短评内容': '住过多次，还不错！', '短评打分': 4}
{'短评内容': '房间干净，整洁，很卫生，住过很多次了', '短评打分': 5}
{'短评内容': '不错不哦错', '短评打分': 4}
{'短评内容': '还可以，每次来都住这，离车站很近', '短评打分': 5}
{'短评内容': '超值', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '第一次住套房，入住时间是半夜，就在附近的擀面皮店买了一份擀面皮，5块钱，好便宜啊，06年上学那会才1块5一份。', '短评打分': 5}
{'短评内容': '还是不错，来宿迁一直住这里，房间比较大', '短评打分': 4}
{'短评内容': '第二次住，挺好的', '短评打分': 5}
{'短评内容': '整体感觉一般，房间环境感觉不舒服，早餐也凉，', '短评打分': 3}
{'短评内容': '很好的酒店，住过好几次了！', '短评打分': 5}
{'短评内容': '酒店地理位置还不错，选的特惠大床房，就酒店给免费升级的有窗户的', '短评打分': 5}
{'短评内容': '不行', '短评打分': 3}
{'短评内容': '价格便宜 环境还好 艺龙这次比较靠谱', '短评打分': 3}
