{'短评内容': '设施齐全，不过酒店位于十字路口，所以车流比较多。', '短评打分': 4}
{'短评内容': '前台服务非常好。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '很不错啊，市中心，还可以停车不要钱，虽然就是停门外，但免费，房间小，但是很干净啊，至于说街边吵，本来市区就这样呀，走廊那些都很干净。有蚊子是因为房间开着窗户透着气，挺好的！卫生间还分干湿。很不错了。价格也很实惠。', '短评打分': 5}
{'短评内容': '很不错啊，市中心，还可以停车不要钱，虽然就是停门外，但免费，房间小，但是很干净啊，至于说街边吵，本来市区就这样呀，走廊那些都很干净。有蚊子是因为房间开着窗户透着气，挺好的！卫生间还分干湿。很不错了', '短评打分': 5}
{'短评内容': '服务蛮不错的，环境还可以，每次过来玩都会选择这里。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，位于市区。酒店左前方即有一大商场，购物很方便。前台服务热情，乐于解答一些问题。房间设施一般，但感觉信价比还可以，值得出差首选酒店入住。', '短评打分': 4}
{'短评内容': '感觉好', '短评打分': 4}
{'短评内容': '位置还行，酒店房间卫生不好，价格公道', '短评打分': 3}
{'短评内容': '房间很小，不建议入住', '短评打分': 4}
{'短评内容': '我预定后，到酒店去的时候居然没有预留房间，服务态度很不好！', '短评打分': 3}
{'短评内容': '环境不错，交通方便。不远就是去峨眉的公交车。', '短评打分': 3}
{'短评内容': '房间不大，地理位置在城中心。总体还行。', '短评打分': 3}
{'短评内容': '交通便利，位置比较不错，就是房间比较小', '短评打分': 3}
{'短评内容': '酒店处于市区白龙位置，交通购物吃饭都很方便，水果摊，超市，KFC尽在咫尺。楼上私房咖啡商务简餐也方便。房间干净，设备稍旧。这个价格吗也就算不错了！', '短评打分': 4}
