{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很方便，就是周围有施工，酒店里面还可以，一个人住还不错两个人也可以，图不达意哈哈，早餐也很丰富', '短评打分': 5}
{'短评内容': '干净舒适实惠', '短评打分': 5}
{'短评内容': '在傅家坡长途车站附近的小巷中，紧紧靠近居民区，夜里能听见居民区说话，水管放水的声音，但房间干净整洁，卫生条件也不错，没有异味啥的，总体满意。', '短评打分': 4}
{'短评内容': '如家的房间虽然较小，但布置很紧凑，很温馨，就像他的名字一样，如家一般的温暖，就是这个如家有点不好在棚户居民区里，窗户外就是居民生活区，太嘈杂。', '短评打分': 5}
{'短评内容': '一如既往的如家风格，房间虽不大，但干净整洁，布局合理，设施齐全，第二次入住这家酒店了，净水机是如家亮点。', '短评打分': 5}
{'短评内容': '没有车位', '短评打分': 5}
{'短评内容': '呵呵呵呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '房间还可以，前台还行。', '短评打分': 5}
{'短评内容': '什么意思？没有订这个啊', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还是不错的，戴眼镜的美女服务态度很好。后来前台小哥还打电话问入住感受如何，说有啥问题可以打前台电话。网上订的，也蛮实惠。', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '挺好的，安静，酒店环境不错，就是周边环境一般，总体不错，值了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很安静，卫生干净整洁，方便出行', '短评打分': 5}
{'短评内容': '周边坐地铁不方便，吃的不多', '短评打分': 5}
{'短评内容': '在攜程旅行網訂，非常超值，房間內衛生舒服，很滿意', '短评打分': 4}
{'短评内容': '2412,房间有烟味，窗帘底下有卫生纸没打扫掉。', '短评打分': 4}
{'短评内容': '房间太小了。还有住的地方太不好找。的士在周围转了几圈才找到。还有旁边就是火车道晚上睡觉很吵！！！！！！！！！！！最差的如家。正门真的很破！', '短评打分': 1}
{'短评内容': '还可以把。房间有点小。。。。', '短评打分': 4}
{'短评内容': '门口附近在修路不好找，总体不错', '短评打分': 5}
{'短评内容': '住宿清洁，用具齐全', '短评打分': 5}
{'短评内容': '东西忘记在那边了，服务员及时联系我，非常感谢', '短评打分': 5}
{'短评内容': '地方不错 离武昌站和汽车站都近  去武汉基本都住这里', '短评打分': 5}
{'短评内容': '房间太小，位置太偏', '短评打分': 2}
{'短评内容': '地址很偏，房间也不怎么样，是我住的如家最差的一次', '短评打分': 3}
{'短评内容': '这个真心不错，什么都可以的！价格还很便宜，只是没有无线wifi，值得推荐', '短评打分': 5}
{'短评内容': '不错就这样,别人住的', '短评打分': 4}
{'短评内容': '房间大，就是隔音不太好，性价比好', '短评打分': 5}
{'短评内容': '感觉很温馨不错下次还住如家', '短评打分': 5}
{'短评内容': '酒店很方便，市中心这个价格很实惠！性价比高！卫生非常干净。', '短评打分': 3}
{'短评内容': '环境完全不行', '短评打分': 3}
{'短评内容': '很好，价格合适服务热情，武汉我住过好几家，没见这家服务真是热情，推荐！', '短评打分': 5}
{'短评内容': '值得推荐，这家店的服务员都态度非常热情，我在前台咨询武汉，都很热心为客户着想，而且交通很方便，门口就是公交站，打车也方便；下次还会入住！谢谢酒店前台靓女们！', '短评打分': 5}
{'短评内容': '交通便利，环境一般、卫生干净', '短评打分': 3}
{'短评内容': '倒霉死了，住进去的那天楼下有死人的。。所以就吵死我了。大早上6点钟哀乐就吧我整醒了。我还关了窗户的隔音都超级不好。声音极其大啊。哎。', '短评打分': 1}
{'短评内容': '酒店房间还行环境每家都不一样。', '短评打分': 3}
{'短评内容': '价格实惠，比较干净，就是周边环境有点错，吃饭的地方比较少', '短评打分': 1}
{'短评内容': '性价比非常高，服务非常好，交通便利，安静，下次有机会我还来。。。不足的是窗户有点小问题，', '短评打分': 5}
{'短评内容': '酒店设施不错，就是地段不怎么好，靠着铁路桥', '短评打分': 5}
{'短评内容': '有点背，在小巷子里，门口巷子的卫生比较脏，乱。影响了对这个店的印象。房间还是比较干净，服务态度也很好，也确实比较安静。所以如果自己出门旅游还可以，但是如果是商务，就不是特别理想了。', '短评打分': 1}
{'短评内容': '如家永远和名字一样像家的感觉，干净卫生，不过这个如家店呢，很难找，非常的难找！！硬件设施很落后，别人家宾馆已经液晶电视，如家还是那种20寸的破电视，就这样怎么和别人竞争呢，总的说，想住的舒服就如家。', '短评打分': 3}
{'短评内容': '如家非常讲究卫生，房间很干净，设施很齐全，价格也实惠，非常满意，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店离傅家坡比较近，不太吵！但是床垫常年没晒过，太潮湿，貌似有跳蚤，入住了两晚身上都起疙瘩了！', '短评打分': 5}
{'短评内容': '挺干净，挺安静。房间有点小，不过不要紧。地方挺难找的，我开着GPS才找到。总之挺好。', '短评打分': 5}
{'短评内容': '在小巷子里面，不临街，挺安静的，离付家坡客运站很近，走路5分钟的样子，服务好，人热情，下次还住这里。', '短评打分': 5}
{'短评内容': '一如既往的好！', '短评打分': 3}
{'短评内容': '交通便利，卫生，就是床上的被子太厚点，隔音效果好，房间不错', '短评打分': 5}
{'短评内容': '挺好的一家酒店。安静，干净。服务人员的态度也令人满意。', '短评打分': 5}
{'短评内容': '离火车站近，但打的很不方便，对面有家素菜馆不错', '短评打分': 1}
{'短评内容': '总的来说还是不错的 地理位置也还不错 晚上下飞机 做机场大巴到傅家坡 走几分钟就能找到酒店了', '短评打分': 5}
{'短评内容': '已经多次的住这家店了，虽然有点难找，但是环境真的错，非常安静！下次还会再去', '短评打分': 5}
{'短评内容': '酒店环境安静，服务态度很好，比前面额额7天酒店要好。', '短评打分': 3}
{'短评内容': '都是如家的老顾客了，感觉服务态度越来越跟不上，续房时要求多给瓶水都不可以，，我们是两个人入住的，而且毛巾不给换，理由是续房的房间只能随便打扫一下。。。无语。', '短评打分': 1}
{'短评内容': '酒店很安静，出行比较便利，虽然方便比较小，但是挺干净的。', '短评打分': 5}
{'短评内容': '还不错，价格很公道，就是房间有点小。有停车场是个亮点', '短评打分': 5}
{'短评内容': ' 酒店很安静', '短评打分': 3}
