{'短评内容': '这个酒店确实不错，房间大很干净。', '短评打分': 5}
{'短评内容': '不错！！环境不错！隔音效果还好！', '短评打分': 5}
{'短评内容': '只能给2星，空调完全没效果', '短评打分': 2}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '还行吧，比想象中安静，房间很大', '短评打分': 4}
{'短评内容': '地理位置还不错，离地铁较近，房间还是很不错的，干净整洁，床还是挺大的，如果床头有插座就更好了。。。。', '短评打分': 5}
{'短评内容': '酒店环境优美 房间舒适', '短评打分': 5}
{'短评内容': '21日入住时的前台接待非常差劲、住过些宾馆、是遇到过最差的接待没有之一。22号中午离店时的前台反而非常热情、简直两个极端。', '短评打分': 4}
{'短评内容': '床比较舒适，小空调制热效果不好', '短评打分': 4}
{'短评内容': '经济实惠，还有早餐，只是设施有些老旧，不过还是不错的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格便宜，房间很大，设施比较旧了。', '短评打分': 3}
{'短评内容': '这里的服务态度真的好的没话说，让人住着也舒服', '短评打分': 5}
{'短评内容': '房间很大 每个房间都有窗户  自助的早餐也挺丰富的', '短评打分': 5}
{'短评内容': '我是第一次入住尚品酒店，很不错哦，房间干净卫生，房间装修的很漂亮，前台妹妹说是今年初刚刚装修的，风格很现代，房间很大，住着很舒服，我拍啦几张给大家看看，这家酒店的早餐厅非常好，我拍啦几张给大家做参考哈，自助的早餐，菜品很多，很有四川特色，几乎比星级酒店的早餐还好，特别是酒店的服务员很亲切，总之物超所值。酒店位置交通方便，紧靠成都美食一条街一品天下及出名的金沙遗址。听前台妹妹说成都地铁2号线7月底马', '短评打分': 5}
{'短评内容': '设施陈旧，空调很一般，晚上开最大还感觉冷，热水器是电的，洗一会就没热水了，早餐很差', '短评打分': 1}
{'短评内容': '环境么，不错。楼底下就是一家火锅店！！！火锅店啊，有木有！！！一进电梯就闻到火锅味！！！香！！！！！房间，大！！！！2米的大床啊！！！我打滚啊有木有！！！亲，下回来还住这里哦！', '短评打分': 5}
{'短评内容': '交通比较方便，但是生活不方便，洗手间太小。', '短评打分': 1}
{'短评内容': '不错不错，距离工作的地放比较近，还是很方便的，相对干净。\n这个价格，也就这样了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@', '短评打分': 5}
{'短评内容': '赞：房型够大，早餐不错\n弹：挨着路口嘈杂，即时是朝小区花园的房间都难以入睡；底下是火锅店，时常有味道上窜。', '短评打分': 1}
{'短评内容': '邻近糖酒会，房价貌似涨了些。房间比较大，早餐不咋地！位置在三环，附近有家乐福、美食街。', '短评打分': 5}
{'短评内容': '交通还可以，停车费比较贵，只提供10元停车费，超时要自己给钱', '短评打分': 1}
{'短评内容': '＋没电脑，服务还行，配置比较差！', '短评打分': 3}
{'短评内容': '酒店位置很好-交通方便，房间一般般', '短评打分': 3}
{'短评内容': '房间设施有点陈旧，卫生间的硬件我个人不怎么满意！交通道是很方便的！', '短评打分': 1}
{'短评内容': '还好111111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '这里性价比还是不错，只是房间有点吵，其他的都还是可以接受。', '短评打分': 5}
{'短评内容': '帮朋友预定的，从朋友那里得到了评价，觉得比较一般，没什么亮点', '短评打分': 5}
{'短评内容': '早餐有点差了，服务，卫生，房间设施都还算不错的，性价比也比较高', '短评打分': 5}
{'短评内容': '性价比比较高，还比较干净，总的来说不错。就是宽带出了问题', '短评打分': 5}
{'短评内容': '+酒店环境超差,噪音大，房间洗手盆落水管掉了，马筒盖也是坏的.早餐更别提了', '短评打分': 5}
{'短评内容': '交通方便，环境一般。早餐不是很好，服务一般。', '短评打分': 5}
{'短评内容': '舒适度不好。。。。。。。。。。。。1111111111111111111111111111', '短评打分': 1}
{'短评内容': '除了位置不错，其他的都没什么特别推荐的。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '地理位置很好离三环路很近，交通还是比较方便', '短评打分': 3}
{'短评内容': '地理位置也很好，进出城度比较方便。服务比较好！', '短评打分': 5}
{'短评内容': '该酒店一般', '短评打分': 1}
{'短评内容': '不错，价格便宜，房间大，就是淋浴不方便！', '短评打分': 5}
{'短评内容': '位置好 性价比高~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '只能说便宜。', '短评打分': 5}
{'短评内容': '在修路，酒店有些吵。服务很好，就是不提供早餐', '短评打分': 5}
{'短评内容': '距离&quot;一品天下&quot;走路10分钟内可到,离&quot;金沙遗址&quot;也很近', '短评打分': 5}
{'短评内容': '我觉得在这个价位上来说，他的环境，服务和硬件都算是不错的，交通也挺方便的，而且价格不高不低适中。', '短评打分': 5}
{'短评内容': '里面的东西太旧了，除了房间比较大和位置还比较可以外，其他的不怎么样', '短评打分': 5}
{'短评内容': '位置还勉强算可以，卫生条件较差，隔音情况不好，马路上的车声太大，服务说得过去。关键是住宿和办公混在一起，没有酒店的感觉。谈不上什么舒适不舒适，唯一的优点就是价格便宜。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '门锁非常难开,其他没有什么特别需要指出的地方。能住。', '短评打分': 3}
{'短评内容': '很不错的酒店，很干净，很新。唯一缺点就是这里和住家户在一起，不过还是非常理想的。还会再去', '短评打分': 3}
