{'短评内容': '出门就是洱海 打开窗子就是洱海 听海 观海 午后阳光洒在小花园里 坐着 躺着 品茶 阅读 最美的时光 心爱的人 都在你身边 幸福感悠然而生…爱大理 是一种生活态度', '短评打分': 5}
{'短评内容': '干净，空间蛮大的，过道有人经过听到声音，老板可以租车给我们，开车游览洱海爽歪歪，可惜当时有部分路段修路。', '短评打分': 5}
{'短评内容': '房间很大跟照片上的一样，环境很不错', '短评打分': 5}
{'短评内容': 'OK的 ', '短评打分': 5}
{'短评内容': '住进去以后，又加钱换了海景山景房、海景房，坐在床上可以看到洱海。老板很热情，老板娘川菜手艺不错。', '短评打分': 5}
{'短评内容': '住进去以后，又加钱换了海景山景房、海景房，坐在床上可以看到洱海。老板很热情，老板娘川菜手艺不错。', '短评打分': 5}
{'短评内容': '非常好  老板人太好了 本来这几天天气不算太暖 经过店家解决真是感觉心情好到爆 头一回评论 出门就是洱海了风有点大哦 对了客栈菜做的不错 和我口味', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境很好价格也挺便宜便宜朋友都很喜欢', '短评打分': 5}
{'短评内容': '环境挺好，电店员服务很热情，小伙也够帅……就是早餐实在是太晚了，我们就没有吃，因为赶时间我们就没有再等！房间没有空调，天冷，洗澡后会觉得很凉。照片是早上出门时的照片，很美丽！', '短评打分': 5}
{'短评内容': '蛮好的，家里的感觉！！', '短评打分': 5}
{'短评内容': '酒店环境不错，位置挺好，交通方便，老板人特别酒店环境不错，位置挺好，交通方便，，酒店环境不错，位置挺好，交通方便，', '短评打分': 5}
{'短评内容': '房间设施都还不错，住的挺舒服的，比较安静', '短评打分': 5}
{'短评内容': '真心不错，房间的环境好，性价比也高，虽然不是仅仅挨着洱海从房间看不到洱海但是离洱海特别近，还管早饭，就是房间连着wife的信号不是太强但是真的不错了，整体来说就是好，值得大家去住！', '短评打分': 4}
{'短评内容': '看海 有情调', '短评打分': 3}
{'短评内容': '非常好价格合理，而且就在洱海旁边，赞一个', '短评打分': 5}
{'短评内容': '环境非常好，门口就是洱海，价格也非常的公道，赞', '短评打分': 5}
{'短评内容': '环境非常不错，客栈的早饭也不错，值得你入住！！', '短评打分': 5}
