{'短评内容': '还可以，就是', '短评打分': 5}
{'短评内容': '酒店位置不错，干净卫生.地理位置好，出行吃饭都是比较方便的.前台服务员态度好.价格也不是很贵，是个不错的酒店，值得推荐！', '短评打分': 5}
{'短评内容': '可以免费洗衣，可以停车，还可以。', '短评打分': 4}
{'短评内容': '服务好.房间大', '短评打分': 5}
{'短评内容': '在装修很吵', '短评打分': 1}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务太差了，设施也跟不上，残旧，价钱还高', '短评打分': 2}
{'短评内容': '总体还不错，出差经济实惠', '短评打分': 4}
{'短评内容': '房间有点味道。前台美女服务还蛮好', '短评打分': 4}
{'短评内容': '感觉还可以，房间也很安静。', '短评打分': 3}
{'短评内容': '还不错，有情调', '短评打分': 5}
{'短评内容': '还不错！房间挺干净，舒适！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '舒服，安靜，樓下很多吃的', '短评打分': 3}
{'短评内容': '没早饭，其他还好，就是不能住临街的房。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置比较偏，距离市中心比较远.交通不方便，要过去可能要自驾过去.酒店一般.', '短评打分': 1}
