{'短评内容': '环境不错，房间陈旧需改进', '短评打分': 3}
{'短评内容': '很棒，我很喜欢', '短评打分': 5}
{'短评内容': '交通便利！', '短评打分': 5}
{'短评内容': '环境幽雅！', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 4}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '很老的酒店了，该改造了', '短评打分': 4}
{'短评内容': '11111111111111111111111111', '短评打分': 5}
{'短评内容': '住宿环境好，特别棒，适合大众去住宿环境超级棒', '短评打分': 5}
{'短评内容': '非常不错，感谢平安夜。', '短评打分': 5}
{'短评内容': '非常适合我，赶路之于歇歇脚。', '短评打分': 5}
{'短评内容': '前台态度差', '短评打分': 3}
{'短评内容': '老宾馆了，电视太烂', '短评打分': 3}
{'短评内容': '酒店位置很好找，服务不错，卫生比较干净。', '短评打分': 4}
{'短评内容': '看看吹风机的线，还三星，真是不怎么样，房间还有臭味', '短评打分': 2}
{'短评内容': '设施陈旧，前台接待我是欠你家钱啦，那个态度真让人反感，去餐厅要双筷子要压10块钱，没法说，电视只能看熊出没', '短评打分': 2}
{'短评内容': '................一', '短评打分': 4}
{'短评内容': '环境不错，服务很好。出差刚住下，因公务又匆匆退房。', '短评打分': 5}
{'短评内容': '老旧的宾馆  还不如住如家  至少清爽一些', '短评打分': 3}
{'短评内容': '位置可以.就是宾馆有点老。', '短评打分': 3}
{'短评内容': '入住环境不错，房间整齐，安静', '短评打分': 3}
{'短评内容': '服务态度挺好，环境也不错！出门在外就是住着舒服，干净的！', '短评打分': 5}
{'短评内容': '河南金河宾馆地理位置不错，所住标间较干净，但房间有些偏小。', '短评打分': 3}
{'短评内容': '连空调都没有，也不提前通知，前台服务太度很好\n赵宗葆', '短评打分': 3}
{'短评内容': '：價格不低，衛生條件不好，早上不整理房間！下次不會再住這個賓館。', '短评打分': 3}
{'短评内容': '不错，地理位置好，但有点贵。电脑房间有点少。', '短评打分': 5}
{'短评内容': '地理位置好，卫生干净，服务态度还可以。早餐一般。', '短评打分': 5}
{'短评内容': '地理位置不错，价格合适，早餐也行。房间干净，能上网，很方便。', '短评打分': 5}
{'短评内容': '参加厂家会议，选择了金河宾馆。\n出租车到了后，入住。一切都很顺利。走廊里的地毯老了些，看得出来是老店了。但房间不错，整洁干净。因为事先订的是商务房，配置了电脑的，一到房间，就能上网。上网查了资料。不错，网速也蛮快的。还下了几个电影看。另外处理了几个工作邮件。\n因为要在郑州行走，跟总台要了地图，不象在杭州时路上的旅游宣传亭里可以免费得到，这里没有免费地图，但拿了份借我用。回来记得还了。希望以后会配备', '短评打分': 5}
{'短评内容': '去民航大厦方便，步行几分钟即到。省政府下属酒店，安全。早餐一般。', '短评打分': 5}
{'短评内容': '此宾馆位于郑州市金水路与经三路交叉口东北角，国际反舰 ，地理位置很好，交通方便，干净，比较安静，服务态度较好，物有所值。如果有亲朋来郑州出推荐', '短评打分': 5}
{'短评内容': '房间一般，性价比还行；房间一般，性价比还行。', '短评打分': 5}
