{'短评内容': '很方便的地方，老板也很亲切，适合家庭', '短评打分': 5}
{'短评内容': '酒店前台服务很好，早餐推荐我们去外面附近餐馆吃，实慧便宜。老百姓比较喜欢。前台接待也很好。老人坐轮椅，帮忙把轮椅抬上台阶。建议整修一下，方便轮椅入酒店。', '短评打分': 5}
{'短评内容': '特别好私享家', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '可以，很舒适，房间大', '短评打分': 5}
{'短评内容': '不错，房间里面和外面都很干净。以后还是会入住这家酒店～～～宝贝和妈咪都很满意这家店，还配有洗衣机！！！！', '短评打分': 5}
{'短评内容': '挺好的，两房', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '找酒店就找了半天，附近卫生差，房内有蟑螂。而且要充电器还要自己出门上服务台拿。', '短评打分': 2}
{'短评内容': '挺好的，建议入住。', '短评打分': 5}
{'短评内容': '环境和价格很合理', '短评打分': 4}
{'短评内容': '还可以就是地方比较难找', '短评打分': 4}
{'短评内容': '位于人民南商圈，靠近罗湖口岸，便于出行。', '短评打分': 3}
{'短评内容': '房間是訂到15號的，提前一天下午就退了房☺老板娘非常好人還退了半天房租給我們(￣∇￣)酒店很近關口很方便', '短评打分': 3}
{'短评内容': '优缺点都有！看你怎么看待，交通与舒适度的取舍', '短评打分': 3}
{'短评内容': ' 非常舒適', '短评打分': 3}
