{'短评内容': '酒店干净', '短评打分': 5}
{'短评内容': '价格实惠，不错的选择', '短评打分': 5}
{'短评内容': '还可以，性价比较高。', '短评打分': 4}
{'短评内容': '酒店设施老旧，空调像轰炸机那么大声', '短评打分': 4}
{'短评内容': '这样的价格在上海还是比较便宜', '短评打分': 5}
{'短评内容': '不太新的酒店，其实就是一招待所，实在是价格便宜，上海这价位感觉挺好的．空调声较大，差强人意吧，挺实惠的。连拖鞋也忘了放一双', '短评打分': 3}
{'短评内容': '不太新的酒店，其实就是一招待所，实在是价格便宜，上海这价位感觉挺好的．空调声较大，差强人意吧，挺实惠的。', '短评打分': 3}
{'短评内容': '不太新的酒店，其实就是一招待所，实在是价格便宜，上海这价位感觉挺好的．空调声较大，差强人意吧，挺实惠的。', '短评打分': 4}
{'短评内容': '不太新的酒店，其实就是一招待所，实在是价格便宜，上海这价位感觉挺好的．空调声较大，差强人意吧，挺实惠的。', '短评打分': 4}
{'短评内容': '酒店较旧，胜在便宜，对住宿要求不高且经济实惠型的人可以选择在此，。。。这价位也不能提太高要求吧，离十院78分钟左右', '短评打分': 4}
{'短评内容': '由于亲戚在上海第十人民医院住院，就入住了三天。总的来说房间较大、窗大且阳光能晒入。可能是时间久了生意好入住率高的缘故。灯具、卫生间、浴室的地漏下水要有空检查下。有下水慢慢的情况。', '短评打分': 4}
{'短评内容': '房间大，环境也比较安静，就是床上用品很旧，床单被罩那个单薄啊', '短评打分': 3}
{'短评内容': '本来在做火车前要续订6小时的，结果没谈成，不是因为钱，那态度真不知是怎么当酒店服务员的，无语!', '短评打分': 3}
{'短评内容': '因为是去上海看病的，图了个离医院近！', '短评打分': 3}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '总的来说还可以，住了两天', '短评打分': 4}
