{'短评内容': '太陈旧了 唉 差劲', '短评打分': 2}
{'短评内容': '很好的 性价比高 棒棒哒', '短评打分': 5}
{'短评内容': '还不错  每次来这边都是住这家酒店    好评                                          棒棒哒 ', '短评打分': 5}
{'短评内容': '酒店还不错 很安静 离古镇很近很近 景色不错 很满意     下次还来                   早餐也不错的', '短评打分': 5}
{'短评内容': '酒店位置不错，离沙溪古镇步行3-5分钟，附件餐厅也比较好找。酒店房间烟味太重，我们换了一间酒店烟味还是很重。不适合带孩子出行入住。', '短评打分': 3}
{'短评内容': '干净，温暖，环境好，餐饮也不错', '短评打分': 4}
{'短评内容': '勉勉强强', '短评打分': 4}
{'短评内容': '酒店位置较好，离古镇较近，性价比比较高，下次再来住', '短评打分': 4}
{'短评内容': '酒店有些年代了 设施很陈旧 ', '短评打分': 4}
{'短评内容': '酒店房间蛮大，定了两间标间，看我们三人入住，只给了三张早餐券，服务扣分，其他也不要求什么了，毕竟小地方', '短评打分': 4}
{'短评内容': '结婚为朋友订的酒店 就在古镇附近交通便利', '短评打分': 4}
{'短评内容': '房间较大，卡拉OK噪声很响，性价比一般。', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '挺不错的家乡酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，装修也还比较新，配置还行！唯一缺憾外部环境有点小吵！', '短评打分': 4}
