{'descr': '挺好的，干净', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '没有早餐的', 'star': 5}
{'descr': '不错，还有停车场。也比较方便，房间卫生，空间比较大。帮朋友预定的，住了以后反应还不错，如果有早餐就更棒了', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '还可以', 'star': 4}
{'descr': '很满意这家的环境', 'star': 5}
{'descr': '不咋样，环境不太好', 'star': 3}
{'descr': '还是不错的', 'star': 4}
{'descr': '前台服务员态度不怎么样，住的还可以吧，由于态度不怎么样，所以给不了好评，希望酒店对前台工作人员有好的培训，否则太影响客人心情了', 'star': 3}
{'descr': '交通便利，房间大而整洁。这是我们四个人第二次入住了。今后有机会还会继续入住这家店。', 'star': 5}
{'descr': '到办事的地方近，周边配套有点少', 'star': 5}
{'descr': '卫生好，服务周到!', 'star': 5}
{'descr': '已经多次入住过，酒店很方便，周边都是饭店和小吃，离学校很近，唯一就是交通不方便', 'star': 5}
{'descr': '已经是多次入住的，酒店很不错，设施各方面都很好，周边餐饮很多，饭店和小吃店也很多，酒店下面一楼就是个超市，买东西也方便。', 'star': 5}
{'descr': '条件挺不错的。。。很满意。。', 'star': 3}
{'descr': '酒店本身没有问题，但是目前的地理位置很偏僻。周围几乎全是乡下地方，没有吃喝拉撒的处所。有的只是满头满脸的灰。', 'star': 1}
{'descr': '环境还不错，交通方便，就是吃饭的地方不多', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店近会展中心，周边环境较安静.但周边吃饭的地方不多，都是学校', 'star': 5}
{'descr': '环境不错，服务也可以，交通算是方便，周边吃饭的地方太少', 'star': 5}
{'descr': '房间够大，不足之处，就是由于窗子朝东，会听到过往车的噪音。', 'star': 1}
{'descr': '价格合理，卫生好，静音也不错。。就是有点偏，早饭要另外收费', 'star': 5}
{'descr': '酒店也是比较一般，位置也不是很好找，服务还凑合，价格也还算可以接受。', 'star': 1}
{'descr': '房间的装修卫生还可以，位置的话第一次去的人可能不熟悉不是这么容易找，价格的话还是挺便宜的。', 'star': 5}
{'descr': '除了地址有点偏外，其他都很好~~环境也很舒适，很干净', 'star': 5}
{'descr': '不错，房间很大，而且交通很方便，酒店下面很多饭店，而且很实惠', 'star': 5}
{'descr': '南通教育路格林豪泰，大床房空间大，环境好，是值得下次再去的地方！', 'star': 5}
{'descr': '环境还算可以 服务态度较好        ', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '交通欠便利，周边吃东西的地方不少，但都是学生餐馆，不太好吃，酒店硬件不错！＠！出差可以考虑！＠！', 'star': 3}
{'descr': '服务态度良好，环境安静，卫生状况也不错，还可以提供电召的士服务', 'star': 5}
{'descr': '性价比不错，便宜实惠。在这个城市算不错了还可以', 'star': 5}
{'descr': '典型的经济型酒店，就在南通大饭店附近，地理位置还算好，干净，经济！', 'star': 5}
{'descr': '干净舒适离学校近', 'star': 5}
{'descr': '硬件和卫生条件在酒店来讲是非常到位的,而且位置也不错,性价比超高.', 'star': 5}
