{'descr': '酒店环境很好，也很安静，值得在去。', 'star': 3}
{'descr': '位置不错，交通方便\n价位适中\n附近吃饭方便\n房间卫生一般，酒店有点旧了', 'star': 5}
{'descr': '距离北京国际会议中心走路20分钟，周边比较热闹', 'star': 5}
{'descr': '性价比还是挺好的，比较干净，其实连锁酒店都差不多 ', 'star': 5}
{'descr': '配不上那个价钱，因为特殊原因，不得已住了这家，不好，千万别去', 'star': 1}
{'descr': '商务大床房有点局促，不过标准间面积还好，另外附件吃饭很方便。', 'star': 5}
{'descr': '此酒店不错，交通便利，临近地铁，尤其是到机场很方便。', 'star': 5}
{'descr': '交通方便，办事方便，价格还行', 'star': 3}
{'descr': '酒店很舒服！就是隔音不太好！其他都很好！', 'star': 5}
{'descr': 'ru如家的房间蛮大,气氛温馨,交通便利。', 'star': 3}
{'descr': '房间8505的下水道堵了，电话4次维修人员才到，服务一般般。', 'star': 3}
{'descr': '酒店还可以，房间都很干净，就是设施有些旧了，旁边食肆很多，很方便。', 'star': 5}
{'descr': '交通还算方便，旁边就有吃饭的地方，走路过去地铁的话大概15分钟，可以抄近路', 'star': 5}
{'descr': '一般般吧，没有锦江之星和汉庭设施好，怀疑酒店有内鬼，一入住就接到电话问要不要特殊服务！强烈要求整治不正之风！', 'star': 1}
{'descr': '＋房间很亮，有点贵，洗漱用具不够满意', 'star': 3}
{'descr': '我住的商务大床房，十楼，比较安静，装修是如家一贯的风格，很温馨，住起来很舒服。楼下有家粥铺，还能提供发票，不远处有KFC，还有家迪亚天天，都挺方便的。不满意的1.门口时不时有塞小广告的，还有骚扰电话，希望如家能够控制一下。2电视信号真不怎么样，频道不多就算了，效果还差，全是雪花，如果不带电脑过来想靠电视打发时间就挺痛苦的。', 'star': 5}
{'descr': '我选的商务大床房，房间看起来很温馨，如家一贯的装修风格，住起来很舒服。就是门口不时会有发小广告的，还有骚扰电话，这个希望如家能够想办法控制。另外电视信号不怎么样，如果不带电脑过来，看电视打发时间比较痛苦。', 'star': 5}
{'descr': '个人觉得房间还可以，最满意的是被子，温馨的颜色，盖着也很舒服。刚一进门的时候，房间里有些奇怪的味道。要是有个衣柜就更好了...', 'star': 5}
{'descr': '地段有点偏，设施不错，一贯的如家布局，但上网就有遭到攻击提示，不知道怎么回事。', 'star': 5}
{'descr': '空间较大，干净整洁，比较安静。', 'star': 3}
{'descr': '因为办事比较近所以选择了这家如家。住得还算可以，比较满意。', 'star': 5}
