{'短评内容': '干净卫生，这是主要的', '短评打分': 5}
{'短评内容': '卫生很重要，这个对于带孩子家庭很重要的', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还可以，下面还可以炒菜，老板娘很热情', '短评打分': 5}
{'短评内容': '环境还算可以，但是离汽车站有点远，还要走一个比较陡比较长的楼梯。山上潮湿是必然的，建议大家那晚不要洗衣服，不会干的。加床要加钱，不过还挺舒服的，环境看图。', '短评打分': 5}
{'短评内容': '我挺喜欢的，环境幽雅！服务好！', '短评打分': 5}
{'短评内容': '十一出行价格400多 墙面漏水房间有霉味 热水器容量不够是注水式两人住第二个洗澡速度要快点 没有电吹风没有梳子 只有两条毛巾（还好平时旅行都自带洗漱包）房间的蜘蛛多 总体来说这钱花的不值', '短评打分': 3}
{'短评内容': '温馨干净', '短评打分': 5}
{'短评内容': '酒店位置很清幽，店里的老板们都很热心，一踏进客栈，就感觉家的感觉，房间很干净，晒衣服都有的晒，还有店里的饭菜很是实惠，我们住两晚三天，两晚都在店里吃饭，因为店里的设施就已经很觉得舒服，虽说山里潮湿，店家的位置在上面一点，个人还是没有感到特别潮的感觉。总之值得推荐吧！还有在这么有名的景点，能入住价格适中，环境清幽的客栈其实已经很很不错了。还有一点，我们是开车去的，去的时候一直担心没地方停车，我们运气', '短评打分': 5}
{'短评内容': '一共住了两晚三天，六个大人两个宝宝，订了三间大床房，入住还是很满意的，房间干净，设施也全，不过在一楼的房间确实很潮，建议还是入住二楼以上吧。客栈位于慧远路，到了才发现携程上面推荐的客栈基本都在这条路上，所以位置优势都一样，不过这家外观还不错啦。我们是自驾去的，停车只能在路边，勉强可以找到位子吧。如果步行的话，大概十分钟内就可以到达正街，很方便。在客栈吃了两次饭，还不错，价格比外面实惠，如果出去玩累', '短评打分': 5}
{'短评内容': '去的时候正好整修，安排住光阴的故事。还是很不错的。', '短评打分': 5}
{'短评内容': '房间环境很好，很安静，老板服务态度也超好，基本上是有求必应的??', '短评打分': 5}
{'短评内容': '很悠然，离观光车较近，就是位置较高！', '短评打分': 3}
{'短评内容': '非常温馨的小店，干净卫生。服务贴心到位！', '短评打分': 5}
{'短评内容': '帮朋友预定的，回来后说还是不错的', '短评打分': 5}
{'短评内容': '房间很干静，设施也叫齐全，饭菜比较便宜，就是离', '短评打分': 3}
{'短评内容': '老板娘很热情，环境很幽静，私房菜很可口。电视和宽带不给力，淋浴水压不给力。总体感觉不错。', '短评打分': 3}
