{'短评内容': '感觉不错，安静。', '短评打分': 5}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '热水太小', '短评打分': 1}
{'短评内容': '到这住的基本都是来考试的，早餐种类很少，不过基本都赶时间对付一口，酒店外边的路都在施工，不好走。离考场比较近，晚上基本都是叫外卖吃的', '短评打分': 4}
{'短评内容': '前面可以再修一下路，沐浴露味道不好', '短评打分': 2}
{'短评内容': '定错日期了不能更改不能退，只能认了，条款霸道点了', '短评打分': 5}
{'短评内容': '入住过程挺顺利。', '短评打分': 5}
{'短评内容': '10字10字10字10字', '短评打分': 5}
{'短评内容': '住过很多次了。。。环境还是不错的。。。', '短评打分': 5}
{'短评内容': '价格还可以，设施一般。', '短评打分': 3}
{'短评内容': '卫生什么都好的，服务也到位', '短评打分': 5}
{'短评内容': 'just a room you can do with it. but a goodprice anyway', '短评打分': 4}
{'短评内容': '挺舒适，早餐味道也不错', '短评打分': 5}
{'短评内容': '不错啊，服务都很好。晚上十点出头才到，还给我免费升级房型。走廊房间都铺有地毯，楼下五六家狂放的烧烤摊，房内听不到那些声儿。', '短评打分': 5}
{'短评内容': '不错，就是位子有点远', '短评打分': 5}
{'短评内容': '房间有异味，酒店在驾校里面，场地很大，价钱偏高，不昨滴', '短评打分': 3}
{'短评内容': '除了wifi不太给力，经常连不上。其他的都还好，特别是早餐好吃，也很多选择，满意，前台服务也满意，吹风筒很给力，空调也给力，卫生也不错，相对南宁其他同价位酒店，总的来说还是可以的。', '短评打分': 5}
{'短评内容': '4分，酒店还行，就是窗子感觉很轻易就能弄开了，周围是练车场就感觉很不安全', '短评打分': 4}
{'短评内容': '还行，什么价什么房！主要是干净', '短评打分': 3}
{'短评内容': '酒店很干净，装修是蛮新的，安静，就是位置有点偏，不过离动物园不远，打个的也就几块钱。送的早餐品种多，8岁以下儿童免费的哦。', '短评打分': 5}
{'短评内容': '环境优雅，舒适美丽，服务人员态度很好，值得推荐的酒店。', '短评打分': 5}
{'短评内容': '住了2个晚上的豪华双人间，很不错，蛮舒服的，就是面积有点小，不过比第三天晚上住的7天双人好多，价格只差一块，环境却差远，可能是7天是在市区的原因吧。', '短评打分': 5}
{'短评内容': '环境很好，很安静，服务态度也很好呢，挺不错的', '短评打分': 3}
{'短评内容': '我的豪华双人房房间小了点，第二天晚上停电，希望以后能改善。其他还不错的，环境很好，很安静。值得推荐。', '短评打分': 5}
{'短评内容': '山鹰酒店挺好，早餐也不错，房间干净、价格不贵。交通也方便。谢谢。', '短评打分': 5}
{'短评内容': '刚刚入住，感觉很不错，硬件设施和服务态度都很好，个人认为比如家、7天之类的连锁好多了。而且有叫车服务。\n不过，没有餐厅，也没有叫餐热线，这个比较纠结，不能把餐费挂账到房费里。只供应早饭，午饭、晚饭需要自己想办法，建议以后考虑增加相关服务。', '短评打分': 5}
{'短评内容': '环境,设施条件都不错,只是离市内太远偏僻', '短评打分': 5}
{'短评内容': '环境很好，服务也好，位置不错，空间比较大', '短评打分': 5}
