{'短评内容': '很好。很满意', '短评打分': 5}
{'短评内容': '挺好的，不错。', '短评打分': 5}
{'短评内容': '住了多次，不错', '短评打分': 5}
{'短评内容': '出差订的，酒店干净整洁，服务快速，连锁快捷标准。 有停车场。在南北向干道上，出行方便， 附近是居民区，常规餐饮有。', '短评打分': 5}
{'短评内容': '环境不错，很干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '房间很干净，周围也很安静', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务快速，连锁快捷标准。有停车场。在南北向干道上，出行方便，夜晚稍吵。附近是居民区，常规餐饮有。', '短评打分': 4}
{'短评内容': '房间很好。不错', '短评打分': 5}
{'短评内容': '宾馆卫生好，房间的隔音效果不好，服务态度好', '短评打分': 5}
{'短评内容': '值', '短评打分': 5}
{'短评内容': '           环境服务  都很好                               ', '短评打分': 5}
{'短评内容': '很不错，就是暖气太热了，晚上醒了几次', '短评打分': 5}
{'短评内容': '房间和图片差距太大，落地窗什么的就别想了，和几十块一间的房间差不多，只是卫生很好。', '短评打分': 4}
{'短评内容': '车不太好停。', '短评打分': 5}
{'短评内容': '服务一流、热情、卫生、干净整洁，就是电视信号偏差！其它都好！', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境干净卫生，服务态度很好。周边交通饮食购物方便。不错！', '短评打分': 5}
{'短评内容': '酒店环境干净卫生，交通方便，50米左右就有公交车站。楼下餐饮店很多，也有超市。出行方便。', '短评打分': 5}
