{'短评内容': '行，服务非常好', '短评打分': 5}
{'短评内容': '我订的是大床房，两个人住绰绰有余，房间略小一点，但是离春熙路非常近，不管去去哪里交通都非常便利。离春熙路地铁站，市二院地铁站都非常近', '短评打分': 5}
{'短评内容': '地理环境不错，就在闹市区，但网络特别差，只能早早睡觉。', '短评打分': 4}
{'短评内容': '在闹市区这个价格还是可以的，唯一缺陷就是网络太差，基本没有，其他还算满意', '短评打分': 4}
{'短评内容': '每次来成都出差基本都住这里，离太古里春熙路很近，走路也就5分钟，IFS就在对过，吃饭购物游玩很方便。', '短评打分': 4}
{'短评内容': '这家店一直是我去成都的首选', '短评打分': 5}
{'短评内容': '房间太小了可能是位置关系', '短评打分': 3}
{'短评内容': '酒店很破旧，电梯间经常堆一大堆待洗的床单等。房间卫生条件很差，竟然还有蟑螂。 酒店是时候该装修了', '短评打分': 2}
{'短评内容': '离办事地方近，旁边就是IFS，就餐购物超级方便，价钱也便宜。', '短评打分': 4}
{'短评内容': '小 旧', '短评打分': 4}
{'短评内容': '很好，地段繁华又安静', '短评打分': 3}
{'短评内容': '好，很好找', '短评打分': 5}
{'短评内容': '给的考马路的，有点吵', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '环境挺好的，很干净。入住时有说房间很小，真的是很小，没有太多活动空间，还好我对大小不太在意，主要是干净整洁。房间的窗外挺隔音的，到里面不怎么隔音。离春熙路很近，交通也很便利。值得推荐。', '短评打分': 3}
{'短评内容': '蛮不错，不过他们挂牌价貌似还有更便宜的房间。。', '短评打分': 5}
{'短评内容': '优点：酒店很新，床很大，有电脑，卫生不错，离春熙路很近，过马路就是。\n缺点：我住的3楼的那间房间太小了，说有15平米，是建筑面积，我估计不超过10平米，摆了床，都不能到窗户边上了，窗户也小，房间基本无活动空间。\n总的说性价比不高。不需要电脑的可以去订它的特价房，便宜40元，那个性价比高。', '短评打分': 1}
{'短评内容': '五一入住了一晚，发现装修的还行，就是太小太小，临街比较吵，隔音效果很差，新装修的酒店，无异味，房间内就三个衣架，衣物都没地方放，大床房258的价格简直不匹配，房间最多不到10个平米，空间狭隘！对于258的价格来说，不划算！', '短评打分': 5}
