{'descr': '不错，很好，环境很好。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '总体上还算可以', 'star': 5}
{'descr': '价格便宜，周围没有什么吃的，开车十五分钟周边的商场', 'star': 5}
{'descr': '忘记拍照了，门把手晃晃悠悠一副要掉的样子，电话上一层土，书桌也晃晃悠悠总担心会突然散架摔坏电脑，洗澡的地方也不痛快，水池子是上个世纪90年代的吗？', 'star': 1}
{'descr': '非常不错的住处！很安静很干净。', 'star': 5}
{'descr': '很好很好', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '行吧', 'star': 4}
{'descr': '服务人员很贴心。为付款事项的小问题。很积极的沟通。联系', 'star': 4}
{'descr': '价格还可以接受', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '设施很一般，工业区里面', 'star': 3}
{'descr': '不错 干净', 'star': 5}
{'descr': '床单不干净，不知道前面住的人，走了后，换过没有。', 'star': 4}
{'descr': '房间太小，有地沟的味道，预订的价格比在现场付多百分之三十。有点坑人。', 'star': 2}
{'descr': '酒店整体还不错，就是周边设施不好，连个超市都没，而且住的平房，有蚊子', 'star': 5}
{'descr': '整体还不错，价格合理，房间也比较大，比较方便的是每个房间都配有电吹风，只是卫生间太简陋了点，没有插座，吹头发不是很方便。', 'star': 5}
{'descr': '房间味道很大，不是很干净，卫生间没有插座，吹头发不方便。\n不过整体对得起这个价格', 'star': 5}
{'descr': '挺好的，很干净，推荐入住，但是早餐实在是....', 'star': 5}
{'descr': '一般的服务，一般的客房，一般的家具，一般的环境，稍低的价格，难吃的早餐', 'star': 5}
{'descr': '酒店不错，就是隔音效果差点 凑合能住 评价还是不错的。周边环境就是没吃饭的地方。', 'star': 5}
{'descr': '隔音效果不好...................', 'star': 5}
{'descr': '房内设施很全，总体来说还不错！', 'star': 5}
{'descr': '就是有点装修气味，毕竟是新酒店，总得来说很好。', 'star': 5}
{'descr': '酒店位置有些偏，另外餐厅晚上八点半左右就关门，吃饭很不方便，其他都蛮好的，环境不错。', 'star': 5}
{'descr': '毛巾不干净. 我们就没用,返过来服务生还说是我们给弄脏的,服务很差,而且条件也不错,下次我不会去住.', 'star': 1}
{'descr': '性价比蛮好的酒店，房间很干净，房间硬件设施齐全，服务还可以，下次如果在附近出行还会住的。', 'star': 5}
{'descr': '房间里很干净，设施很齐全，液晶的电视，可以上网，感觉很方便很舒适。', 'star': 5}
{'descr': '非常满意   就是那天外面下雨  呵呵', 'star': 5}
{'descr': '酒店内部环境很好，很干净，院内绿化做的很好，让人感觉很漂亮。', 'star': 5}
{'descr': '大堂挺气派的，服务人员很热情，办事效率也挺快的，感觉挺不错。', 'star': 5}
{'descr': '房间里很干净很舒适，价格上很实惠，这样的酒店值得推荐。', 'star': 5}
{'descr': '房间打扫很干净，该有的设施都有，吹风机都配备好了，不用去前台借了，这点很方便。', 'star': 5}
