{'短评内容': '挺干净，床很大', '短评打分': 5}
{'短评内容': '还不错，家庭房，不贵，冬天，蛮暖和', '短评打分': 5}
{'短评内容': '位置有点偏，很干净', '短评打分': 4}
{'短评内容': '不错，，舒适，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '交通很尴尬，打车不方便', '短评打分': 4}
{'短评内容': '住的挺舒服的，值得以来。哈哈哈哈', '短评打分': 5}
{'短评内容': '离地铁站口走路十分钟左右吧，小区边上，非常安静，不错。', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '房间特别特别的小，也很陈旧，也不是很干净，和其他快捷比起来这个房间确实有些不怎么样。', '短评打分': 4}
{'短评内容': '酒店非常老旧了，很多设施都是坏的，马桶漏了一夜的水，声音响的睡不着，浴室地漏也堵塞了，还是自己想办法通的', '短评打分': 3}
{'短评内容': '地段不错，出门就是地铁，就是牌子不太明显。大家记住出地铁后东南角往东走时，不要下地下通道走，否则是找不到的。', '短评打分': 4}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 4}
{'短评内容': '整洁安静', '短评打分': 5}
{'短评内容': '水太小，而且不热，冬天太冷了，不建议住', '短评打分': 2}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错……', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
