{'短评内容': '挺好的，下次还来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '早餐不错，停车方便', '短评打分': 5}
{'短评内容': '宾馆位置不错，步行去庄河长途汽车站大约五六分钟，周边商店饭店也很多。宾馆房间也比较大，卫生也比较干净。宾馆服务也比较温馨。', '短评打分': 5}
{'短评内容': '宾馆位置不错，步行去庄河长途汽车站大约五六分钟，周边商店饭店也很多。宾馆房间也比较大，卫生也比较干净。宾馆服务也比较温馨。', '短评打分': 5}
{'短评内容': '宾馆位置不错，步行去庄河长途汽车站大约五六分钟，周边商店饭店也很多。宾馆房间也比较大，卫生也比较干净。宾馆服务也比较温馨。', '短评打分': 5}
{'短评内容': '还可以，早餐不行', '短评打分': 4}
{'短评内容': '宾馆位置不错，距庄河长途汽车站步行五六分钟。宾馆周边非常方便，商店饭店很多，非常方便。服务员非常热情，服务周到。', '短评打分': 5}
{'短评内容': '酒店位置不错，步行至汽车站约5分钟。酒店设施和服务和价格基本持平。早餐12元钱能吃到什么可以想象，保证吃饱。', '短评打分': 4}
{'短评内容': '酒店位置不错，步行至汽车站约5分钟。酒店设施和服务和价格基本持平。早餐12元钱能吃到什么可以想象，保证吃饱。', '短评打分': 4}
{'短评内容': '酒店位置不错，步行至汽车站约5分钟。酒店设施和服务和价格基本持平。早餐12元钱能吃到什么可以想象，保证吃饱。', '短评打分': 4}
{'短评内容': '酒店位置不错，步行5分钟到汽车站。房间设施一般般，服务也不到位。', '短评打分': 4}
{'短评内容': '酒店位置不错，步行5分钟到汽车站。房间设施一般般，服务也不到位。', '短评打分': 4}
{'短评内容': '网络总断，入住的时候说可以刷信用卡消费但不能做预授权，第二天结账就说pos机坏好几天了，分明是不想给刷啊', '短评打分': 1}
