{'短评内容': '设备有些陈旧，还算干净，安静。', '短评打分': 4}
{'短评内容': '帮人订的，还行吧', '短评打分': 4}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '上海找个200以下的宾馆不容易啊', '短评打分': 5}
{'短评内容': '还是不错的     挺安静的', '短评打分': 5}
{'短评内容': '住宿不错！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '整体还不错整体还不错整体还不错', '短评打分': 5}
{'短评内容': '还不错，毛巾再新点就好了', '短评打分': 4}
{'短评内容': '一直都住这里，对这个酒店习惯了，而且地理环境都不错，交通方便，周围还有商业街区，服务员服务很贴心，前台也不错，总之满意！', '短评打分': 4}
{'短评内容': '性价比很高，设施很不错，被子有异味。', '短评打分': 4}
{'短评内容': '很干净，设施虽然有些陈旧但是也还不错了，总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '房间有股霉味，窗户又不能完全打开，而且房间一点也不温馨，绝对没有锦江之星好。', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '陈', '短评打分': 5}
{'短评内容': '住了两次，很温馨，挺不错的', '短评打分': 3}
{'短评内容': '空调声音很大，房间隔音也不行，影响睡眠。停车很方便。', '短评打分': 5}
{'短评内容': '这家酒店还比较新，性价比还可以。前台服务还可以。附近有多家快餐店。', '短评打分': 5}
{'短评内容': '设施，卫生状况还可以。酒店周围有点荒凉。', '短评打分': 5}
{'短评内容': '价格便宜,干净,就是空调的声音太响了,一晚没怎么睡好.', '短评打分': 5}
{'短评内容': '不错，环境不错，离车站也近，蛮方便的。下次还会推荐\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '第三次住这个店了，同一个房间，一切如旧，空调的声音依然很吵。', '短评打分': 3}
{'短评内容': '如家的品质一直不错，可能我住的是特价房吧，空调的声音异常巨大。', '短评打分': 3}
{'短评内容': '位置偏僻，大床房基本都没窗户，隔音效果不好，没有早餐。', '短评打分': 1}
{'短评内容': '距离中欧国际商学院较近的连锁酒店，经济实用', '短评打分': 5}
{'短评内容': '环境不错 服务也还好 这个价格 性价比不错了', '短评打分': 5}
{'短评内容': '不错，干净实惠', '短评打分': 3}
{'短评内容': '金桥地区的首选了，每次开会都住这里了，比较方便，毕竟是商务酒店，简单快捷就好。', '短评打分': 5}
{'短评内容': '住宿条件还不错，但隔音效果不太好，订得单人大床房竟然没手机信号，这有点过。', '短评打分': 3}
{'短评内容': '    N次入住了，比较干净。性价比较高。比较实惠。', '短评打分': 5}
{'短评内容': '地上没有地毯，而且住在一楼，汉庭一楼都不住人的', '短评打分': 5}
{'短评内容': '很舒适，交通还算便利，价格适中。', '短评打分': 3}
{'短评内容': '环境不错的 就是离金桥还有点距离 要打的才能到 不过是起步价', '短评打分': 5}
{'短评内容': '安静，服务态度好，适合情侣，商务居住，舒适经济。', '短评打分': 5}
{'短评内容': '如家的标准基本都一样，这个也是处于一般水平吧，早餐比较简单。', '短评打分': 5}
{'短评内容': '  环境好，房间干净卫生，舒适。性价比较高，不错。', '短评打分': 5}
{'短评内容': '干净舒服，不错', '短评打分': 3}
{'短评内容': '价格优惠，环境还不错，下次来上海还要入住如家酒店，不错的选择', '短评打分': 5}
{'短评内容': '客户来了，一直住这里，说还不错，应该还不错吧', '短评打分': 5}
{'短评内容': '房间有点小,蛮卫生的,周边有变电站,有小孩和孕妇不建议入住,.', '短评打分': 3}
{'短评内容': '地址还好，主要是对这里不熟悉，公交车2站路就是热闹的金桥镇，不知道的可以看一下地图。', '短评打分': 5}
{'短评内容': '来了好几次，好几拨人，都反应还不错，希望还是要继续保持下去', '短评打分': 5}
{'短评内容': '在上海这样的价格已经是很难得的了。如家的品质一直还是不错的。', '短评打分': 5}
{'短评内容': '每次父母来上海都订在这里，很安静，不错。', '短评打分': 5}
{'短评内容': '   还不错，安静，设施也环境比较温馨。价格可以。', '短评打分': 5}
{'短评内容': '不错呢！吼吼！环境很好，服务态度很棒，房间很大，标准间比较合适！', '短评打分': 5}
{'短评内容': '亲戚来上海玩，选择的便宜、实惠、干净、服务好的酒店。推荐》》》', '短评打分': 5}
{'短评内容': '第一次入住如家酒店，金桥店房间温馨，比起以前住的莫泰、汉庭来要好很多，缺点是没有衣柜，附近消费的地方比较少，公交地铁不方便。', '短评打分': 5}
{'短评内容': '环境不错，经济实惠。在上海，这个价位已经是超值了。', '短评打分': 5}
{'短评内容': '房间空间挺大，舒适卫生，服务也不错，下次继续住', '短评打分': 5}
{'短评内容': '还不错吧，简单干净，价格也便宜，就是那个地址有点偏，不好找。', '短评打分': 5}
{'短评内容': '还不错，无偿给延时保留到晚上24点，很感谢，就是那间房间的门要很用力关，我都怕把门给震坏了。', '短评打分': 5}
{'短评内容': '家人过来，正好家附近的如家酒店不错，入住两晚，不错！便宜！以后还会再选这家酒店，嘿嘿', '短评打分': 5}
{'短评内容': '如家 一直给人很温馨的感觉，价格也不错，推荐', '短评打分': 5}
{'短评内容': '环境不错,前台态度很好', '短评打分': 3}
{'短评内容': ' 房间较大，晚上热水不是最热，不知道是否一直如此。总体满意！', '短评打分': 5}
{'短评内容': '地理位置有点远。但是房价很实惠，房间也宽敞。', '短评打分': 5}
{'短评内容': '酒店价格适中，房间也比较大，只是距离市中心有点远，到五莲路乘坐地铁6号线打车要15元。', '短评打分': 5}
{'短评内容': '房间的抽水马桶有点问题，其它都还可以吧，这个价位还算是性价比不错了的', '短评打分': 5}
{'短评内容': '环境很好，温馨也干净', '短评打分': 3}
{'短评内容': '价格便宜，房间也很大，但隔音一般。服务员收拾卫生也不太仔细。', '短评打分': 5}
{'短评内容': '房间还不错蛮干净的，下次还会来.', '短评打分': 3}
{'短评内容': '隔音不好，没有窗户，便宜、、、、、、、、、、', '短评打分': 5}
{'短评内容': '实惠的~很便宜的，而且有地方停车，里面也比较干净~', '短评打分': 5}
{'短评内容': '不是很隔音，但价格还是挺实惠的，服务还好，设施还不错', '短评打分': 5}
{'短评内容': '还行吧，过得去就是了。隔音不好，大床房没窗，有点纠结', '短评打分': 5}
{'短评内容': '物美价廉，环境舒适，靠近某公司，交通方便', '短评打分': 5}
{'短评内容': '住过几次了，价格实惠，环境还可以', '短评打分': 3}
{'短评内容': '房间很宽敞，酒店周围吃饭也很方便。就是距市中心较远，到地铁6号线打车要15元。', '短评打分': 5}
{'短评内容': '酒店不错，干净卫生，晚上睡觉也安静，服务也周到', '短评打分': 5}
{'短评内容': '  价钱便宜', '短评打分': 3}
{'短评内容': '房间很宽敞，服务也不错，周围有很多吃饭的地方。只是有点远，交通不太方便。', '短评打分': 5}
{'短评内容': '酒店环境很好，很干净！住着很舒心！价位也很合适。', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '环境还不错，卫生间水龙头有坏，不过后来有来修，总体感觉还行的', '短评打分': 5}
{'短评内容': '经济实惠，卫生也不错.就是隔音不好.有点吵', '短评打分': 3}
{'短评内容': '房间比较大，就是有点远，打车到6号线五莲路约16元。', '短评打分': 1}
{'短评内容': '整体感觉还是不错的！就是洗发水跟沐浴露很是糟糕！客房整理还算凑合有一次客房整理完后洗手间的洗手池里全是脏东西而且毛巾、浴巾也没给换叠了叠就挂回去了！希望下次能够做的更好一些！', '短评打分': 5}
{'短评内容': '干净 整洁 很好 值得推荐 就是隔音不是很好', '短评打分': 5}
{'短评内容': '卫生干净，房间宽敞，128的特价房性价比也不错。只是地理位置有点远，做地铁6点线要步行8分钟，然后坐5站公交车才能到地铁站', '短评打分': 5}
{'短评内容': '附近汉庭这个算最差的了，中间还断电，一直到早上还没弄好。以后基本不会来这个店了', '短评打分': 1}
{'短评内容': '酒店味道比较大。一楼的房间比较潮湿。也许和气候有关', '短评打分': 5}
{'短评内容': '不错~服务挺好！就是电视操作比较麻烦而且广告很多！', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '价格在张桥地区绝对算是低价了，条件在所有的如家酒店里算不上好，但是也还过得去。门面比较隐蔽，不是很容易被发现。', '短评打分': 5}
{'短评内容': '还是如家住的比较放心，这里公交打车挺方便的，除了位置比较偏，这个价钱在国庆已经很不错了', '短评打分': 5}
{'短评内容': ' 房间挺干净，服务态度也可以，但是真的不好找。从火车站倒了两班地铁加打车，历时一个多点。有点麻烦', '短评打分': 3}
{'短评内容': '很不错  我经常去得  反正隔音差一点  干净倒是很干净  ', '短评打分': 5}
{'短评内容': '卫生不错 挺好的。设施齐全 ，服务员的态度挺好 很周到。\n', '短评打分': 5}
{'短评内容': ' 房间大小不错，也比较干净，最主要是价格便宜。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '我订的是标准间，房间比较大，清新舒适，当时定的是特惠价。蛮实惠的。服务态度蛮好的，我同事说蛮实惠。。下次还来住。。', '短评打分': 5}
{'短评内容': '＋虽然好像比其他地方的小了点，总体还是蛮不错的，干净，温暖。有需要的话还会去的', '短评打分': 3}
{'短评内容': '真的很一般，半夜停电，很长时间才解决，还非常吵，杯具的一晚....', '短评打分': 1}
{'短评内容': '干净，整洁，总体服务人员变现良好，适合商务课', '短评打分': 5}
{'短评内容': '回忆起了往事种种，恨情缘如此作弄。可恨不早点相识', '短评打分': 5}
{'短评内容': '干净，整洁，服务态度不错，周边新开了两家吃饭的地方，比较方便', '短评打分': 5}
{'短评内容': '酒店里干净 隔音很差 能听到脚步声 外面招牌不明显', '短评打分': 3}
{'短评内容': '服务有点慢 总体还行 走廊晚上有点小吵  冷气不错 ', '短评打分': 5}
{'短评内容': '挺干净的,装修业也很好,就是隔音实在太差了', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 3}
{'短评内容': '服务不错，适合商务客\n采用的是中央空调，比普通的分体空调要舒服一些', '短评打分': 5}
{'短评内容': '＋经济实惠，干净整洁', '短评打分': 3}
{'短评内容': '总体感觉还不错，挺干净，看评论说隔音不好，暂时还没发现。房间稍微有点小，但是总的说还行！', '短评打分': 5}
{'短评内容': '房间不是很大，但总体上来说还是比较干净，比较适合商务入住，网络速度较慢', '短评打分': 5}
{'短评内容': '房间装修还不错，价钱也不高，就是没有窗户不爽。', '短评打分': 5}
{'短评内容': '还可以，价格实惠，还是不错的，推荐入住，很好很不错', '短评打分': 5}
