{'短评内容': '帮朋友订的，朋友说住得挺舒服的', '短评打分': 5}
{'短评内容': '服务太差了', '短评打分': 1}
{'短评内容': '房间不行。服务态度太差 登记时竟然甩我身份证 太不像话了。要不是我订不到酒店 打死我都不会订 恶略', '短评打分': 3}
{'短评内容': '第一次给的房间，进去后发现还有施工的梯子、油漆桶；第二次给的房间，到达楼层后，发现走道的外墙都还是三合板，进去房间后则看到是张圆床，难道是因为隔壁是个水疗会所的缘故？订了两天的住宿，果断退房，哪怕扣一天的房费也退。这次经历，开始怀疑携程酒店的质量了。', '短评打分': 2}
{'短评内容': '周边的环境可以，交通很便利。酒店一眼看上去还可以，进入房间很大一股味道，洗手间没有抽风，冷气也不冷。', '短评打分': 4}
{'短评内容': '携程特别给力 参加清远马拉松 携程订得十分优惠价格 携程服务第一', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '总体还不错，只是前台', '短评打分': 4}
{'短评内容': '性价比高值得再次光临，拖鞋质量不好', '短评打分': 3}
{'短评内容': '封闭房无窗 无电脑桌', '短评打分': 5}
{'短评内容': '房间暗！装修已经比较旧了。', '短评打分': 3}
{'短评内容': '房间沒窗户，一进门有股味道，连一张桌子都没有，需文书作业，使用电脑的旅客，不建议选择 !', '短评打分': 3}
