{'descr': '挺好的。很不错', 'star': 5}
{'descr': '挺好的嗯嗯', 'star': 5}
{'descr': '家里来亲戚每次都住在这里 离家近交通方便 房子也比较干净 性价比很高', 'star': 5}
{'descr': '还好，很多年没去了，这次突然需要国庆节回家，还没地方住，就选了这里，还好，和几年前一样，但看起来不能与高价位酒店比，离小区比较近，购物、吃早饭还算方便，比有些快捷酒店好多了。', 'star': 4}
{'descr': '没有早餐，', 'star': 3}
{'descr': '酒店环境离市区远，厕所翻味，房间老旧，没有24小时wifi，床1米宽，孩子要和妈妈睡，服务员非要加收50床位费。说好了老人在房间退后退房每小时加收10元，结果中午2点退房要加收半天房费，服务态度恶劣', 'star': 1}
{'descr': '帮亲戚预定的，每次来都会入住这家宾馆，离家近吃饭接送很方便，房间也比较新，很干净，服务很好，以后还会选择的', 'star': 5}
{'descr': '出差，离海委比较近，方便，房间比较陈旧，设施落后，卫生差，床单好灰尘比较多，就是服务还行！', 'star': 3}
{'descr': '多次入住，主要是节假日走亲访友，距离亲戚家较近，宾馆房间干净，院内停车方便，周围居民小区吃饭也方便，周围公交到市中心商业区也较为便利，距离津滨大道较近开车回家顺路。', 'star': 4}
{'descr': '停车方便，周围居民小区吃饭方便 ，宾馆设施一般 ，房间不大，比较干净', 'star': 4}
{'descr': '洗澡水不热', 'star': 4}
{'descr': '国考在九十八中 酒店距离超级近 非常方便 房间设置也不错 挺干净的 就是付款的时候应该是196 前台直接改成218 都没有商量 后来又去找 又退款的', 'star': 5}
{'descr': '房间里没有大灯', 'star': 4}
{'descr': '还可以。。。。。。。。。', 'star': 3}
{'descr': '卫生间水太小，房间不主动打扫，灯光偏暗，插头太少了！', 'star': 2}
{'descr': '很干净', 'star': 3}
{'descr': '还不错，比较干净，服务也可以，就是没网线', 'star': 3}
{'descr': '还不错，比较干净，服务也可以，就是没网线', 'star': 3}
{'descr': '环境还可以  服务态度还好吧 设施陈旧  最基本的 一次性牙具里的牙膏都没有盖子  就那种最小的牙膏大家应该都知道 那个没有盖子 扎不开啊~~~ 最关键的是没有网线 而且价格方面也不合适 ', 'star': 1}
{'descr': '环境还可以  服务态度还好吧 设施陈旧  最基本的 一次性牙具里的牙膏都没有盖子  就那种最小的牙膏大家应该都知道 那个没有盖子 扎不开啊~~~ 最关键的是没有网线 而且价格方面也不合适 ', 'star': 1}
{'descr': '环境挺安静的，也很干净，有一个小问题，能听到对面的说话声音，隔音效果不是很好', 'star': 5}
{'descr': '环境挺安静的，也很干净，有一个小问题，能听到对面的说话声音，隔音效果不是很好', 'star': 5}
{'descr': '环境不错，挺安静的，屋内设施还不错，就是水热的时候太长了', 'star': 5}
{'descr': '环境不错，挺安静的，屋内设施还不错，就是水热的时候太长了', 'star': 5}
{'descr': '干净安全，最好要不临街的房间。门口有吃早点的街', 'star': 5}
{'descr': '干净安全，最好要不临街的房间。门口有吃早点的街', 'star': 5}
{'descr': '在海河委员会大门右侧，条件还是可以的，只是没有网线', 'star': 5}
{'descr': '在海河委员会大门右侧，条件还是可以的，只是没有网线', 'star': 5}
{'descr': '房间大小还好，设施方面挺完善的，卫生方面也不错，住的挺舒适。', 'star': 3}
{'descr': '房间大小还好，设施方面挺完善的，卫生方面也不错，住的挺舒适。', 'star': 3}
{'descr': '价格还算合理，房间住的还算舒适的。', 'star': 5}
{'descr': '价格还算合理，房间住的还算舒适的。', 'star': 5}
{'descr': '位置一般，打车还比较容易，内部环境挺好，舒适度还不错。', 'star': 3}
{'descr': '位置一般，打车还比较容易，内部环境挺好，舒适度还不错。', 'star': 3}
{'descr': '服务卫生还好，设施挺齐全，价格也合适，住的还比较舒适。', 'star': 5}
{'descr': '服务卫生还好，设施挺齐全，价格也合适，住的还比较舒适。', 'star': 5}
{'descr': '酒店还不错，挺干净的，硬件设施、配套设都挺完善的。', 'star': 3}
{'descr': '酒店还不错，挺干净的，硬件设施、配套设都挺完善的。', 'star': 3}
