{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '在大浦县城算是最好的酒店了，还算满意。', '短评打分': 5}
{'短评内容': '再次入住，档次高，服务好，大埔第一。', '短评打分': 5}
{'短评内容': '服务一般，就是房间大', '短评打分': 3}
{'短评内容': '非常好，品种多，有地方特色小吃，卫生、干净、新鲜、现煮腌面、粉，热汤有特色，师傅，服务员态度非常热情到位。', '短评打分': 5}
{'短评内容': '好，酒店新！', '短评打分': 5}
{'短评内容': '客服服务态度很好，有机会再来.', '短评打分': 5}
{'短评内容': '酒店重新装修过，房间大，床有2.4米宽，超大，舒适，早餐也合胃口，值得推荐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间不错，下次有机会再来住', '短评打分': 5}
{'短评内容': '大铺算很好的酒店了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '交通方使，购物一般，卫生可以。', '短评打分': 3}
{'短评内容': '大埔县的风景没得说，这个酒店的话卫生还好吧。', '短评打分': 4}
{'短评内容': '酒店床够大 两个单人床拼的 房间还不错 浴室的帘好脏啊', '短评打分': 3}
{'短评内容': '酒店不错，服务员态度很好，设施还可以。', '短评打分': 5}
{'短评内容': '本县最好的酒店，宾至如归的感觉。餐饮有当地的特色。', '短评打分': 5}
{'短评内容': '酒店很新，房间够大。位置有点偏，边上就有个景点。', '短评打分': 5}
{'短评内容': '酒店早餐非常好，是梅州本地的腌面，加一份还要加钱哟！', '短评打分': 5}
{'短评内容': '性价比不高，房价相对酒店设施来说太高了，如果降到三百以下就可以考虑', '短评打分': 1}
