{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这个价格还行了。', '短评打分': 5}
{'短评内容': '还行哦哦哦哦', '短评打分': 4}
{'短评内容': '特别好！物超所值哦！全5分', '短评打分': 5}
{'短评内容': '早餐没去吃就不做评价，周边有很多吃的，位置也好找，但房间不是太大', '短评打分': 4}
{'短评内容': '忠实粉丝，第一次到荣昌就住这家，各方面都很好。提供早餐，芒果汁，矿泉水，而且环境很好，旁边就是海棠公园。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '以前就来住过，以前的房间还比较大，现在有点小了，不过也够。有简易早餐，总体来说不错！', '短评打分': 4}
{'短评内容': '感觉还是可以的啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！', '短评打分': 4}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '周边环境不错', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '多次入住，价格实惠，还有早餐，非常不错。', '短评打分': 5}
{'短评内容': '总体不错，性价比值得', '短评打分': 5}
