{'短评内容': '还可以人不错', '短评打分': 4}
{'短评内容': '住过两次，还可以', '短评打分': 4}
{'短评内容': '住过两次了，还可以', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很好停车很方便。', '短评打分': 5}
{'短评内容': '出门太急 没订到更好的 只能选了这里 离市区还有十公里左右 房间设施很老 卫生一般  没图片上那么好', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '周边环境较吵闹', '短评打分': 4}
{'短评内容': '很不错的酒店。就是在开发区。', '短评打分': 5}
{'短评内容': '国庆时真心性价比不高。酒店设施一般，早餐特别差，房间够大，没味道。基本还可以，去景点交通方便。对于自驾游来说，比较方便，不用在市区转悠半天，另外酒店停车比较方便', '短评打分': 4}
{'短评内容': '房间灯光暗的不得了 前台服务也不好 不像三星酒店感觉', '短评打分': 3}
{'短评内容': '酒店不在市区，好在离高速近，自驾还是可以的，周边有一大超市，购物尚可，吃饭却不甚方便，订的豪华套间可能使用率不高，有异味，好在和服务员讲好了一直开着空调抽湿。优点是套间面积够大，价格还算公道，尤其是国庆假日期间。', '短评打分': 3}
{'短评内容': '哦记录辣椒淋雨图册模棱两可五', '短评打分': 3}
{'短评内容': '比较安静，总体不错！周边吃饭地不多！比较偏！', '短评打分': 3}
{'短评内容': '已经第二次入住了，总体还可以吧', '短评打分': 3}
{'短评内容': '离市区还有20多公里....', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
