{'短评内容': '酒店位置较好', '短评打分': 3}
{'短评内容': '位置很好找，步行去海边的距离也是可以接受的，周围吃饭的地方也很多', '短评打分': 5}
{'短评内容': '房间不值这个价。房间窗口有问题，如果不知道的话，用力一推你就要赔玻璃钱', '短评打分': 3}
{'短评内容': '客栈十分简单，只能作为过夜的场所。', '短评打分': 4}
{'短评内容': '去东部华侨城很近走路没几分钟就到，环境不错。', '短评打分': 5}
{'短评内容': '帮别人订的，有会议。位置不错。', '短评打分': 5}
{'短评内容': '是在一楼，房挺大的，就是有点小贵，隔音效果一般。卫生间也都超大的。总体还是不错的。  ', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 5}
{'短评内容': '朋友介绍的，总的来讲还可以，经济实惠，离东部华侨城步行才十五分钟左右，方便，周围小食也很多。步行去大梅沙也很近。', '短评打分': 5}
{'短评内容': '在梅沙医院对面，地理位置好，门口就是公交站，去大梅沙很近，价格比较合理，定的三人床，很划算。推荐。', '短评打分': 4}
{'短评内容': '性价比不错，周边环境好', '短评打分': 5}
{'短评内容': '房间老旧，设施一般，靠近景点', '短评打分': 3}
{'短评内容': '的确是非常家庭式的旅馆，环境也就这样了，好在位置非常好，离华侨城和大梅沙非常近，我们离店的最后一天房间没有打扫，但服务人员还是很热情的，进出都会跟我们打招呼，刚去到还会主动帮我们提行李。', '短评打分': 4}
{'短评内容': '一般般，住一楼，比较旧了。', '短评打分': 3}
{'短评内容': '棒棒棒棒棒那好棒的不错的哈哈哈哈哈哈哈哈哈', '短评打分': 3}
