{'短评内容': '原來是軍隊酒店，不錯', '短评打分': 5}
{'短评内容': '早餐是中式为主，实在不好吃，有待改进。酒店设施太旧，毛巾太旧放进水里立刻就变“灰黑”了，不过地理位置是一流的。出门就有10号线！', '短评打分': 4}
{'短评内容': 'overall 还可以。就是卫生间有水污渍。', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置挺好的。', '短评打分': 4}
{'短评内容': '地段好出行方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地点比较方便', '短评打分': 4}
{'短评内容': '隔音效果非常不好', '短评打分': 5}
{'短评内容': '酒店交通便利，整洁，态度较好，是商务出差的一个不错的选择。', '短评打分': 5}
{'短评内容': '宿泊料金は高いが、場所が良いので我慢の範囲。朝食は期待できない。部屋によってはバスルームの排水溝から汚臭が立ち上ってくる。 このホテルの利点は残念ながら所在地のみ。', '短评打分': 3}
{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '总体不错！', '短评打分': 5}
