{'短评内容': '卫生干净整洁，经济实惠！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '庭干净，好！', '短评打分': 5}
{'短评内容': '房间很干净，前台服务态度很好。下次到淄博我还会去住。', '短评打分': 5}
{'短评内容': '酒店还不错，干净', '短评打分': 4}
{'短评内容': '整体还可以……', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 5}
{'短评内容': '还不错，性价比不错', '短评打分': 4}
{'短评内容': '考试提前一天来入住的，环境还是不错的，房间很干净，光线很好，周围就是步行街，小吃不错。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '还可以，位置便利，非常干净', '短评打分': 3}
{'短评内容': '还可以吧，就是感觉房间有点小，不过挺干净，床很舒服', '短评打分': 5}
{'短评内容': '房间很好的很干净很整洁的。', '短评打分': 3}
{'短评内容': '每次出差到淄博都是住在家里。', '短评打分': 3}
{'短评内容': '没有发票，新装修比较干净，服务不到位，没有早餐等服务。', '短评打分': 1}
{'短评内容': '整体一般，主要是洗手间的水量太小，太节约了。', '短评打分': 5}
{'短评内容': '酒店卫生不错，房间比较小，基本上大床房就是一张床的空间，出差还是不错的选择，楼下就是步行街和夜市，吃饭比较方便，但是没有地方停车，开车的朋友们慎选', '短评打分': 5}
{'短评内容': '酒店新装修，各样用具都很新。打扫得也很干净。房间空间也挺大。很不错!', '短评打分': 5}
{'短评内容': '酒店好像刚装修过，都很新。很不错。房间空间也挺大，很干净。很好!', '短评打分': 5}
{'短评内容': '服务周到，交通方便，附近美食很多，推荐!', '短评打分': 5}
{'短评内容': '房间干净卫生，服务态度不错，附近交通、美食方便，推荐', '短评打分': 5}
{'短评内容': '新开张宾馆，环境不错，附近交通、购物方便', '短评打分': 5}
{'短评内容': '新酒店，位置超级好，酒店前面就是淄博陶瓷博物馆，酒店位于步行街的头上，去当地美食街走路5分钟就到了，吃晚饭溜溜弯，太舒服了。楼下的川菜馆也很地道，服务员都是四川的，很赞。', '短评打分': 5}
{'短评内容': '非常不错的酒店，价格实惠，服务人员态度很好服务很周到。强烈推荐。', '短评打分': 5}
