{'短评内容': '房间挺老的  电视不太行  ', '短评打分': 4}
{'短评内容': '非常好 出差必住', '短评打分': 5}
{'短评内容': '酒店位置优越。', '短评打分': 4}
{'短评内容': '酒店位于留园附近，有3个固定车位。', '短评打分': 4}
{'短评内容': '位置好，环境不错', '短评打分': 5}
{'短评内容': '好好好好好好好还好还好哈', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置很好，房间不算太好吧，', '短评打分': 4}
{'短评内容': '朋友从南京来苏州玩，订了这家，靠近景点，晚上去山塘街看了夜景就可以步行回去。朋友玩得很开心。挺好的，比较满意。', '短评打分': 5}
{'短评内容': '朋友从南京来苏州玩，订了这家，靠近景点，晚上去山塘街看了夜景就可以步行回去。朋友玩得很开心。挺好的，比较满意。', '短评打分': 5}
{'短评内容': '环境不错，卫生干净', '短评打分': 5}
{'短评内容': '环境一般，设施陈旧，卫生间没排气扇，无线网房间收不到，中午房间卫生也没打扫。房间太小。', '短评打分': 1}
{'短评内容': '挺好的。挺干净的', '短评打分': 5}
{'短评内容': '因为出差入住，干净有热水就OK。', '短评打分': 4}
{'短评内容': '刚进房间，烟灰缸里竟然好几个烟头！房间还有异味儿，隔音很差，走廊里的声音就跟在房间里脑袋上一样！床垫也不舒服！', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
