{'短评内容': '屋子挺大，晚上十一点就没热水了，空调只能制冷，九月底晚上需要和前台要被子，离商业中心三公里多点', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以免费升房。  很不错', '短评打分': 5}
{'短评内容': '宾馆前台收银死脑筋，晚上太晚就附近随便找了一个休息的地方，对象忘带证件打死不让上楼，没有人情，定的大床房，看房间就变成单人小床房间了，好像网上标价都是骗人的一样，房间隔音效果不好，大早上就被外面的声音吵醒，设施设备，一会儿有水，一会没水，无线网慢的要死，前台服务就感觉盛气凌人的样子，瞧不起人……', '短评打分': 1}
{'短评内容': '特別一般，', '短评打分': 1}
{'短评内容': '不错，还在店里办了张会员！', '短评打分': 5}
{'短评内容': '价格是真心便宜环境也很好但是晚上会比较吵毛巾上的消毒水味有点大总的来说还不错 给5星', '短评打分': 5}
{'短评内容': '入住感觉一般吧，但wifi上网速度挺好的', '短评打分': 3}
{'短评内容': '挺好的，很方便，周围小吃很多，而且很安静', '短评打分': 3}
{'短评内容': '挺好的，离南湖广场很近。', '短评打分': 3}
{'短评内容': '还不错就是通风不好', '短评打分': 5}
{'短评内容': '值得推荐！吃住行都方便，价格便宜！', '短评打分': 3}
{'短评内容': '各方面都挺好', '短评打分': 5}
{'短评内容': "挺好的'经济实惠", '短评打分': 5}
