{'短评内容': '稀烂的酒店，入口特别不明显，找了十几分钟，环境特别差，第二天走的时候要停车票既然说让我等丹9点老板来了才有，劝各位千万别住，谁住谁后悔！', '短评打分': 1}
{'短评内容': '啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '环境不错，喜欢吃吃喝喝下面就是美食城', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '整体还不错！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '    干净卫生，床和被子感觉很舒适，能睡个好觉！    整体感觉很好！', '短评打分': 5}
{'短评内容': '给同事订的，出差住的，挺实惠划算', '短评打分': 5}
{'短评内容': '给员工订的，还不错，也挺实惠划算的', '短评打分': 5}
{'短评内容': '附近有个ktv，有点吵，出差就不要住特价房了，没窗户，味道有点大', '短评打分': 3}
{'短评内容': '环境一般，私人自己家开的那种旅馆。过个十一价格涨了二倍。', '短评打分': 3}
{'短评内容': '挺干净整洁，住宿体验还不错', '短评打分': 3}
{'短评内容': '勇敢的入住后，发觉很不错哈！服务态度好，卫生好，舒适，出门办事方便，打车坐地铁都方便！下次还住！！', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
