{'短评内容': '还不错，', '短评打分': 4}
{'短评内容': '额', '短评打分': 5}
{'短评内容': '很好很好很好很好', '短评打分': 5}
{'短评内容': '早餐情况一般感觉不舒服！', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不是太满意', '短评打分': 1}
{'短评内容': '太差，又破，暖气也没效果', '短评打分': 1}
{'短评内容': '不错的哦！', '短评打分': 5}
{'短评内容': '远，旧，差', '短评打分': 1}
{'短评内容': '便宜', '短评打分': 2}
{'短评内容': '不错的商品价格指数比前一天就能看见美好生活加油吧！', '短评打分': 5}
{'短评内容': '很一般的酒店 但是很便宜', '短评打分': 4}
{'短评内容': '服务不错，硬件有待改善！', '短评打分': 4}
{'短评内容': '套房倒是够大 但是细节还是差不少', '短评打分': 3}
{'短评内容': '挺好的不错，值得去哈', '短评打分': 3}
{'短评内容': '还行吧，就是方便点～', '短评打分': 3}
{'短评内容': '房间不错,地点也好找,预留时间长,挺好的。', '短评打分': 3}
{'短评内容': '酒店门口路面太差，还是石头路面，房间没有纯净水，感觉一般！', '短评打分': 5}
{'短评内容': '总体上房间偏小，周边环境较差，早餐一般。但在这价位的酒店中还算可以，', '短评打分': 5}
{'短评内容': '很新的酒店，前台服务也还不错，就是房间有点小，位置有点偏，周边什么都没有', '短评打分': 5}
{'短评内容': '设施很新,有早餐,比旁边的格林浩泰划算也好,电视是50液晶的', '短评打分': 5}
{'短评内容': '房间很新，酒店设施还不错，很干净，但由于新开，周边很荒凉，所以很冷清。\n房间味道还有点，网络设施还有点问题，还不能刷卡。\n', '短评打分': 5}
