{'短评内容': '服务差', '短评打分': 2}
{'短评内容': '很好，服务到位', '短评打分': 5}
{'短评内容': '环境很好，前台服务很有礼貌，早餐丰富', '短评打分': 5}
{'短评内容': '环境超好，服务也不错，自助餐挺好', '短评打分': 5}
{'短评内容': '环境优美，不错', '短评打分': 5}
{'短评内容': '真的很不错，物超所值', '短评打分': 5}
{'短评内容': '一进门发现门锁反锁不了，仔细一看门都快坏了有点松，而且吹风机2个钉挂墙上只有一个钉挂住的，一取吹风机就倒下来吓我一跳。没行李架这点不方便。而且4-7楼的房间一打听是以前的按摩房改装的。怪不得那么奇怪。早餐还可以，就是附近没吃的，不过酒店的中餐便宜又好吃，就2个人还一个房间。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '室内泳池的水温偏低，如果调到28度会比较适合女士冬泳。房间内装饰过于简单。', '短评打分': 5}
{'短评内容': '东江边鹤立鸡群的酒店，环境一流，房间够大，室外泳池就在江边，很舒服，早晨在园林跑步很舒服，早餐也不错，超高性价比，特别适合短途度假，但交通稍欠方便，适合自驾。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每个月来这边办事都会住在这里，习惯了，不二选择', '短评打分': 5}
{'短评内容': '环境不错，很安静。 服务方面有欠缺，房间里边连说明都没有，想找总台或客户房服务，电话都不知道拨何号码，得跑下去问', '短评打分': 4}
{'短评内容': '都好，地方好找，环境也可以，就是商务中心打印有点小贵，打了4张A4纸，问MM一共多少钱，美眉说四十。十块一张，不带这么开玩笑的好吗，我能说我不打了还你四张纸吗？伤不起啊，', '短评打分': 5}
{'短评内容': '房间很大，位置较偏，主要特色是旅行团多。', '短评打分': 5}
{'短评内容': '很新不错。\n但是打不到出租车，里面的服务生很黑，黑车与他们的利益很明显！被宰！', '短评打分': 5}
{'短评内容': '设施等挺好的，位置比较偏，周围没什么东西。\n开始入住手续的时候前台的失误，房间给的重复了，一打开房间门一个男的在里面，吓一跳，后来换的房间。希望以后要多注意。', '短评打分': 5}
{'短评内容': '酒店干净、舒适。', '短评打分': 3}
{'短评内容': '酒店外表看上去很一般，但是内部布置的还挺不错，房间挺宽敞，装饰的很温馨，住还挺舒适的。', '短评打分': 5}
{'短评内容': '我对酒店服务挺满意的，态度很热情，办事很主动，这方面可以给5分。', '短评打分': 5}
{'短评内容': '花园形式的酒店，绿化做的很好，配套设施也挺不错，房间也蛮干净蛮舒适的，值得推荐一下。', '短评打分': 5}
{'短评内容': '这家酒店周边交通挺便利，餐饮娱乐很少，内部环境很好，住起来很舒适。', '短评打分': 5}
{'短评内容': '大堂装修的挺豪华，房间打扫的很干净，服务也周到，住的很舒心。', '短评打分': 5}
{'短评内容': '大堂装修的挺豪华的，房间里布置的也挺温馨，设施挺新的，住的的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店新开业的，设计风格挺时尚的，以黑白颜色为主，感觉搭配的挺不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务很规范，态度很热情，感觉很亲切。', '短评打分': 5}
{'短评内容': '酒店的餐厅服务挺不错的，自助餐、西餐都有，味道也挺不错，服务也很周到。', '短评打分': 5}
{'短评内容': '我挺喜欢酒店的设计风格，大堂看起来很气派，房间布置的很典雅，让感觉很舒适。', '短评打分': 5}
