{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置很不错   出来走几步就是解放碑  很繁华   硬件设施还可以', '短评打分': 5}
{'短评内容': '很好的一次消费，特别是早餐很丰富，就是起来晚了，没能好好享受，下次一定早点起来', '短评打分': 5}
{'短评内容': '酒店大堂无座位有点怪！', '短评打分': 4}
{'短评内容': '老牌酒店，总体设施比较陈旧，但位置绝佳，酒店服务软环境不错，入住体验尚佳，主要为商务出行，酒店自助早餐不错。', '短评打分': 5}
{'短评内容': '不错哦 地段很好 周边很繁华 距离解放碑很近 步行几分钟 门口就是王府井奥莱 肯德基等等餐饮店 还有很多火锅店', '短评打分': 5}
{'短评内容': '入住第一天 体验很完美 特别是8楼zhing\u2006can\u2006t\u2006n\u2006g', '短评打分': 5}
{'短评内容': '没有房就不要放出来啊', '短评打分': 2}
{'短评内容': '活动时购买，性价比不错，位置核心，设施较新，还是非常不错的。', '短评打分': 5}
{'短评内容': '设施有点老旧了 服务还是很不错的 早餐很丰盛', '短评打分': 5}
{'短评内容': '还可以 重庆洲际有点历史了', '短评打分': 5}
{'短评内容': '不错 很好 挺满意', '短评打分': 5}
{'短评内容': '还可以的吧 ，老牌了，还行。。下次继续再来', '短评打分': 5}
{'短评内容': '服务很好，交通便捷，就是自助餐比较一般', '短评打分': 5}
{'短评内容': '还可以了，订主要是这个地理位置还比较方便。。。。', '短评打分': 4}
{'短评内容': '出差的首选，早餐非常好', '短评打分': 5}
{'短评内容': '服务很好，位置不错', '短评打分': 5}
{'短评内容': '交通方便，房间比较新，服务好。', '短评打分': 5}
{'短评内容': '酒店的位置实在是得天独厚，周边交通，餐饮，娱乐一应俱全，内部设施业完善，泳池，spa都享受了，极力推荐。', '短评打分': 5}
{'短评内容': '总体来说还不错，地理位置极佳，去哪里都方便。只是酒店设施还是老久了一些，服务也略有不足，和一线城市的洲际酒店相比还是差一点。早餐也不够丰富，但相对一线城市的价格，性价比还是可以的。', '短评打分': 5}
{'短评内容': '地理位置得天独厚，房间布置得很温馨，床也大而柔软，枕头很舒服！洲际的品牌名不虚传！早餐品种丰富多样，也很美味！', '短评打分': 5}
{'短评内容': '位置非常好，服务态度也非常好，本来按规定必须12:00之前退房，听说我们有事时，酒店主动跟我们延迟到下午2:00退房，早餐也不错，只是酒店大堂很小，不象五星级酒店的大堂，顾客休息的沙发也没有', '短评打分': 5}
{'短评内容': '不错 不错 还好 还好 可以住住 不错 不错 还好 还好 可以住住 不错 不错 还好 还好 可以住住', '短评打分': 3}
{'短评内容': '还不错。台湾朋友过来的时候定的。', '短评打分': 5}
{'短评内容': '完美，在所有景点附近，基本徒步就可以走到市区的景点。房间比其他洲际酒店小了点。其他都还不错。', '短评打分': 5}
{'短评内容': '很棒的酒店，每次来渝首选。地理位置很好，在重庆打车不方便，地理位置非常重要！服务人员态度很好，房间干净整洁。', '短评打分': 5}
{'短评内容': '方便，干净', '短评打分': 5}
{'短评内容': '设 施 齐 全，服 务 周 到，值 得 推 荐。', '短评打分': 5}
