{'短评内容': '面积很宽敞，感觉空调不给力，有些冷。再就是设施有些老化了，不过性价比还行', '短评打分': 5}
{'短评内容': '房间连矿泉水也没有', '短评打分': 3}
{'短评内容': '卫生很干净', '短评打分': 4}
{'短评内容': '位置不错不错', '短评打分': 4}
{'短评内容': '没早餐，房间大，卫生就一般般', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错   环境挺好的   空间也挺大', '短评打分': 5}
{'短评内容': '环境好，就不用说了，赞一个呗', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个酒店很好，房间大，窗户外景很美，有聊天坐的凳子，有朋友来聊天很方便，下次继续住这里，服务员态度好', '短评打分': 5}
{'短评内容': '好评  干净卫生  服务好  棒棒哒', '短评打分': 5}
{'短评内容': '环境好 服务态度好  地理位置佳  干净卫生', '短评打分': 5}
{'短评内容': '环境不错  服务也很好  好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，用的乐视盒子看电影', '短评打分': 5}
{'短评内容': '服务8分，房间宽大，空调没暖风，设施还可以。', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '不错！很安静，舒服。', '短评打分': 5}
