{'短评内容': '这个破酒店简直让人睡不了觉，楼下夜总会唱到半夜，外面车响整夜，向服务员反应态度也不好', '短评打分': 1}
{'短评内容': '#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a', '短评打分': 5}
{'短评内容': '干净安全', '短评打分': 5}
{'短评内容': '早餐特次！1个鸡蛋，1个小馒头，1小碟咸菜，1碗粥，吃不饱。余外收费，1小碗大米粥要要6元钱。此酒店客房和夜总汇一体，特吵，整宿无法入睡！总台服务员态度特差！此生我见过最差的酒店！', '短评打分': 1}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '房间整体干净大方舒适，总台客服人员热情，值得推荐！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '服务态度好，干净', '短评打分': 5}
{'短评内容': '还好。', '短评打分': 4}
{'短评内容': '太可怕了，千万别来这里住，一楼二楼三楼是夜总会，完全没有做隔音，客房是4到8楼，我们住一个4楼一个5楼，你躺在床上可以清楚的听到唱歌者的每个颤音外加话筒的嚓啦嚓啦声！心脏喝着迪曲咚咚的蹦！就这样闹到1点多，时不时门缝里还一打打的往里飞小姐卡片！简直是地狱！我是从网上订的到了知道情况了却不可以取消！所以大家不要再上当了！以后看好了再订吧！不能轻易担保！', '短评打分': 1}
{'短评内容': '房间很好，交通方便，，，，，，，， ', '短评打分': 5}
{'短评内容': '性价比', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '房间卫生还可以，交通方便，市区内。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店歌厅燥音大，早餐也很一般。', '短评打分': 3}
{'短评内容': '出入方便，卫生不错', '短评打分': 4}
{'短评内容': '卫生不错，有水果赠送', '短评打分': 4}
{'短评内容': '房间内电视尺寸偏小！\r\n卫生还可以。', '短评打分': 4}
