{'短评内容': '没有吹风机，拖鞋不是一次性的，', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '酒店距离机场大概半小时车程，周围有宜家家居和一些商场，吃饭的地儿很多，周围环境一般，干净程度一般，毕竟价格不高，我们作为机场中转还算可以了。', '短评打分': 3}
{'短评内容': '还行，，，', '短评打分': 5}
{'短评内容': '同上一条评论', '短评打分': 3}
{'短评内容': '如果去附近没有特别的事   那个酒店确实不是什么好的选择', '短评打分': 2}
{'短评内容': '环境很好地方很大前台还特意给找了个安静的房间', '短评打分': 5}
{'短评内容': '设施不太好，没有窗户，味道但是没有。', '短评打分': 4}
{'短评内容': '第一次住，还不错，性价很高', '短评打分': 4}
{'短评内容': '很不错，交通方便', '短评打分': 5}
{'短评内容': '房间环境还不错，就是位置有点偏，女生一个人住的话晚上得早点回来。', '短评打分': 3}
{'短评内容': '很不错的房间。服装也很不错。', '短评打分': 3}
{'短评内容': '环境不错，来过几回了，服务也不错，就是特价房一定要预先联系好', '短评打分': 3}
{'短评内容': '老板很好，房间很值。', '短评打分': 3}
{'短评内容': '还行吧，网速还不错，房间也行', '短评打分': 3}
{'短评内容': '酒店隔音效果太差，网络晚上断了3回，住在四层洗浴出水小且无热水，水龙头放出的水有铁锈。', '短评打分': 1}
