{'短评内容': '没热水～洗一下就没热水了', '短评打分': 1}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '有小蟑螂', '短评打分': 3}
{'短评内容': '房间宽敞。不错', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '前台接待服务不错，周边环境不错，房间里面设施齐全，周边餐饮选择较多，周边交通便利，离厦门火车站很近，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店太贪心，没有职业道德。行业内都是白天入住，18:00前退房算半天，我因临时有事，9:00入住，13:40退房，先说携程定的收一天，我说要给携程电话，就说是酒店规定。因要赶火车，无法再理论下去。', '短评打分': 4}
{'短评内容': '老客户了', '短评打分': 5}
{'短评内容': '房间不错，干净卫生，面积大，就是大堂小了点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间光线、方位非常好，正东方问，六点半左右直接可以在床上看日出哦。早餐也不错，品种多，房价在火车站这繁华地方真是性价比相当高的', '短评打分': 5}
{'短评内容': '交通便利卫生干净还可以', '短评打分': 3}
{'短评内容': '＋已入住，还好，就是停车不太方便。', '短评打分': 3}
{'短评内容': '酒店位置还是不错，离火车站近，出行方便，酒店新装修，设施比较新，房间较大，总的来说比较满意。不错', '短评打分': 5}
{'短评内容': '酒店位置不错，离火车站很近逛街方便，交通便利。房间空间挺大，挺舒适。早餐虽品种不多，还挺可口。还不错哦', '短评打分': 5}
{'短评内容': '酒店还行就是贵了点', '短评打分': 3}
{'短评内容': '地里位置还好 价格有点贵在一个大厦有很多 宾馆 环境差不多 但价格差了一半 ', '短评打分': 5}
{'短评内容': '酒店位置还是不错，离火车站近，出行方便，酒店新装修，设施比较新，房间较大，但没想到一幢楼里有五六家类似的商务酒店，各自为政，管理混乱。我们入住的同一层楼竟然还有没装修成酒店的毛坯房，遇上业主和看房的人正在讨论租房是自住还是办公的问题，真是晕倒！房间空调也许是功率不够，制冷效果很差，晚上调到20度，根本降不来，可被子又很厚，睡了大半夜还没睡着，只好将被子里面的被芯拆出来，重新将空调调到26度，盖上拆', '短评打分': 1}
{'短评内容': '不能刷卡，郁闷，预订的时候再三跟客服确认，说能刷卡。在同一层大楼里有好几家酒店，感觉乱糟糟的。早餐的地方那叫一个挤，停车还要收费。除了房间大一点，其它没有什么好的。第二天退房换如家了，旁边就有如家。', '短评打分': 1}
{'短评内容': '酒店离火车站不远，卫生还干净，硬件设施也还可以，但就不能刷卡，还没有发票。', '短评打分': 5}
{'短评内容': '房间挺大的,环境目前还不错,停车也方便.', '短评打分': 5}
{'短评内容': '房间很大，床也很大，也还干净。不足之处是早餐品种太少，餐厅太小，而且经常供应不上；还有不能用信用卡，只能付现金。258元双标房的房费也算是物有所值了。', '短评打分': 5}
{'短评内容': '还好，总的来说比较满意，就是厦门不知为什么不能用信用卡消费。本次厦门游信用卡消费0元', '短评打分': 5}
{'短评内容': '一栋楼里有N家所谓的宾馆  我们住的和9楼的一家就差个地毯房价就差近100元  总的感觉是贵 条件一般  结账时不给发票  现在的网上订的房间和实地的相差太大 有点被骗的感觉', '短评打分': 1}
{'短评内容': '环境还可以 离火车站不远，还不错咯 送两张早餐劵 虽然食物品种不多\n客服似乎很忙 要根网线 送的很慢 ', '短评打分': 5}
{'短评内容': '相当一般，服务和价格不成正比。就是房间大一点而已', '短评打分': 1}
{'短评内容': '有点簡陋。', '短评打分': 3}
{'短评内容': '酒店位置很不错，早餐虽少但可口。房间很大楼层高风景不错！卫生尚可。就是房内配置较单调。总体感觉可以。', '短评打分': 3}
{'短评内容': '很骯髒的電梯\n客房跟一般住家辦公室混在一起\n一早就有小孩子在走廊玩\n\n房間內浴室充滿大便味道\n臭死了 !!\n應該是大樓施工偷工檢料造成的吧\n\n', '短评打分': 1}
{'短评内容': '厦门客云酒店服务及设施尚需跟进，性价比尚需提高', '短评打分': 3}
