{'短评内容': '在香港又平又想靓就没有可能的，出不起贵价酒店只有系甘！', '短评打分': 5}
{'短评内容': '單身女孩子住非常安全～環境都很好', '短评打分': 5}
{'短评内容': '很乾淨 浴室的花灑水壓很強～', '短评打分': 5}
{'短评内容': '周圍沒有太多的商店，電梯設在二樓，需拉行李走樓梯才能搭到電梯，但房間很乾淨', '短评打分': 4}
{'短评内容': '能订到这个酒店可谓是非常满意，价格实惠，在香港寸土寸金的地方，麻雀虽小，五脏俱全，卫生间也比较大，附近吃饭，交通也比较方便，总之十分满意，下次去香港还去这个酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在学校旁边，小小的酒店，房间和床都是小小的，我是07房的，邻近路边有点吵，难入睡的人建议不选这个房号得。', '短评打分': 4}
{'短评内容': '价格较贵，面积狭小，设施一般，性价比不高，还好离地铁站不算很远。', '短评打分': 5}
{'短评内容': '价格较贵，面积狭小，设施一般，性价比不高，还好离地铁站不算很远。', '短评打分': 5}
{'短评内容': '红茶馆比我感觉都干净，地方就小了点，禾\n曰港寸金尺土，算这样的，', '短评打分': 5}
{'短评内容': '服务都oK！！', '短评打分': 5}
{'短评内容': '红茶馆比起我之前去香港住的好很多，起码看起干净！', '短评打分': 5}
{'短评内容': '酒店比起其他地方性价比高多了，挺干净的，也不吵，就是灯光很暗，香港最近阵雨很多，屋里超级潮湿，地面墙面都沁水珠，交通的话出酒店后门有公汽站，走大概一公里才有地铁站，去迪斯尼的话要在澳海城那个地铁站过去，也是有丢丢远', '短评打分': 5}
{'短评内容': '可以 对得起价格 卫生环境中上 空间少 交通一般 靠近旧区 比较接近生活', '短评打分': 5}
{'短评内容': '价钱还算可以；房间太小，灯光太暗，床铺太短。', '短评打分': 5}
{'短评内容': '还算是不错，设施样样都有，就是隔音不太好，隔壁的水喉声不断，有些烦死了，洗洁用品很有人性化。', '短评打分': 5}
{'短评内容': '距離地鐵10分鍾左右 樓下運動場有點吵雜 晚上睡覺有車經過會比較大聲 房間消毒味有點重 但是總體能接受', '短评打分': 4}
{'短评内容': '路有丢丢难找 东问西问了很多人才找到地方 然后办check in的男人脸色不太好 除了这两点其余的都不错  早上的早餐也蛮符合口味', '短评打分': 4}
{'短评内容': '同等价钱住这里性价比是最高的了', '短评打分': 5}
{'短评内容': '因为住店是下午2天开始，建议提前1天下订单。住店需要交500押金。支持人民币现金押金。房间虽然只有不到10平米但是基础设施非常全。洗簌房间很赞。酒店可以寄存行李到晚上6点，这个服务很贴心。酒店亦可以借电源转换插头。早餐的橙汁很好喝。是冰的。可以随便喝。咖啡和茶水一般般建议大家稍微品尝一下就可以。', '短评打分': 5}
{'短评内容': '酒店房间真心小，床也短，180身高睡觉只能缩着好痛苦，不过好在位置不错，交通方便，卫生也很好，前台可以要转换插头，很方便。', '短评打分': 5}
{'短评内容': '太小了，太压抑了，如果夏天去，更不舒服。别的还可以环境啦，卫生啦。', '短评打分': 3}
{'短评内容': '太小了，太压抑了，如果夏天去，更不舒服。别的还可以环境啦，卫生啦。', '短评打分': 3}
{'短评内容': '酒店挺好的，附近餐馆也不少，离奥运地铁也近', '短评打分': 4}
{'短评内容': '干净，有点不好找，其他都不错', '短评打分': 5}
{'短评内容': '感覺還好', '短评打分': 4}
{'短评内容': '酒店干净，舒适，一进去好香的茶味。', '短评打分': 5}
{'短评内容': '虽然靠近马路，但晚上比较幽静，不错的一个地方。', '短评打分': 5}
{'短评内容': '酒店配置不错，可以看到海，周边购物方便，只是房间有些小。', '短评打分': 5}
{'短评内容': '离旺角地铁站不远，坐地铁很方便，周围吃的逛的地方也挺多。房间虽然很小，但是挺干净的。', '短评打分': 5}
{'短评内容': '距離旺角地鐵站A出口大約十分鐘，很好找又鄰近西武百貨\n我是預訂二間雙人房，結果一開始竟然給了一間沒有走道空間的三人房\n要求他們換房還不是很願意，一直到跟他說我們是4個人，\n要求兩間雙人才給換...\n不過房間和擺飾這個價格可以了...', '短评打分': 5}
{'短评内容': '酒店位置还可以，离地铁站走路十分钟，但是外面太吵，根本无法入睡。房间隔音差，而且空调会半夜响。电视只能收几个台，还都是雪花。不建议入住。还不如多花点钱住好点的酒店或者少花点钱住差一点的。', '短评打分': 1}
{'短评内容': '酒店房间空间小，卫生不够好', '短评打分': 3}
{'短评内容': '地点还行，安全至上！总体来说还不错，挺干净的，就是比较小，没办法，香港寸土寸金。还有早餐，这个已经很不容易了，算是性价比比较高了。\n', '短评打分': 5}
{'短评内容': '虽然地点比较偏僻，但是交通还是挺方便的。环境卫生各方面也都行，在香港来讲，性价比是非常高的。', '短评打分': 5}
{'短评内容': '服务不错，管理很好。价格嘛，大家不介意的话，还行。——不远的地方有一家叫云南米线的小店，很干净，价格也不高30-40港元一碗，很正宗，很地道。', '短评打分': 5}
{'短评内容': '很干净。服务也不错。周边还有个运动场。距离旺角中心区有点儿距离，但不远，正好远离喧嚣。', '短评打分': 5}
{'短评内容': '位置还不错啦，但是我只想说，房间太小了，真是太小了。。。', '短评打分': 1}
{'短评内容': '相当小，床只有一米，第一次去不太好找。但是地处旺区，逛街方便。', '短评打分': 5}
{'短评内容': '还不错，就是有点小（地区局限，可以理解）。最重要的是价格合理', '短评打分': 5}
{'短评内容': '地处旺角区域，周围购物非常方便。地铁到迪斯尼、海洋公园都也很快捷。', '短评打分': 5}
{'短评内容': '房间没有想象中的那么小，三口之家特地给了我一个大床加小床的房间，考虑很周到。早餐品种虽然不多，但是味道不错。价格也在接受范围内，以后去香港还会预订这家红茶馆的。\n注：机场到酒店乘坐A21(夜宵车N21),到旺角道/弥敦道下，需要走15分钟。如果地铁旺角站出口离酒店10分钟吧，走过一次就熟悉了，酒店还是挺好找的。', '短评打分': 5}
{'短评内容': '周围环境卫生不好，晚上噪音厉害，尤其是07号房。', '短评打分': 1}
{'短评内容': '处在旺角街区，初次不熟悉道路很难找，且离地铁比较远；但到旺角买东西就很近。房间在几个红茶馆里算大的，而且采光也比较好。只是前台登记在二楼。', '短评打分': 5}
{'短评内容': '环境还可以，住的很舒服\n以后会向朋友多推荐的', '短评打分': 5}
{'短评内容': '位置还好，但是房间太小，毛巾也有味道。香港今时今日的服务态度~~~o(︶︿︶)o 唉', '短评打分': 1}
{'短评内容': '房间的面积很小，可能男生没有办法伸直腿睡觉。但是酒店的位置很方便，离奥运和旺角都很近，去迪斯尼和逛街都不错。推荐~~', '短评打分': 5}
{'短评内容': '房间不大，但是酒店的环境不错，比较优雅，有些房间通风功能不是很好，空调没有暖气！', '短评打分': 5}
{'短评内容': '酒店房间真的很少很少，电视雪花多得不能看，有电视等于没电视，这个价钱这种服务还不是十分合适，虽然香港寸金尺土，但也不至于配套设施也跟不上吧.', '短评打分': 1}
{'短评内容': '酒店面积相当拮据，就是在香港找的一个睡觉地方，凑合了', '短评打分': 5}
{'短评内容': '离旺角地铁站挺近的，大概5分钟。购物很方便。', '短评打分': 5}
{'短评内容': '基本满意，设施比较现代，不算吵，不满意的地方是没有有线电视，竟然还用天线，电视全是雪花只有声音，还有就是没有梳子…', '短评打分': 3}
{'短评内容': '超小且破，像是上海棚户区的房子，服务态度很差。因为行程有变，想协调取消，不能也便罢了，态度很恶劣。位置也一般，去地铁站要走10分钟。', '短评打分': 1}
{'短评内容': '酒店虽小，但功能俱全，环境很安静，到旺角也很近，周围基本都是香港的居民，所以感觉不是那么的喧嚣，就是卫生间小了一些，其他的都不错.如果背包去的话 很适合歇脚.', '短评打分': 5}
{'短评内容': '非常之小，最重要的是對內地遊客的服務態度極差。', '短评打分': 1}
{'短评内容': '挺干净，就是房间有点小，空调噪音偏大。', '短评打分': 3}
{'短评内容': '还不错 很干净 离旺角也近 只是在旺季 价格高了点', '短评打分': 5}
{'短评内容': '房间不错， 但地点有点远。。。没有提供肥皂。上网要付费。基本还行吧。', '短评打分': 5}
{'短评内容': '我住的房间比油麻地和深水埗的红茶馆要大一些，不过地段没油麻地的好，到旺角地铁要走些路。', '短评打分': 5}
{'短评内容': '酒店很小，但很干净。因为本人比较喜欢住在旺角一带，所以这个价格入住这样的酒店，还算合适。从旺角地铁走到酒店大约要10多分钟，但周围是居民区，所以买水果啊，叉烧啊，蔬菜啊，还挺方便的。酒店的设施也基本齐全。下次去，我估计还会去的！', '短评打分': 5}
{'短评内容': '房间太小，香港真是寸金寸地阿，电视也不好。下次花钱住五星的', '短评打分': 1}
{'短评内容': '太小了，卫生环境都可以就是小了点，各种设施都很齐全，就是贵了点', '短评打分': 1}
{'短评内容': '环境有些嘈···晚上车子不停开过！房间真是好细啊··', '短评打分': 1}
{'短评内容': '还不错，挺精致，交通比较方便，比较经济的选择', '短评打分': 5}
{'短评内容': '酒店干净、卫生、温馨，设施齐全，离地铁站近。', '短评打分': 5}
{'短评内容': '地理位置很好,离旺角站很近,房间比较小,不过性价比比较高 ', '短评打分': 5}
{'短评内容': '十一期间能在香港只花每晚500港币住在油尖旺地区只用10分钟步行至地铁站，条件服务说的过去的酒店也就是红茶馆了，很干净，淋浴水很足，就是房间的空间小的可以，只有放脚的地方，但凡东西买多点就占用了那可怜的放脚的空间。\r\n以后努力赚钱，再去香港换个地儿大点的酒店。', '短评打分': 5}
{'短评内容': '地理位置很好,离旺角站和奥运站都很近,房间比较小,不过性价比比较高', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 3}
{'短评内容': '安静，卫生，在香港不算贵，性价比较高。\r\n但离地铁口有一点点远，并且他们为了不让你刷银联卡，会故意说你的卡在他机子上用不了。\r\n别的都不错', '短评打分': 5}
{'短评内容': '宽带不能用，超级郁闷！好象是房间内没有宽带，换了网线也不行，期待改进！位置还行，不是很好找！其他基本差不多！', '短评打分': 1}
{'短评内容': '其他都还可以   就是房间太小了  离地铁大概要十分钟   地方不是很号找', '短评打分': 5}
{'短评内容': '旺角地铁走过去大约10-15分钟。前台在2楼。房间非常tiny，干净，布局紧凑，淋浴间貌似还比较大。BF开玩笑说，浴室 淋浴间貌似比卧室大。。。一张大点的床（不能算大床咯。。），一张单人床。我朋友180CM，睡大床的时候，脚是放不直的，只能屈着，对，委屈他了。。。不过在香港，就400HK的价格来说，性价比很高了。总体还是很满意的。', '短评打分': 5}
{'短评内容': '补充：房间没有WIFI，要到大堂才有免费WIFI使用', '短评打分': 3}
{'短评内容': '旺角地铁站A2出口，步行十几分钟（第一次找路可能时间会长点，熟悉了还是挺快的）。房间的确小，2张床塞得满满的，只留了一条缝隙，住2个人基本没办法转身，床也是硬硬的，舒适是不要想了。相比房间，卫生间地方算大了，淋浴设施也不错。总体来说，不适合度假，适合那些临时落脚、不在乎房间舒适的或者市中心购物游的游客。', '短评打分': 5}
{'短评内容': '位置离旺角商业区很近（步行10分钟），我住的房间床有点短，基本设施齐全，淋浴的水很热。价格倒是便宜，需要押金500 HK$。周边都是老居民区，治安应该还可以，由于靠近路边，晚上不关窗户的话有点吵。', '短评打分': 5}
{'短评内容': '房间还是蛮干净，位置也很方便出行，价格服务态度在香港都是算比较不错的。', '短评打分': 5}
{'短评内容': '地方虽小，但一应俱全。价格性价比高，本人在住宿上没太大要求，干净睡得香就ok了！何况装修也不错，就是房间小了一点而已。而且坐车也方便，到旺角，只需18元港币。本人推荐，下次还会再光顾的，酒店也好找。', '短评打分': 5}
{'短评内容': '价格便宜,虽然房间小,但住下来感觉不错,而且酒店位置离旺角购物中心较近,交通方便.', '短评打分': 5}
{'短评内容': '还不错啊。。。房间虽然小，但干净得没话说', '短评打分': 5}
{'短评内容': '房间不算大，但是布置的很温馨，打扫很干净，感觉不是不错的。', '短评打分': 5}
{'短评内容': '价格上倒是很实惠的，很适合大众选择。', '短评打分': 5}
{'短评内容': '房间比较小，但是很会设计，空间利用的很充足，设施很齐全，打扫的也很干净。', '短评打分': 5}
{'短评内容': '这家酒店设计的很精致，服务上也很热情很周到，感觉还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置还不错，逛街购物非常方便的。', '短评打分': 5}
