{'短评内容': '一般，不推荐', '短评打分': 2}
{'短评内容': '酒店设施比较旧  灰尘比较多', '短评打分': 3}
{'短评内容': '整体感觉一般般的', '短评打分': 4}
{'短评内容': '客户很满意！', '短评打分': 5}
{'短评内容': '没有早餐，有停车场', '短评打分': 5}
{'短评内容': 'high哈呵呵呵还好还好哈high', '短评打分': 5}
{'短评内容': '不错，就是有些地方有灰尘，但是，灰尘这东西说不清楚', '短评打分': 5}
{'短评内容': '之前很不错', '短评打分': 5}
{'短评内容': '应该还可以', '短评打分': 3}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '在服装城附近是性价比比较高的，气氛很暖和。', '短评打分': 5}
{'短评内容': '还不错吧，对我要去的地方比较方便。前台态度挺好的', '短评打分': 4}
{'短评内容': '清洁不行', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好哦', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
